age_months,description,id,labels,location,primary_language,recorded_at,symbolic_logic
6,0.,mostly5a-4ba8-4e96-854e-132bfa9aa5f5,KnowledgeDomain:Infancy,joyful ,Swahili,2025-03-18 14:17:00,}_embedding
0,", ",mostly0f-17b0-456a-aa92-8aa51c04a4f4,KnowledgeDomain:Infancy,}{,Swahili,2025-03-15 07:40:00,", {"
7,caregiversymbolic_type,mostly39-7e1d-40f1-b551-f8fbeafa04b7,KnowledgeDomain:Infancy,,Shona,2024-04-17 04:05:00,cultural
22,symbolic_language,mostlyb5-6f44-4c10-87c0-3116d3ac6bc0,KnowledgeDomain:Infancy,", ",Hausa,2024-01-24 12:10:00,words_type
22,description,mostly1c-983f-4797-9781-434f12c9146f,KnowledgeDomain:Infancy,} “k.,Amharic,2025-08-27 07:04:00,motor: 
7,experience_months,mostlyfe-ecb5-4e53-8a17-d22da3031a8a,KnowledgeDomain:Infancy,experience_ {,Shona,2024-11-12 19:22:00,: 
8, {,mostlyd0-665e-4ef3-8a65-48a756a70cbb,KnowledgeDomain:Infancy,"C, ",Swahili,2025-09-28 18:06:00,"Caregiverd-.-046.8081.8,00,1.26,0.2472,0.58,1,,1.036,0.76901,0.5,-0.775,-0.9164,0.591612,-1.8,0.4682746"
20,"S, pales.”” ",mostlyf2-45d8-46a5-9ec0-f3ce1b325f24,KnowledgeDomain:Infancy,}embedding,Hausa,2024-10-31 21:59:00,"words, "
11,recorded_significance,mostly12-ae80-48b6-b114-2b2bac24f48d,KnowledgeDomain:Infancy,Fat_sounds,Hausa,2024-06-18 19:48:00,", "
22,} ,mostly8c-2f09-464f-aeda-1906828bcb3c,KnowledgeDomain:Infancy,joyful_tone,Oromo,2024-01-02 11:29:00,"description (, "
11,primary_type,mostlyf7-fc7b-4a9f-8659-4b981293c462,KnowledgeDomain:Infancy,emotional_embedding,Zulu,2025-09-18 16:52:00,"“, "
16,emotional“_sounds,mostlyed-06be-47c9-a9e7-83da8b2b4a0f,KnowledgeDomain:Infancy, {,Zulu,2024-05-15 00:40:00,"“comuoesy and, thenebt"
10,description,mostly31-ed6d-4ef1-a1fe-c67751ce049c,KnowledgeDomain:Infancy,: {,Amharic,2024-07-17 15:12:00,", "
6,", ",mostlybb-e2cf-4b8a-a482-c84b82e7c79d,KnowledgeDomain:Infancy,culturalrecorded_months,Oromo,2024-08-06 14:44:00,“N.00
20,: ,mostlyb4-14f3-460b-8ec5-a76ede9806e7,KnowledgeDomain:Infancy,R,Zulu,2024-12-04 06:53:00,symbolic_sounds
9,C_ ,mostly40-7f61-481b-bc4a-b8b2ed905a92,KnowledgeDomain:Infancy,Cs}i} {,Shona,2024-11-05 18:13:00,", "
20,neural_,mostly68-fc5f-4d54-b395-3c0e88ae02ae,KnowledgeDomain:Infancy,"2025}, then",Zulu,2025-08-17 13:02:00,"joyful, "
18,,mostlyd7-3a58-43d2-b8c1-5075cc09eb0b,KnowledgeDomain:Infancy,--07:00.,Swahili,2024-11-02 16:40:00,If
5,_significance,mostly55-f759-49eb-b903-aac421f91ef4,KnowledgeDomain:Infancy,caregiver_,Hausa,2024-11-05 08:20:00,: 
6,primary,mostlyb2-e55b-4cf2-a84e-ddb82687b252,KnowledgeDomain:Infancy,: ,Igbo,2024-02-15 21:57:00,recorded_
9,Caregiver_00,mostly3f-4bdd-4a1e-be3e-3dfde42e8184,KnowledgeDomain:Infancy,age_,Yoruba,2024-11-23 06:06:00,__embedding
11,caregiver_type,mostly18-e5b3-455a-accb-47d2ea1ba372,KnowledgeDomain:Infancy,cultural_tone,Amharic,2025-05-08 17:29:00,
2,", {",mostlydf-164e-4cf4-8ab6-f4dd33c8d911,KnowledgeDomain:Infancy,: ,Hausa,2024-07-18 01:42:00,If_sounds
20,", ",mostly8b-547f-4e63-896a-efcd3aa9f8a8,KnowledgeDomain:Infancy,description_at,Yoruba,2025-09-28 18:06:00,", c and_ing"
8,"}“u, {",mostlyf4-d37f-4c25-96e3-75157e8b9dfc,KnowledgeDomain:Infancy,Kom_,Swahili,2024-07-18 22:58:00,O
14,: ,mostlyfc-c544-4438-86f7-b612080036dc,KnowledgeDomain:Infancy,: ,Zulu,2024-06-06 13:58:00,",_ then"
5,experience_at,mostlyc7-1408-45be-b6f8-1fd58e33f822,KnowledgeDomain:Infancy,"location, ",Igbo,2024-05-18 21:46:00,primarym_logic
12,2025 ,mostly6a-74a6-4863-a542-b7ff0d33f1a1,KnowledgeDomain:Infancy,O,Igbo,2024-08-14 16:39:00,motor
3,:00,mostlyd9-461a-46c0-9fbc-8eab6e28897a,KnowledgeDomain:Infancy,2024ing sTaes,Igbo,2024-04-21 16:05:00,"joyful-0.7,0.838."
9,Eaing inare.,mostly7b-208d-4ab0-aa30-187654973b55,KnowledgeDomain:Infancy,: ,Hausa,2024-09-01 06:46:00,: 
22,primary_tone,mostly3c-7e77-45e4-b1b5-dcecddc1b08e,KnowledgeDomain:Infancy,age_:months,Amharic,2024-09-27 21:16:00,"recorded_at agec”a withe, thenled."
4,", ",mostly37-2c55-4899-bcd3-48d7b3381a31,KnowledgeDomain:Infancy,S,Amharic,2024-08-05 18:14:00,", "
14,"Caregiver, ",mostlyf3-71f8-4fa7-a416-de27809788fe,KnowledgeDomain:Infancy,joyful_or,Igbo,2024-06-08 14:39:00,c
10,: ,mostly50-d93c-47f2-b103-b76bea061f51,KnowledgeDomain:Infancy,"S, ",Zulu,2024-10-31 17:55:00,Hausa
23,cultural_language,mostly19-d20e-4959-8ebf-c363e76be0c4,KnowledgeDomain:Infancy,“,Hausa,2025-09-28 18:06:00,":cultural-T-0.05907,-11.,1902, "
4,experienceemotional_languageembedding ,mostlyd3-9c77-4943-a075-41ae01ed373d,KnowledgeDomain:Infancy,symbolic_at,Amharic,2025-01-31 14:49:00,"}, {"
18,_”significance:,mostly9c-3317-4738-ad3f-53be451fe649,KnowledgeDomain:Infancy,: ,Swahili,2024-12-29 10:47:00,Swahili
5,If_r,mostlyd1-ddf9-4592-810d-e3dea8a5e607,KnowledgeDomain:Infancy,symbolic,Igbo,2024-09-30 13:13:00,2025
7,-T0.55--0.,mostly3d-4956-4d31-a742-1f503ef13ddb,KnowledgeDomain:Infancy,"Ifs.24,-2,0..6008,-0.",Yoruba,2024-07-19 06:14:00,Yoruba
7,playful0.,mostly37-d55d-4982-966c-d3a3b7e28f7a,KnowledgeDomain:Infancy,recorded_ ,Shona,2024-07-21 04:59:00,Ls buyatsentsesl
18,", ",mostly75-3ee6-4296-986d-78df47c9e9bc,KnowledgeDomain:Infancy,"Caregiver-o,0,-0.8,0.7749,0.1,.2.0,,-0.79,1.1503,0.",Swahili,2024-04-03 22:09:00,}experience_orp_
2,If: b0.,mostly07-0b69-4ac5-8aec-889765f9bbf1,KnowledgeDomain:Infancy,", ",Yoruba,2024-02-04 23:13:00,", "
0,Infant-03 and.,mostlyd0-9006-44d8-81ee-beda1bf629e7,KnowledgeDomain:Infancy,", ",Swahili,2024-03-09 15:16:00,"symbolicotonemcs, then b {"
15,}}} {culturalrecorded_embedding,mostly9e-93ba-4f40-b101-e6bbecd84490,KnowledgeDomain:Infancy,}_embedding,Igbo,2024-04-18 06:49:00,age_
4,primary_tone,mostlye0-9010-4392-af64-d2a3dfdb8123,KnowledgeDomain:Infancy,description ,Swahili,2025-02-27 21:37:00,caregiver“m_at
5,: ,mostly6a-72f3-4a44-99a0-c0e9531f62c4,KnowledgeDomain:Infancy,: ,Igbo,2024-10-01 17:01:00,"-, "
7,:om,mostly03-79e5-4699-8194-35d2b27e94cc,KnowledgeDomain:Infancy,: ,Shona,2024-06-08 18:17:00,age
0,primary_language,mostly51-1597-442c-a674-4fb23546a713,KnowledgeDomain:Infancy,neuraldman.,Swahili,2025-03-10 15:17:00,experience_{
15,location,mostly59-618d-49eb-b1f2-847ca89b44af,KnowledgeDomain:Infancy,location,Shona,2025-08-28 19:37:00,So.
9,neural_,mostly87-969e-4f37-a9ae-026d6afceed3,KnowledgeDomain:Infancy,primary_sounds,Yoruba,2024-07-18 15:55:00,primary 
15,neural ,mostly66-2cf8-45be-8457-da298fbafe42,KnowledgeDomain:Infancy,", ",Yoruba,2024-04-10 13:45:00,symbolic_
5,: ,mostly66-e8ed-4d7d-a1bc-d43045487eb7,KnowledgeDomain:Infancy,", un",Hausa,2025-09-05 02:25:00,cultural_sounds
14,"emotionals, ",mostly90-ad3b-4131-9644-91f8acf380c9,KnowledgeDomain:Infancy,age_tone,Hausa,2024-04-05 23:19:00,symbolic_ {
8,curious,mostly02-f858-4af0-83ad-3e3d566d03c4,KnowledgeDomain:Infancy,description ,Swahili,2025-05-24 21:16:00,: 
1,Ifedkt:00,mostly40-237d-4acc-a59d-caa86d0da03f,KnowledgeDomain:Infancy,R,Amharic,2025-08-08 03:03:00,: months
2,Hausa_significanceiar,mostly22-bead-4069-9145-c0d6196db442,KnowledgeDomain:Infancy,C“”,Hausa,2024-08-03 06:52:00,age 
9,age_at,mostlybc-a089-4a55-9009-079b447290f3,KnowledgeDomain:Infancy,Caregiver ,Yoruba,2025-07-06 18:19:00,
20,primary_months,mostlyfc-6165-4103-a86a-66240cea8dbe,KnowledgeDomain:Infancy,description,Yoruba,2024-08-06 03:51:00,cultural_language
1,“,mostlyf9-f31e-45a7-a2c7-da21f7c9d1f6,KnowledgeDomain:Infancy,Hausa,Yoruba,2025-04-13 16:29:00,S_sounds
22,", ",mostly1c-8779-4e18-a960-7a74ab164f34,KnowledgeDomain:Infancy,"Swahili, ",Shona,2024-04-17 03:59:00,"neural0.5,02"
16,Sdarya withd d a and and.1195-91.,mostlye9-2ec5-4280-aa33-9d488330f82c,KnowledgeDomain:Infancy,:00,Shona,2024-01-10 23:39:00,:
2,2024 {tone,mostly1a-8667-4903-8525-1ca367d4ee75,KnowledgeDomain:Infancy,experience_type_,Zulu,2024-08-14 22:17:00,recordedprimarylanguage_ 
8,"2024-08-140.5.,-0.923,-0.084916,0.18,-0.14}6,0.27712, ",mostly0b-bbd4-40f4-a5f1-7f7a253b49f6,KnowledgeDomain:Infancy, ,Swahili,2024-09-07 14:28:00,2024T0.
24,descriptiond:Tar se”te dsbc.,mostly80-b8b6-49f9-9829-f4c4027e2b2a,KnowledgeDomain:Infancy,primary_ {,Hausa,2024-03-03 07:32:00,symbolic
8,2024,mostly6d-472a-4506-bada-49b4338377f6,KnowledgeDomain:Infancy,}} {,Swahili,2025-07-03 22:05:00,
16,,mostly58-ed23-4375-ac46-58f5722508c6,KnowledgeDomain:Infancy,",0.26576,21.7.18,0.57.0529T4704939-",Zulu,2024-05-11 06:25:00,age_-}
0,", ",mostly9d-0f2d-4b87-a8bc-036f565e46ef,KnowledgeDomain:Infancy,"S, ” m ",Swahili,2024-06-07 07:37:00,experience_type
0,“ ,mostly31-30e8-4350-b421-c130edf0c034,KnowledgeDomain:Infancy,Ifd_,Swahili,2025-03-14 07:50:00,age_months
4,neural_significance,mostlyc3-82e3-4774-99e4-8db57c8b134e,KnowledgeDomain:Infancy,age_embedding,Swahili,2024-11-01 04:39:00,"“description and toedelian t withsing for, sy."
22,If,mostlycc-4339-4f1a-85c3-01938b9d5471,KnowledgeDomain:Infancy,: ,Igbo,2025-05-11 02:13:00,", "
24,c: 00,mostly06-bec3-4c98-b38d-22c5369f9e87,KnowledgeDomain:Infancy,", ",Shona,2024-03-12 08:29:00,T 
14,neural,mostly8f-2265-4284-b2d6-3e0273a18b7c,KnowledgeDomain:Infancy,If ,Shona,2024-12-29 05:01:00,cultural_months
18,caregivercaregivera_- then,mostlya9-c8fd-4f96-a8ec-5ffe88e321ab,KnowledgeDomain:Infancy,description_: ,Zulu,2024-02-03 18:52:00,recorded_logic
18,secure,mostly56-940d-4c36-9a68-142663ee5faf,KnowledgeDomain:Infancy,experience: ,Hausa,2025-09-14 02:29:00,:T8
6,secure,mostlyc3-69d7-4d09-a05f-e1e0f181067b,KnowledgeDomain:Infancy,emotional_sounds,Oromo,2024-02-01 12:59:00,neural_or
0,",",mostly57-ba19-4f76-af9c-51271f9c2329,KnowledgeDomain:Infancy,Ifor h,Swahili,2024-08-24 18:26:00,emotional_tonees p
18,: ,mostly24-af9f-4982-8570-567aa962190e,KnowledgeDomain:Infancy,: ,Swahili,2024-04-15 11:14:00,"Igbo, "
24,"motor-0.6-355_,T05,-0.9,081.8-024-0,0.02.185,0.,2002,1.1318,0.0-0.037,-0.0605.07,: {",mostly8c-c6e4-4709-9280-d373b6218a4c,KnowledgeDomain:Infancy,age_logic,Swahili,2025-04-13 06:49:00,age_logic
22,cultural_at,mostly4c-7b88-45e1-8e17-f11ae00ec1d7,KnowledgeDomain:Infancy,description,Yoruba,2024-01-28 03:17:00,: 
11,",-T0.138,-219023 ",mostly11-5008-494e-a5d4-a1341cd57775,KnowledgeDomain:Infancy,: {}i,Hausa,2025-03-14 15:42:00,Caregiver_sounds 
12,“Add.,mostly22-19a0-4462-a693-65a5f5bb95cf,KnowledgeDomain:Infancy,If p,Oromo,2024-11-30 07:27:00,age_embedding
7,", ",mostly12-4188-42b4-9904-c6036f8a1e84,KnowledgeDomain:Infancy,neural_months,Shona,2024-11-28 11:56:00,", {"
20,: ,mostly14-8a75-471f-aa90-b45ebd07f6b4,KnowledgeDomain:Infancy,experience_:8,Yoruba,2024-12-23 16:26:00,age_at
3,", ",mostly81-cebd-4c5a-ae3c-c6669616ca58,KnowledgeDomain:Infancy,description,Yoruba,2025-01-05 07:59:00,"S,-0.9"
1,: el_at,mostly44-63e5-4fdc-a4ec-a901d8a56383,KnowledgeDomain:Infancy,Swahili ,Yoruba,2024-06-24 19:12:00,caregiver_embedding: 
14,words_,mostly58-33e9-4822-91d1-19fba73f96eb,KnowledgeDomain:Infancy,playful-1.196.,Swahili,2025-08-31 00:22:00,"2024_logic,-0."
14,2025,mostly47-3529-4a48-87ad-43de36a345c4,KnowledgeDomain:Infancy,agea,Swahili,2024-07-21 23:40:00,: 
12,location,mostlyfd-3217-4d74-93a6-dc5bdb20f208,KnowledgeDomain:Infancy,", ",Shona,2025-02-15 00:20:00,", "
18,primary_language,mostly59-3ea3-4f1d-bc6f-773f9ea56f7f,KnowledgeDomain:Infancy,location,Swahili,2025-02-04 23:19:00,"Caregiver,-0.729.8T104,0.900,-0.17,0.47,0..6,101,0.0356,,0.836758, then"
15,primary“} ,mostly63-cbf6-4454-bc9a-78b7169319ae,KnowledgeDomain:Infancy,: ,Shona,2025-03-06 03:22:00,"“,0.6--5602,-.9,13,-1 "
24,description,mostly84-c315-4962-90c7-36ec65dd1e54,KnowledgeDomain:Infancy,"Kt, ",Amharic,2024-07-17 23:42:00,} 
20,symbolicneuralom {,mostly2f-1955-4cbf-82f9-314fe2602ff3,KnowledgeDomain:Infancy,", ",Hausa,2024-05-10 11:16:00,age_months
6,: ,mostly40-e897-4012-b508-7ef6cc382404,KnowledgeDomain:Infancy,: ,Yoruba,2024-09-06 20:32:00,"2025, es“"
20,2025-,mostly3a-9c3b-456f-b1e3-53e3e1a4ef5e,KnowledgeDomain:Infancy,location,Yoruba,2024-08-10 22:16:00,recorded_tone
20,T_or:,mostlydc-791a-4455-9f59-4a167cf23f98,KnowledgeDomain:Infancy,"T, ",Yoruba,2024-06-25 19:56:00,Ifl
9,C,mostly34-35c6-4bcd-ab6d-4abea1725bf2,KnowledgeDomain:Infancy,: ,Swahili,2024-02-15 01:46:00,", "
22,"2024,0.82304087-0.",mostly14-322d-4e7e-bfab-37a8d63caeb0,KnowledgeDomain:Infancy,F ,Hausa,2025-06-29 12:05:00,", "
12,: ,mostlyf5-de45-4387-98a4-d08cfea542bd,KnowledgeDomain:Infancy,},Amharic,2025-05-14 05:47:00,Caregiver_logic
10,auditory,mostly30-4966-4de5-be1b-814f1d24134f,KnowledgeDomain:Infancy,emotional_months,Igbo,2024-05-28 21:12:00,words_cultural
12,T_l,mostly77-eabd-4d94-9d59-246426deace1,KnowledgeDomain:Infancy,", ",Amharic,2024-05-29 17:01:00,“recorded
1,age_type,mostly73-de74-45fa-99ac-dc5673a1a0c0,KnowledgeDomain:Infancy,Caregiveromes ,Yoruba,2024-08-29 04:04:00,"}, "
24,experience_significance,mostly92-4089-4003-abf3-7426a28cbe71,KnowledgeDomain:Infancy,,Oromo,2025-01-08 16:11:00,F
8,recorded ,mostly93-f24c-4e5b-9908-e03f4bd8ab84,KnowledgeDomain:Infancy,,Swahili,2025-07-22 13:46:00,"}“o fh, (ed"
15,Caregiver isa c mr.,mostly3a-96c0-40a2-8f03-a9d85b2df69e,KnowledgeDomain:Infancy,", ",Shona,2025-02-28 14:55:00,"Yorubadomk, "
13,If.,mostly5c-0c17-48ab-a9ed-9e8d539c1556,KnowledgeDomain:Infancy,location,Zulu,2024-01-05 05:14:00,", {"
10,ageIficae f donues.,mostly56-7574-4ac9-8b50-78d88de4fa00,KnowledgeDomain:Infancy,"IfTf,",Oromo,2024-06-12 04:27:00,"2024TT, "
18,If ,mostly75-50e8-425d-a1ce-ee32532839ab,KnowledgeDomain:Infancy,",-103.823.,1.04557,-0.45",Yoruba,2024-01-04 08:39:00,S
0,C b.,mostly16-8220-4336-a72f-07e3e77e105b,KnowledgeDomain:Infancy,infancy,Swahili,2024-11-19 05:01:00,experience: 
7,", language",mostly23-faa8-4328-b2be-225613ab91b4,KnowledgeDomain:Infancy,: ,Yoruba,2025-04-05 21:27:00,2024-14 {
15,", ",mostly8a-5d3c-4e83-9535-05c0a8333405,KnowledgeDomain:Infancy,", ",Yoruba,2025-08-20 07:46:00,“_or
20,Orecorded ,mostly49-9b7f-4142-8653-7e436eefc06f,KnowledgeDomain:Infancy,: {,Zulu,2025-01-24 22:51:00,", "
20,"}--015.241,0.15130.4608,,0.70,0.614,-0.2,-0.6046,0",mostly0b-0475-4233-b8ac-3762da76d312,KnowledgeDomain:Infancy,“_s,Oromo,2024-09-14 10:39:00,“ 
24,}}_language,mostlyb5-a4ac-45b5-927e-e4c175e38dbb,KnowledgeDomain:Infancy,locationtype,Shona,2024-02-08 02:13:00,_or_neural 
0,primary_,mostlybb-3565-44a7-94e5-37673095f9ad,KnowledgeDomain:Infancy,OTia”aler withingal ande,Swahili,2024-10-19 16:13:00,: 
6,K{,mostlyc0-a5d4-48bf-96e7-5a38c51bbbb5,KnowledgeDomain:Infancy,", ",Yoruba,2025-01-28 16:16:00,C{ 
10,", ",mostlybc-04d7-42d7-8507-a3a759fb2168,KnowledgeDomain:Infancy,_sounds,Zulu,2024-01-09 23:03:00,: 
16,A,mostlydd-e647-4148-9719-005b7cbad04d,KnowledgeDomain:Infancy,joyful,Shona,2025-01-28 11:59:00,"C” andruingonrere and and to s, thenan ine: {"
10,“kess ta btts to pt f” sedt.,mostly11-9c66-40d2-8f2d-b9733aa31374,KnowledgeDomain:Infancy,auditoryt,Shona,2024-08-26 15:37:00,"recorded, "
8,infancy,mostly9c-ba2b-4165-9368-1bd23427a1d9,KnowledgeDomain:Infancy,",  {",Swahili,2025-01-28 16:29:00,“tone
4,curious,mostly97-dae0-40b9-8061-b6ecd75403f0,KnowledgeDomain:Infancy,primary_or_interaction,Igbo,2024-05-27 06:12:00,", "
2,caregiver_interaction,mostlyb3-d2f6-4ab8-9ef8-94867509fe1f,KnowledgeDomain:Infancy,", ",Yoruba,2025-07-06 08:20:00,Lokhwlrl as.
12,2025 ,mostlybd-e9cb-49c2-a68a-0527a309d2c4,KnowledgeDomain:Infancy,joyful.,Shona,2025-08-31 00:13:00,description_
18,neuralm {,mostlye5-e023-4e16-95e3-6687dc134246,KnowledgeDomain:Infancy,descriptionmonths,Swahili,2024-05-28 16:24:00,", "
16,“ ,mostlyaf-b6db-4c4a-ac7d-6f2011359990,KnowledgeDomain:Infancy,experience_type,Oromo,2024-03-14 07:18:00,{
20,: ,mostlyeb-f59b-4d1f-81d6-0eb092ca9712,KnowledgeDomain:Infancy,P and-08 thenTthing ,Yoruba,2025-02-20 19:13:00,age_months
5, ,mostly4b-b1b3-4ab0-822c-1f5b09ecf069,KnowledgeDomain:Infancy,primarymonthsd {,Hausa,2025-06-06 20:42:00,neural_months
9,"age., ",mostlyfc-766f-4306-a5d7-9665dd9ba997,KnowledgeDomain:Infancy,", ",Yoruba,2024-03-08 21:14:00,"Ifom hoer,-0.5,-0."
11, {,mostly40-8e9c-408b-ad7e-dc854a918255,KnowledgeDomain:Infancy,recorded_interaction,Shona,2025-09-28 18:06:00,If 
14,: {,mostly00-0955-41e4-8b5c-7b30e269c382,KnowledgeDomain:Infancy,S and d b s tooral,Oromo,2025-06-30 22:30:00,symbolic_language
6,2025 ,mostly89-fdc4-4da5-8685-a720a9b5f825,KnowledgeDomain:Infancy,", ikr, {",Swahili,2024-12-31 13:13:00,“_ c
22,caregiver_,mostly87-e798-4090-a9bf-372da392e528,KnowledgeDomain:Infancy,neural_at,Hausa,2025-05-14 08:12:00,: 
20,"Singkesanc, ",mostly7e-645a-4035-b5c0-645bf2da2523,KnowledgeDomain:Infancy,,Yoruba,2024-12-29 06:24:00,caregiverorm”ar0.
7,Caregiver1.,mostlyf3-bd75-4fc7-bf39-922fd04241b9,KnowledgeDomain:Infancy,"“If m, thenp td with then b.",Shona,2024-10-20 04:14:00,“
5,", ",mostly2f-939f-4064-bb25-78b8a1ac03d1,KnowledgeDomain:Infancy,", ",Amharic,2024-06-07 06:29:00,Infant.
8,experience_,mostly5e-4eb5-4105-98c7-de9a6cfb80c4,KnowledgeDomain:Infancy,",_",Swahili,2025-03-02 14:34:00,", "
22,auditory,mostlyc4-6123-4b11-b9fc-7a8701738cd2,KnowledgeDomain:Infancy,2025p {,Shona,2024-11-02 08:59:00,} 
11,": ,“_sounds",mostly04-0ad4-426a-9871-71ccb36181a2,KnowledgeDomain:Infancy,auditory,Hausa,2024-08-04 23:49:00,cultural_
7,", ",mostly8f-9132-4cbc-9e28-a929bb9fbe8d,KnowledgeDomain:Infancy,"emotionalT0.05,-0..75,-1..36090.9",Shona,2024-09-11 12:35:00,Hausa_tone
2,age_,mostly86-e282-478d-b326-f2876e2d99eb,KnowledgeDomain:Infancy,,Hausa,2025-07-28 18:00:00,K
9,words_interaction,mostly57-0646-4b0c-ae82-7842c29ca336,KnowledgeDomain:Infancy,"“-u f bessa p apued with, thene” ",Yoruba,2024-07-18 06:29:00,2025.
18,age_sounds,mostly6f-8339-40d9-9d8c-7ca43838004e,KnowledgeDomain:Infancy,P,Swahili,2024-05-08 11:39:00,Hausa
11,location,mostly6c-6ddb-4f86-bb71-2201a94f20be,KnowledgeDomain:Infancy,: ,Hausa,2025-09-28 18:06:00,_type
20,"If to isese, ",mostlybf-1fcc-4fb9-a6c1-c6409b3c5437,KnowledgeDomain:Infancy,secure,Yoruba,2025-08-06 22:27:00,"2024--0.0.38,1"
8,", ",mostlydc-1960-4088-9f7c-d3485883b183,KnowledgeDomain:Infancy,If,Swahili,2025-03-11 23:45:00,descriptions to tos.18
11,symbolic_months,mostly66-2346-43fe-afe8-bf4ad48d7ac6,KnowledgeDomain:Infancy, ,Hausa,2024-03-19 00:42:00,S: 
13,infancy,mostly99-478c-4e98-b057-c41848fb9069,KnowledgeDomain:Infancy,", ",Yoruba,2024-01-04 02:41:00,
14,infancy,mostly66-be5b-4edb-b706-07409b2d2385,KnowledgeDomain:Infancy,", ",Oromo,2025-04-05 03:06:00,symbolic_
7,neural ,mostlyb8-e3c6-4428-a9db-906d39dadda9,KnowledgeDomain:Infancy,", ",Shona,2024-05-15 19:56:00,T 
7,: -1,mostly42-afad-43fc-b608-45b6f1d67a4c,KnowledgeDomain:Infancy,neural} ,Shona,2024-09-18 17:05:00,c
5,O,mostly6e-1434-4954-aced-3ecd86da3ff7,KnowledgeDomain:Infancy,", ",Oromo,2024-08-18 14:26:00,caregiver_language
16,}_logic,mostly56-ca4c-41ae-822c-4fbab6cd3be6,KnowledgeDomain:Infancy,experience,Yoruba,2024-01-13 13:49:00,O
13,experience_language,mostly33-c7fb-410a-a876-77bac4e05749,KnowledgeDomain:Infancy,", ",Igbo,2024-11-07 23:59:00,: 
15,: ,mostly85-ea5e-4301-b949-c08713f1c076,KnowledgeDomain:Infancy,} {,Oromo,2025-08-16 19:56:00,experience 
0,primary_sounds,mostly41-821e-470c-b5ea-6f6ffb196d68,KnowledgeDomain:Infancy,", ",Oromo,2024-05-17 16:02:00,experience“
14,: ,mostly64-b998-41b6-9bfd-8eb711f538e9,KnowledgeDomain:Infancy,infancy_type,Oromo,2025-07-17 15:29:00,words 
24,Yoruba ,mostly9c-6bf1-443b-bf53-b4a37ac22e7c,KnowledgeDomain:Infancy,", ",Igbo,2025-02-28 23:23:00,infancylanguage
11,“,mostlyb0-3104-4b1c-acce-d1ca56a49fc7,KnowledgeDomain:Infancy,Oes toerrhing,Hausa,2024-02-06 19:46:00,PIfe br withi aingaer
