description,id,labels,language,name,primary_language,recorded_at,region
,mostly73-5526-4274-b0ac-04adbc577012,KnowledgeDomain:Culture,,,Amharic,2024-01-04 16:26:00,
A_purpose,mostlyc5-62de-4cec-acab-95c36fc913c8,KnowledgeDomain:Culture,,,Zulu,2024-05-10 05:05:00,
: ,mostly55-6cbb-40cc-ab38-d6ede35c0a5f,KnowledgeDomain:Culture,,,Igbo,2024-08-02 18:27:00,
"meaningeop. of and, and.",mostly08-4ee8-40b5-aaf8-3a6b0df4c438,KnowledgeDomain:Culture,,,Swahili,2024-07-30 10:53:00,
description_,mostly9e-3bca-40b2-aa5e-efeff9497463,KnowledgeDomain:Culture,,,Yoruba,2025-01-21 01:26:00,
"2025-1.1377,0.38,0..6,-0.1050123,-11.82,-T058e05,1.05, 8-1.1,-1.543:,",mostlyba-e650-4338-9713-b18038678a00,KnowledgeDomain:Culture,,,Swahili,2024-10-19 17:38:00,
recorded ,mostly05-1d32-4789-b053-d797973f3ce5,KnowledgeDomain:Culture,,,Oromo,2024-08-05 10:39:00,
recorded_purpose,mostlyc2-f6f7-40a3-acd3-507bf076e80e,KnowledgeDomain:Culture,,,Hausa,2025-08-21 18:02:00,
moderneulega to iny c.,mostly60-8dd0-4952-806c-49710ca108c1,KnowledgeDomain:Culture,,,Yoruba,2024-10-10 00:38:00,
neural.,mostly0b-289c-4300-b1a1-9d320bce46a0,KnowledgeDomain:Culture,,,Shona,2025-05-12 22:36:00,
", ",mostly96-fa4b-4407-afe9-32fab3d77b21,KnowledgeDomain:Culture,,,Swahili,2025-05-11 09:08:00,
"M asc,-g.39, schools and.-",mostlyb2-e814-40bc-a545-7e3cc00b0ad6,KnowledgeDomain:Culture,,,Igbo,2024-05-30 14:22:00,
symbolic Africa,mostly58-74d3-4f65-83e4-9c37876a7d09,KnowledgeDomain:Culture,,,Igbo,2024-05-21 16:13:00,
region,mostly5f-6d21-4dc8-aa62-e2e30d784c3a,KnowledgeDomain:Culture,,,Zulu,2024-03-25 04:18:00,
primary_method,mostlyca-bc01-4649-99c9-7682ab8517ab,KnowledgeDomain:Culture,,,Swahili,2025-02-13 18:53:00,
Swahili,mostly04-609f-43d8-a227-0179a0247321,KnowledgeDomain:Culture,,,Amharic,2024-09-16 14:37:00,
"See lena inicen,.",mostlye1-de3c-4195-ace0-a7e1ca3a1a91,KnowledgeDomain:Culture,,,Oromo,2024-01-02 18:41:00,
cultural_context,mostlycb-d906-4432-8be9-8086342cd817,KnowledgeDomain:Culture,,,Yoruba,2025-01-25 11:53:00,
2025,mostly1a-5b08-4be9-bf87-315fc8494416,KnowledgeDomain:Culture,,,Igbo,2025-02-12 05:51:00,
", ",mostly51-8acd-4f04-8551-e299934e10ca,KnowledgeDomain:Culture,,,Oromo,2025-03-03 03:36:00,
"Toes, and communityo community,.",mostlyd7-d759-49f5-93cb-f8c02b7afc7d,KnowledgeDomain:Culture,,,Yoruba,2024-02-08 18:40:00,
"-T1.01250903,-0.5 and1 03,21.",mostly55-3a1e-4b41-a7ba-aa2b31caa3a1,KnowledgeDomain:Culture,,,Yoruba,2024-07-15 09:12:00,
"To inm spy the and, andalu:",mostlyaa-4cdc-4ce6-9d71-09eaa71da39b,KnowledgeDomain:Culture,,,Swahili,2024-06-02 03:48:00,
: ,mostly65-0827-4458-929c-b4b899380d34,KnowledgeDomain:Culture,,,Yoruba,2024-07-11 07:57:00,
: {,mostly2c-ebbd-4a4f-98d7-3185d7d832b4,KnowledgeDomain:Culture,,,Amharic,2025-03-19 11:45:00,
description,mostlya0-e635-44f4-b7ba-9a43130694ff,KnowledgeDomain:Culture,,,Amharic,2025-09-20 19:39:00,
 ,mostly61-d812-4c85-a6cf-de05d4ba6856,KnowledgeDomain:Culture,,,Oromo,2024-03-13 19:12:00,
P a,mostly6d-78ed-41ac-b70d-003c2d4ff1ff,KnowledgeDomain:Culture,,,Hausa,2025-04-01 23:47:00,
: ,mostly96-8ca4-4c87-b536-be3f55da9a23,KnowledgeDomain:Culture,,,Yoruba,2025-07-28 07:02:00,
symbolic of_nled.,mostlyb1-959e-43d9-ac74-3398d75c5661,KnowledgeDomain:Culture,,,Yoruba,2025-09-20 19:39:00,
: ,mostly5e-914d-4044-b3ed-8f22f9a59009,KnowledgeDomain:Culture,,,Yoruba,2024-01-15 22:29:00,
"2024-3205-Ting-0.11,0.9T-T.",mostly80-c36c-4b8d-abbd-cfd74a031894,KnowledgeDomain:Culture,,,Yoruba,2024-10-13 16:03:00,
Oraluing ofdyle.,mostlybe-c307-42ba-b3ca-060e05a4f5b0,KnowledgeDomain:Culture,,,Oromo,2025-09-20 19:39:00,
2024-3230.82,mostlyc9-b501-42c2-a15e-3efb65dbc610,KnowledgeDomain:Culture,,,Zulu,2024-03-27 20:31:00,
symbolic ,mostly14-a1ba-46ce-be44-fae74d2ddc0d,KnowledgeDomain:Culture,,,Hausa,2025-02-22 14:47:00,
C.,mostly63-517f-4e10-a533-2bd077c76be1,KnowledgeDomain:Culture,,,Igbo,2024-02-21 20:06:00,
neural_relevance,mostly20-5f7a-4843-b87c-3634b8d55c4a,KnowledgeDomain:Culture,,,Igbo,2024-11-08 16:31:00,
2024 ,mostly01-33e0-4245-bfb5-3b02942ee6a4,KnowledgeDomain:Culture,,,Igbo,2025-06-14 01:18:00,
recorded_purposerepresentation,mostly9d-87f6-4da8-b34c-f54f48cba75d,KnowledgeDomain:Culture,,,Swahili,2024-06-27 15:55:00,
historical,mostly9c-f1a3-4423-b044-af4097956986,KnowledgeDomain:Culture,,,Igbo,2024-09-02 23:04:00,
culture,mostly50-1e96-4fa9-ad0e-dad7752ddb76,KnowledgeDomain:Culture,,,Zulu,2025-07-30 20:05:00,
wisdom_relevance,mostly78-cc9b-440a-8e85-b3f13c2c2f7e,KnowledgeDomain:Culture,,,Shona,2024-04-19 12:50:00,
{,mostly93-a7e3-4a6f-aee6-ff2e6ecf0180,KnowledgeDomain:Culture,,,Zulu,2024-02-14 03:19:00,
description,mostly99-fbbb-479c-8152-e6a258b71ae4,KnowledgeDomain:Culture,,,Amharic,2025-04-10 17:51:00,
festivala,mostly4f-0770-4e1e-aa1c-98e6225ca90e,KnowledgeDomain:Culture,,,Igbo,2025-09-20 19:39:00,
modern_ores,mostly83-4c73-4b1f-bdc2-6eb3c50cf7ae,KnowledgeDomain:Culture,,,Amharic,2024-02-10 18:00:00,
symbolic_context,mostly5d-0660-4151-9e9f-8946b2c082fd,KnowledgeDomain:Culture,,,Yoruba,2024-07-30 02:09:00,
recorded_element,mostly6e-5830-471b-ac8b-b827554a84ff,KnowledgeDomain:Culture,,,Yoruba,2024-10-30 02:45:00,
cultural,mostlye8-177b-4055-a321-6582ef591834,KnowledgeDomain:Culture,,,Swahili,2024-03-13 12:02:00,
modern_element,mostlyb7-86fd-4422-918b-27ef628d13d3,KnowledgeDomain:Culture,,,Hausa,2024-12-17 12:19:00,
Igbo,mostly73-e467-4a95-8464-32a1bfedb422,KnowledgeDomain:Culture,,,Amharic,2025-03-08 18:54:00,
"-08.4.-62507,06, and25159.142 .28",mostlyad-dd14-4f1f-9878-46bf5631429b,KnowledgeDomain:Culture,,,Amharic,2024-08-26 18:56:00,
,mostly4c-24a9-47db-8af3-33f156814345,KnowledgeDomain:Culture,,,Hausa,2025-03-05 20:02:00,
,mostlya3-0e51-4d7c-a39d-b3160d748085,KnowledgeDomain:Culture,,,Shona,2025-09-20 19:39:00,
transmission,mostly38-daf6-4a7f-b43b-278513823bbe,KnowledgeDomain:Culture,,,Yoruba,2024-10-07 12:43:00,
}_at,mostlyad-4937-45ca-97bf-e5ad935fc7fd,KnowledgeDomain:Culture,,,Hausa,2024-06-28 16:12:00,
2025-T:: ,mostlyf7-136f-4ee3-a854-7181f9618789,KnowledgeDomain:Culture,,,Amharic,2025-06-03 10:51:00,
"dance,--speaking_",mostlyf7-0286-4514-bcd8-10a0faf654b0,KnowledgeDomain:Culture,,,Shona,2024-02-09 18:29:00,
}e,mostlya7-24c2-4f09-a413-7a1abceba05f,KnowledgeDomain:Culture,,,Igbo,2025-06-14 03:25:00,
region,mostlye5-4640-477f-ad5c-5af55afe2fad,KnowledgeDomain:Culture,,,Oromo,2024-06-10 00:37:00,
description{,mostly16-2bc0-40ae-82bd-b8fccfc33a06,KnowledgeDomain:Culture,,,Swahili,2025-03-10 12:06:00,
recorded_ and ,mostly7c-008b-43ec-94bb-29061200d650,KnowledgeDomain:Culture,,,Igbo,2024-06-17 02:50:00,
"-029,2 and05}}region,",mostlybd-0a8e-4177-8769-a04c89b58a45,KnowledgeDomain:Culture,,,Zulu,2025-04-13 22:51:00,
wisdom_:.,mostly0a-b8b1-47c9-a972-1d4a7b0bae01,KnowledgeDomain:Culture,,,Yoruba,2024-04-30 01:12:00,
Pea mleet m and,mostly67-10a6-4086-a833-e288e472e8ad,KnowledgeDomain:Culture,,,Amharic,2025-02-17 19:10:00,
region,mostlyff-5a88-4de8-9fda-ff94525b0a47,KnowledgeDomain:Culture,,,Swahili,2024-02-13 04:27:00,
E {,mostly6b-865a-430c-96fb-05e991c87166,KnowledgeDomain:Culture,,,Amharic,2024-06-03 22:42:00,
2024,mostlye2-f437-49de-b7e6-b2bf8ccfe69d,KnowledgeDomain:Culture,,,Hausa,2025-06-27 22:34:00,
,mostlya3-9443-4d56-a0d6-6dcc2accb774,KnowledgeDomain:Culture,,,Amharic,2025-01-30 23:13:00,
wisdoma,mostly3c-32aa-4cfb-a3d2-64d4386cb68d,KnowledgeDomain:Culture,,,Igbo,2025-03-07 00:10:00,
modern_,mostly59-7be8-4e59-85da-484ddb9bf576,KnowledgeDomain:Culture,,,Amharic,2024-06-13 20:26:00,
C,mostlyf1-57c4-44be-ba36-4ce74cf02b15,KnowledgeDomain:Culture,,,Hausa,2024-08-28 13:09:00,
"-0.36,-1.3-0-.",mostly9a-dc1e-473f-b7c9-0966dd1f2baa,KnowledgeDomain:Culture,,,Zulu,2025-01-28 20:04:00,
: {context,mostlyd3-8946-43cd-b5ef-58ffd0263bb0,KnowledgeDomain:Culture,,,Oromo,2025-09-20 19:39:00,
dance anding,mostlyff-fe4b-434a-b35e-b1e217e2ef89,KnowledgeDomain:Culture,,,Hausa,2024-02-29 18:25:00,
M,mostly08-dd08-4439-bd77-65b38e7c3657,KnowledgeDomain:Culture,,,Igbo,2025-01-27 17:49:00,
20251.,mostly33-aeaf-43a6-a3bb-cb756367b3fa,KnowledgeDomain:Culture,,,Igbo,2024-01-22 06:24:00,
recorded_at,mostly3d-8c17-48f3-90da-5f8b943dd5be,KnowledgeDomain:Culture,,,Amharic,2025-09-20 19:39:00,
"Af, ",mostlya8-fcf4-4f0d-ad25-6608297e76bb,KnowledgeDomain:Culture,,,Zulu,2024-11-18 23:02:00,
 {,mostly1d-ec04-4be1-9634-d907bfe28dd9,KnowledgeDomain:Culture,,,Amharic,2025-08-05 17:43:00,
", ",mostly4f-058e-4977-8ac1-fffc2e44e75f,KnowledgeDomain:Culture,,,Yoruba,2024-07-16 20:03:00,
symbolic,mostly7e-6224-4394-85bb-52777911d550,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
modern_representation,mostly76-6b76-4588-a986-4a45e2b7b59f,KnowledgeDomain:Culture,,,Swahili,2024-03-02 15:15:00,
C_or,mostly4d-2768-4d0c-b3d7-eecfcd8767a1,KnowledgeDomain:Culture,,,Hausa,2025-06-19 13:46:00,
description,mostly70-98b7-4689-99e9-e7ef0e0fd773,KnowledgeDomain:Culture,,,Igbo,2024-08-28 01:25:00,
: ,mostly6f-caf1-47a3-9a53-f53459b9a3b6,KnowledgeDomain:Culture,,,Amharic,2024-06-09 01:04:00,
festival ,mostly56-33ab-43fb-8466-059ab5a16064,KnowledgeDomain:Culture,,,Hausa,2024-03-29 01:37:00,
Zulu,mostly16-5876-48dc-8307-926f2cba687a,KnowledgeDomain:Culture,,,Hausa,2024-03-06 18:22:00,
2024 ,mostlya6-109a-4745-8c99-868120d6f238,KnowledgeDomain:Culture,,,Swahili,2025-09-20 19:39:00,
historicalrepresentation,mostlya9-1566-40ce-af34-dc6accd79738,KnowledgeDomain:Culture,,,Hausa,2025-08-01 19:45:00,
culture,mostly32-4f63-4e23-9a23-bede24b6e184,KnowledgeDomain:Culture,,,Hausa,2024-11-04 02:14:00,
description,mostlyf8-4f24-4528-8afa-52d60bc9b09f,KnowledgeDomain:Culture,,,Shona,2024-06-04 05:21:00,
In,mostlyfc-0212-462a-a7d6-8db4b0db5dbf,KnowledgeDomain:Culture,,,Zulu,2024-01-25 05:15:00,
historical_element,mostly9b-eb1a-4bcd-8edd-fb7c4023b0ae,KnowledgeDomain:Culture,,,Yoruba,2024-08-05 09:40:00,
,mostly0c-0476-406b-8245-66a6fd56e9ce,KnowledgeDomain:Culture,,,Swahili,2025-03-19 20:55:00,
Southwestt--t.,mostly24-c66c-456e-ac81-5bd0315e468b,KnowledgeDomain:Culture,,,Shona,2025-02-28 09:28:00,
cultural_element:,mostly9a-eab6-422c-a9f9-51854bd5f9b0,KnowledgeDomain:Culture,,,Yoruba,2024-05-27 08:20:00,
"-0.17,02,1.88,--0.",mostly30-0dba-45c2-a041-1bc95574bbf9,KnowledgeDomain:Culture,,,Yoruba,2024-04-30 02:57:00,
wisdom} ,mostly6d-1c2d-4029-99bb-2d9cd02e7fcd,KnowledgeDomain:Culture,,,Zulu,2024-10-04 02:32:00,
S,mostlycc-3561-4462-a41d-2d29ee5c3804,KnowledgeDomain:Culture,,,Hausa,2024-10-25 07:38:00,
description,mostlyb6-6100-4228-bb65-8b0989c05f5b,KnowledgeDomain:Culture,,,Igbo,2024-02-11 04:02:00,
} ,mostlyd3-f0e3-4bd5-a8e1-a982c3765864,KnowledgeDomain:Culture,,,Shona,2025-06-26 00:09:00,
"E, ",mostly5c-1a1c-4851-b604-8bf7b4a91f07,KnowledgeDomain:Culture,,,Shona,2025-01-23 01:32:00,
,mostly2b-21ab-472b-8f92-be04dcd1c17b,KnowledgeDomain:Culture,,,Yoruba,2024-10-17 04:37:00,
description,mostly20-d534-43e8-b0c7-c8a3e28b18c9,KnowledgeDomain:Culture,,,Oromo,2025-06-19 19:29:00,
description,mostlyf0-943c-49d6-a1ca-2df933a94f41,KnowledgeDomain:Culture,,,Igbo,2025-07-19 13:18:00,
Igbo_relevance,mostlyc1-e763-45c9-b29e-0a6665f880e3,KnowledgeDomain:Culture,,,Swahili,2024-01-08 06:46:00,
P ines d andy .,mostly0e-d51d-44a3-9bf1-58a1ebf56c90,KnowledgeDomain:Culture,,,Shona,2025-02-13 16:52:00,
cultural,mostly8d-6c6e-4865-8251-b412dfb74f1e,KnowledgeDomain:Culture,,,Zulu,2024-08-18 04:13:00,
symbolic_element,mostlycc-ecc3-4175-b804-a116d9d4b2cf,KnowledgeDomain:Culture,,,Swahili,2024-02-09 12:03:00,
description,mostlyb4-2283-4be5-ae42-4663bd4be8ae,KnowledgeDomain:Culture,,,Igbo,2024-08-07 11:42:00,
cultural_encoded:,mostly65-d551-439b-bf4a-86fd0da66466,KnowledgeDomain:Culture,,,Shona,2024-05-17 21:53:00,
: {,mostly63-de9f-4371-9315-be895b37639f,KnowledgeDomain:Culture,,,Zulu,2024-01-01 15:19:00,
} ,mostly3c-4582-4be6-a75e-924a4fe8bac7,KnowledgeDomain:Culture,,,Zulu,2024-07-28 16:23:00,
meaning_encoded,mostly67-c61a-43af-a082-f0a6fb3f91db,KnowledgeDomain:Culture,,,Oromo,2024-04-20 04:59:00,
2025,mostly4a-4652-4274-9b20-45b4addcace0,KnowledgeDomain:Culture,,,Igbo,2025-09-20 19:39:00,
: ,mostlya1-acf2-48b6-94ce-483dc97b5f76,KnowledgeDomain:Culture,,,Hausa,2024-05-15 02:10:00,
C,mostly85-1d57-4633-96de-0a0137f43cef,KnowledgeDomain:Culture,,,Swahili,2024-02-13 09:42:00,
: ,mostly4a-92a2-4355-ad32-d3c1cf84dace,KnowledgeDomain:Culture,,,Hausa,2024-08-02 10:42:00,
,mostly44-9127-4740-bf8b-c1d13c36406e,KnowledgeDomain:Culture,,,Amharic,2024-01-22 16:33:00,
wisdom_method,mostlyc5-e793-4385-bd5d-eea689dc9138,KnowledgeDomain:Culture,,,Amharic,2024-01-04 02:09:00,
,mostly14-6a0d-4ddb-9324-57d0d257e6f2,KnowledgeDomain:Culture,,,Amharic,2024-08-17 00:47:00,
", ",mostly7e-8522-4784-90cf-a96f03628c9b,KnowledgeDomain:Culture,,,Igbo,2024-06-28 05:40:00,
culture,mostlyaf-6781-44dc-b690-0a91f1e15189,KnowledgeDomain:Culture,,,Amharic,2024-06-01 20:00:00,
Ps,mostly60-38f2-4b8b-9b65-8949152abd05,KnowledgeDomain:Culture,,,Amharic,2024-06-13 16:59:00,
neural_embedding,mostlyb5-5403-4e55-bd23-3e68d1f49328,KnowledgeDomain:Culture,,,Yoruba,2024-08-31 08:34:00,
: ,mostly3e-aa32-4380-b494-c97935096612,KnowledgeDomain:Culture,,,Zulu,2024-02-29 20:38:00,
: ,mostly4b-aa4c-46fb-9336-a26c0f5844d7,KnowledgeDomain:Culture,,,Shona,2025-09-20 19:39:00,
culturear,mostly88-b1df-41ec-a7a6-1592cffde5eb,KnowledgeDomain:Culture,,,Oromo,2024-04-28 04:44:00,
culture,mostly1a-ec50-400c-84c7-4c67e2ff70d5,KnowledgeDomain:Culture,,,Hausa,2024-01-02 00:24:00,
neural: ,mostly29-e97d-47f2-b968-0ed097f2543d,KnowledgeDomain:Culture,,,Zulu,2024-01-26 11:14:00,
C{{,mostlyec-8ab0-418d-9c33-a6e49d9ee12e,KnowledgeDomain:Culture,,,Amharic,2024-10-18 13:00:00,
", ",mostly00-7434-42c3-b10c-12f8953b4a37,KnowledgeDomain:Culture,,,Zulu,2025-03-02 17:09:00,
"recorded_language-0 andt to w theeedes and communityan and, and dy in and w communityerar, --",mostlye9-9a12-4908-ba92-f0e1ee848237,KnowledgeDomain:Culture,,,Shona,2024-10-17 22:55:00,
neural,mostly6a-1682-4c93-b07b-2007db020cb0,KnowledgeDomain:Culture,,,Amharic,2025-09-20 19:39:00,
region,mostlyb1-8a43-43d2-9fc9-a29ec1d87445,KnowledgeDomain:Culture,,,Swahili,2025-04-25 02:27:00,
region_language,mostly8c-5c67-4423-9751-f4208b6add87,KnowledgeDomain:Culture,,,Igbo,2025-03-25 09:44:00,
"2024-T,-1.4,0..397,1.46,-1-speaking13",mostly51-3988-4af7-8d97-6b28bc4b0909,KnowledgeDomain:Culture,,,Igbo,2024-04-25 23:20:00,
,mostly7d-c9c8-4014-9581-673a1de82efe,KnowledgeDomain:Culture,,,Oromo,2025-02-27 17:00:00,
recorded {,mostlye6-6c99-4c3b-9116-fb664a0b9627,KnowledgeDomain:Culture,,,Shona,2025-07-05 20:39:00,
historical_language,mostlybb-66d2-4831-9592-c056f9a002f3,KnowledgeDomain:Culture,,,Zulu,2024-01-13 13:31:00,
historical_or,mostly04-7830-4d78-a0d2-c20093cb6ae0,KnowledgeDomain:Culture,,,Yoruba,2024-06-15 04:00:00,
2024--19.,mostlyad-06cb-4e44-9637-18dec4e952ef,KnowledgeDomain:Culture,,,Swahili,2024-04-12 01:01:00,
Oral Africa,mostlyfa-34f1-43a9-b8bf-b7910fe4f6ba,KnowledgeDomain:Culture,,,Igbo,2025-04-05 11:38:00,
Amharic,mostlycb-6fce-41c0-96fa-fee3476e45b5,KnowledgeDomain:Culture,,,Amharic,2025-02-01 22:10:00,
: ,mostlyb6-165e-43d9-9fc6-1076131146a4,KnowledgeDomain:Culture,,,Yoruba,2025-04-06 14:27:00,
", ",mostlya2-6b3f-475b-ab0c-0299c39337a7,KnowledgeDomain:Culture,,,Hausa,2025-03-21 03:02:00,
culturalm-.,mostlya7-6931-4856-886d-ac46f29e3b33,KnowledgeDomain:Culture,,,Igbo,2024-01-23 16:48:00,
recorded_,mostlya4-4c20-48e3-a4a7-6779f6afb7ad,KnowledgeDomain:Culture,,,Hausa,2025-02-10 14:44:00,
} {,mostlyfa-c9c7-47c7-bc31-e4eaf5470e82,KnowledgeDomain:Culture,,,Swahili,2025-08-31 22:01:00,
"Ee and socialing s,",mostly89-ad87-4774-b96d-0134736523f3,KnowledgeDomain:Culture,,,Igbo,2024-07-15 14:31:00,
Swahili andb theedation and andes}.13,mostly52-7ff4-4458-a351-3be43e0cf271,KnowledgeDomain:Culture,,,Amharic,2024-03-26 04:05:00,
cultural__encoded,mostly44-fa04-47b7-96d8-12c6e4547ab1,KnowledgeDomain:Culture,,,Swahili,2025-02-13 01:09:00,
historical_element,mostlyc6-f0d3-455f-bc41-e2b9ca7de5df,KnowledgeDomain:Culture,,,Hausa,2025-04-08 20:17:00,
primary_relevance,mostly54-9114-4d8b-b1e9-d73bf334b930,KnowledgeDomain:Culture,,,Amharic,2025-07-27 00:40:00,
recorded_at,mostly91-ee54-459f-a0a5-9335006cfd3a,KnowledgeDomain:Culture,,,Oromo,2025-04-03 09:52:00,
}-,mostlyae-83b9-4632-93e8-1e570c383ae3,KnowledgeDomain:Culture,,,Zulu,2025-07-10 11:01:00,
"modern_-.040465,0..04390.13613",mostly47-a6c7-44ac-8cb3-2fa9672db666,KnowledgeDomain:Culture,,,Shona,2024-05-14 01:03:00,
culture,mostly13-75a3-45a0-bd44-8dcde61fecec,KnowledgeDomain:Culture,,,Yoruba,2025-09-20 19:39:00,
,mostly25-8d6d-4039-8c19-a597f1c26a65,KnowledgeDomain:Culture,,,Swahili,2025-01-18 16:20:00,
: ,mostly26-7274-4b09-bdf4-6f1c469e57b2,KnowledgeDomain:Culture,,,Yoruba,2024-02-02 09:14:00,
: ,mostlyad-d67b-472a-8c88-449897e70249,KnowledgeDomain:Culture,,,Yoruba,2025-05-26 16:27:00,
M_element ,mostly5f-bcd8-4124-8e24-4e722039a884,KnowledgeDomain:Culture,,,Amharic,2024-01-17 23:36:00,
", {",mostlyd6-5789-428c-afff-54e1f0a323c7,KnowledgeDomain:Culture,,,Yoruba,2024-02-17 16:56:00,
primary_at,mostlyff-4c1c-468c-8a96-b7d2d8953c4d,KnowledgeDomain:Culture,,,Swahili,2025-07-04 23:08:00,
description,mostly34-ae62-409e-945b-7b3bffe52752,KnowledgeDomain:Culture,,,Hausa,2024-01-06 20:12:00,
,mostly2a-a5fa-467f-8271-b2d31afa5529,KnowledgeDomain:Culture,,,Amharic,2024-06-02 22:23:00,
culture,mostlydd-e20c-4f1b-b910-d154f2e19bbd,KnowledgeDomain:Culture,,,Igbo,2025-04-30 17:32:00,
: ,mostlyc4-5612-4585-afb4-d04aa17433dc,KnowledgeDomain:Culture,,,Shona,2025-02-14 22:01:00,
historical_context,mostlyae-253d-459b-9eb0-a5739e5d086f,KnowledgeDomain:Culture,,,Yoruba,2025-06-09 14:41:00,
{,mostlye3-4a84-4f9f-a588-1f00779e0202,KnowledgeDomain:Culture,,,Zulu,2025-05-18 13:46:00,
culture,mostly5d-c741-4e33-b505-5a1e8d271337,KnowledgeDomain:Culture,,,Yoruba,2025-07-13 05:52:00,
: ,mostlyf0-a951-47f0-a528-ed2787562085,KnowledgeDomain:Culture,,,Oromo,2025-05-25 18:32:00,
cultural-{,mostly0e-0461-4169-a322-83f2168079d9,KnowledgeDomain:Culture,,,Igbo,2024-02-19 07:02:00,
primary,mostly4c-27e8-4dfd-80b9-0f1dbceaba53,KnowledgeDomain:Culture,,,Yoruba,2024-09-23 00:20:00,
