context,id,labels,object,object_type,predicate,primary_language,recorded_at,relationship_strength,subject,subject_type,symbolic_representation,temporal_aspect
2025or,mostly26-0a3a-4062-a193-5ece7cd2a4f8,KnowledgeDomain:KnowledgeGraphTriple,subject ,concept,} ,Amharic,2024-07-25 20:34:00,strong,neural_at,place,", ",timeless
moderate ,mostlyc0-a31d-48a5-ac9d-ec71c1731189,KnowledgeDomain:KnowledgeGraphTriple,} ,cultural_element,symbolic {,Yoruba,2024-10-25 21:52:00,weak,knowledge_graph,person,P-ra,historical
_at,mostly4c-4894-4320-802c-7539710996bd,KnowledgeDomain:KnowledgeGraphTriple, ,concept,: ,Shona,2024-12-12 23:47:00,moderate,relationship ,concept,strong,historical
knowledge_embedding,mostly33-c6d4-4f15-a864-f653555465b3,KnowledgeDomain:KnowledgeGraphTriple,moderate,event,predicate,Swahili,2024-01-04 19:13:00,moderate,historical,place,subject,historical
knowledge_type,mostlyd9-891a-481b-8ec6-59ead412d196,KnowledgeDomain:KnowledgeGraphTriple,Zulu,concept,predicate,Yoruba,2024-01-30 05:45:00,strong,relationship,person,subject,timeless
: s,mostlyde-54ec-44ef-94b1-8fb0ac52ab5b,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,historicaluk,Yoruba,2025-03-30 18:47:00,moderate,primary_type,organization,historical,historical
Amharic,mostly15-2aea-4480-b054-7f1d0f7ed366,KnowledgeDomain:KnowledgeGraphTriple,historical,concept,: {,Zulu,2025-09-29 17:32:00,strong,relationship,concept,cultural,historical
T,mostlyb8-08f9-4093-9822-44d1e5b6c4a8,KnowledgeDomain:KnowledgeGraphTriple,South,cultural_element,", ",Shona,2024-09-08 02:31:00,moderate, ,person, ,historical
Yoruba,mostly06-dd0c-49d0-8855-ffea0882bf5f,KnowledgeDomain:KnowledgeGraphTriple,object_: ,concept,knowledge_representation,Amharic,2024-06-20 06:07:00,weak,A,concept,,timeless
M,mostly51-06c7-446d-9a65-7f7f5294d32d,KnowledgeDomain:KnowledgeGraphTriple,historical,concept,Aat,Igbo,2024-10-02 05:20:00,strong, ,organization,influen_,historical
", ",mostly55-27e0-45a4-bc63-6878746922ee,KnowledgeDomain:KnowledgeGraphTriple,E,organization, ,Swahili,2024-02-23 14:47:00,moderate,subject,concept,M- ,current
neural,mostlyfd-431b-492d-ba9d-665f412e74b0,KnowledgeDomain:KnowledgeGraphTriple,",type",event,"20240.36,,0.6,00",Hausa,2024-05-28 09:52:00,moderate,: ,concept,G,historical
primary_strength_type,mostly6e-9294-4044-ab64-1b5331d1b4bc,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,strong,Amharic,2024-08-23 19:07:00,strong,}} ,person,subject_,historical
}} -,mostly73-6763-4007-aa8b-4f87cc63fae6,KnowledgeDomain:KnowledgeGraphTriple,recorded_at,concept,{,Shona,2024-08-30 09:19:00,strong,predicate,organization,", ",historical
subject: ,mostly4d-7b54-4406-98a2-49cf0980d70f,KnowledgeDomain:KnowledgeGraphTriple,", ",organization,strong,Swahili,2024-05-19 21:43:00,weak,historical,person,predicate,historical
:,mostlya7-c271-4c6d-a156-e7b9404f48cf,KnowledgeDomain:KnowledgeGraphTriple,"2024-10-01:43,0.57,-0..067638,-121.063120,15,_-1.725,-0.1,-0.185625-1.53.536,0.62307,1.2604,,-0.2646,-1.2,1.458,0.48:",concept,subject,Amharic,2025-02-06 18:24:00,moderate,subject} {,place,"2025-T1:00, {",timeless
T{,mostly58-3de1-4bcd-8192-daaed1a4e1d0,KnowledgeDomain:KnowledgeGraphTriple,C_aspect,organization,", ",Yoruba,2024-10-18 23:42:00,strong,primary {,person,"2024-1.18158,-220.57,0.60.642,2.496T,--0.890,-1.48.0,-1.1987,0.86,0.442.15,0.5842,1.0.096,0.04923,-0.1.0476, ",historical
} ,mostly96-791f-4944-9295-68ebbafe3ec4,KnowledgeDomain:KnowledgeGraphTriple,is,cultural_element,place ,Swahili,2025-09-29 17:32:00,strong,temporal_,person,concept,historical
I ,mostly2c-facc-4949-80d4-15fac0a4cc12,KnowledgeDomain:KnowledgeGraphTriple,Mal,concept,C,Swahili,2024-09-30 13:26:00,moderate,primary,person,historical,timeless
subject,mostly85-222e-40bc-a62f-589335cdfc09,KnowledgeDomain:KnowledgeGraphTriple,place,concept,2025_type,Oromo,2024-06-06 05:32:00,strong,: ,organization,place,historical
context,mostly5b-1772-4413-8897-2ec4a365c3c7,KnowledgeDomain:KnowledgeGraphTriple,subject_language,concept,subject_aspect,Zulu,2025-06-25 15:46:00,strong,temporaltt,organization,place,historical
Sra.,mostly51-283d-4d92-85a6-d0b06ab1e2d3,KnowledgeDomain:KnowledgeGraphTriple,primary_type,event,P,Oromo,2025-06-01 01:01:00,strong,: ,person,N_representation,timeless
temporal ,mostly85-dc19-46ee-b2a7-df7afcaeb468,KnowledgeDomain:KnowledgeGraphTriple,relationship_embedding,place,}1,Swahili,2025-05-15 20:15:00,moderate,: ,place,predicateciic ,historical
", ",mostly5a-cfc9-4cef-944a-a140195a5126,KnowledgeDomain:KnowledgeGraphTriple,symbolic_s,cultural_element,"Mb of0.s, ",Igbo,2025-05-11 04:52:00,strong,", ",cultural_element,neural,historical
historical,mostlye0-a2ba-4379-8b5c-c6cc28aadb9f,KnowledgeDomain:KnowledgeGraphTriple,Zulutype{,concept,", ",Swahili,2024-03-18 18:39:00,weak,knowledge,person,: ,historical
: ,mostlycc-45d9-4861-862f-b22b29bbfa79,KnowledgeDomain:KnowledgeGraphTriple,temporalr,place,2025_embedding,Amharic,2024-04-07 01:48:00,strong,2025_strength,concept,"--0..53,0.928,-1.19048,10.5,0.4616,0151T42,-0.1200,5,0.2705,,0.7322,1-0.30401,0.564,4-01:00",historical
G}i ,mostly76-0a1c-4fb4-bc2f-ecab31398233,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,primary,Yoruba,2024-02-02 05:13:00,moderate,", ",place,: ,historical
subject,mostly91-d006-4822-a845-c878c2939d64,KnowledgeDomain:KnowledgeGraphTriple,stronge,concept,S_{,Hausa,2024-08-13 14:48:00,strong,historical,cultural_element,"neural-0.0,2,-03-:.57",historical
conceptuoyepan ,mostlye0-fef1-4453-a09a-4899ec36f0a5,KnowledgeDomain:KnowledgeGraphTriple,} ,place,Igbo,Zulu,2024-10-29 01:36:00,moderate,predicate,organization,"timeless,  c-1ic, ",historical
knowledge_embedding,mostlyce-36f0-46c9-bcd2-931f40335ee8,KnowledgeDomain:KnowledgeGraphTriple,", ",place,concepttu_representations andp,Swahili,2024-03-10 07:34:00,strong,2025_embedding,place,: ,current
neural_embedding,mostly88-9a07-45ab-ba3e-a8738be152f9,KnowledgeDomain:KnowledgeGraphTriple,M,place,historical,Igbo,2024-12-01 23:08:00,strong,2025-:00,person,A_representation,historical
M_representationran ands,mostly7e-1f0a-49f6-aa10-1db4d8d6e1f3,KnowledgeDomain:KnowledgeGraphTriple,: ,organization,historical,Shona,2025-03-03 23:42:00,moderate,strong ,place,moderate,historical
: ,mostly62-3377-439d-a6d1-262d38b282d9,KnowledgeDomain:KnowledgeGraphTriple,Igbo_atan,concept,historical,Amharic,2025-09-29 17:32:00,strong,"2024t0.278,0.09,00.1,1.425058,--0.75,1.762T,-5,0.13601,-.57,-0.530,.04,0.096,-0.270,0-.028.43,1.128,-2203,-1:.1519,1.46,-1.78,-0.8,-1.349,1.36.1505-82,0.942, -1.12,0.0712:109,-0.26749.23,03:",place,} ,historical
primaryan{idcealesin,mostly61-d5bb-4223-8c54-fbd24bda2b07,KnowledgeDomain:KnowledgeGraphTriple,"relationship0.9.288,000..084315,0.16,-0.40.053,1.024616,0.0,0.843,:0.98,1.2906,042.5615,0.07.22.4,0.2667424,-0.7049,0.2976,0.08508,-0.1204:1:1.0912}0.,0.448:",event,{,Yoruba,2024-02-29 16:56:00,strong,: ,place,Swahili,historical
N_atvsant ca,mostly67-ee07-4d37-9a56-f7ea6bc179da,KnowledgeDomain:KnowledgeGraphTriple,: ,place,predicate,Swahili,2024-11-27 18:10:00,moderate,knowledge_graph,concept,} {,current
"}--0.40,-5.021,--0.149-:: {",mostlyf7-a30e-41b2-b05a-e91663e38bb3,KnowledgeDomain:KnowledgeGraphTriple,"2025-297.58,-0.4529,-0.492,-120.59",concept,subject,Yoruba,2025-01-19 22:57:00,strong,neural,place,: ,historical
organization,mostly17-ec4e-48f2-b1fe-7dbb5a95fff7,KnowledgeDomain:KnowledgeGraphTriple,: vpou,place,subject,Swahili,2025-08-27 01:48:00,weak,", ",place,place, timeless
context,mostlya1-e540-40db-be84-a4ca1c8551b7,KnowledgeDomain:KnowledgeGraphTriple,predicate,concept,subject_type,Zulu,2024-04-24 20:42:00,strong,conceptththarp: ,concept,recorded_language{,historical
", ",mostlyc2-3568-4efa-965d-16a6c001c880,KnowledgeDomain:KnowledgeGraphTriple,Cmu,concept,subject_aspect,Amharic,2024-10-21 15:29:00,weak,historical,place,E,historical
G,mostly94-84c0-4a8a-8663-c576104a6503,KnowledgeDomain:KnowledgeGraphTriple,relationship,organization,C{,Swahili,2024-06-19 17:59:00,strong,G_,place,",-02-0.962528,0.11,0.843,-11.62829,-0.6094,0.03",historical
C,mostly77-3a9b-4b89-b3cf-ac4824cd6780,KnowledgeDomain:KnowledgeGraphTriple,object,concept,historical,Zulu,2024-09-29 21:38:00,moderate,object,place, ,historical
,mostly79-e769-4592-9e43-9785e4354415,KnowledgeDomain:KnowledgeGraphTriple,_at,cultural_element,context,Swahili,2024-02-24 03:37:00,moderate,: ,place,Kcese Africa ofs,current
: ,mostly70-47dd-40d2-9f69-713438d52146,KnowledgeDomain:KnowledgeGraphTriple,strong,place,concept,Swahili,2025-09-29 17:32:00,moderate,"neural,subject",place,object,current
historical,mostlyc2-e0ac-40f8-be78-6f438e257e03,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,subject,Yoruba,2024-05-22 06:07:00,strong,historical,place,knowledge,current
: ,mostly8a-e3d5-426b-9d30-e77bc754b7a4,KnowledgeDomain:KnowledgeGraphTriple,"neural0.46480,6-0.2800, T22neural:0600",place,G,Shona,2024-02-27 21:15:00,strong,symbolic ,place,historical,historical
relationship_embedding,mostly6d-3349-4cad-9949-25e6e42a6f02,KnowledgeDomain:KnowledgeGraphTriple,I ,place,neuralu,Amharic,2024-05-27 00:32:00,moderate,Amharic,place,subject,current
: ,mostly86-4fe7-409b-9ef6-eda71462fb59,KnowledgeDomain:KnowledgeGraphTriple,"strong,at ",place,"C-0.7,0.8,-1T185.69},,1.492517,0.4,1710.290,0.763190.187120.3T, ",Shona,2024-08-04 19:46:00,strong,subject,place,moderate:  ,historical
} ,mostly28-9a31-43cb-9e85-01662483096f,KnowledgeDomain:KnowledgeGraphTriple,: ,event,moderate,Swahili,2024-11-14 10:19:00,strong,influenb,place,primary_embedding,current
Yoruba ,mostly48-ed5f-4031-b564-8ea253cb1167,KnowledgeDomain:KnowledgeGraphTriple,object,concept,_type,Zulu,2024-06-11 18:03:00,strong,: {,organization,place,historical
} ,mostlyf4-8e44-44a9-9fdc-75af4da3e368,KnowledgeDomain:KnowledgeGraphTriple,objectknat ina andiv insv caeri and- andavdsle Africa ed-anei,organization,person_representation,Swahili,2024-04-07 01:36:00,weak,: ,place,: ,current
P Africa,mostly43-cb2e-4317-b1e6-3725c8443eda,KnowledgeDomain:KnowledgeGraphTriple,place,place,} {,Yoruba,2024-05-15 02:00:00,moderate,: ,place,", ",current
moderate,mostly4c-a081-4616-8889-76a5f46a28ac,KnowledgeDomain:KnowledgeGraphTriple,{,place,neural,Yoruba,2024-02-21 16:34:00,strong,: ,concept,contextri,historical
strong,mostly86-4e85-496e-8697-5aa934cffacc,KnowledgeDomain:KnowledgeGraphTriple,", s",cultural_element,historical,Igbo,2025-07-02 21:02:00,strong,,event,-_a,historical
_embedding,mostlyc2-d5cd-43b7-94f8-0d92d7af2f76,KnowledgeDomain:KnowledgeGraphTriple,primaryft_ ,concept,C ,Yoruba,2024-07-15 15:10:00,strong,", ",object,Swahilik,historical
organization,mostly53-303b-4dd5-8107-c7d437b5e769,KnowledgeDomain:KnowledgeGraphTriple,current,place,C as p and,Amharic,2025-03-29 14:09:00,moderate,historical,place,: ,historical
 ,mostly69-e45c-4308-ba47-607e71d42ee7,KnowledgeDomain:KnowledgeGraphTriple,predicate,concept,primary_l,Yoruba,2025-01-03 12:10:00,moderate,strong{,concept,: ,historical
moderaten an and bmeeesaia  ,mostly0e-3b2d-4667-836a-27c6f1e3e53d,KnowledgeDomain:KnowledgeGraphTriple,,concept,"temporal_-1T1237},",Yoruba,2025-02-05 09:40:00,strong,knowledge_language{,person,: ,current
Yorubaalping ,mostly8d-d839-484e-8d8b-65c5988e6502,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,: ,Shona,2025-09-29 17:32:00,moderate,strong,organization,} ,historical
strong,mostly7b-59bc-4f90-9058-4fb4f3ce8325,KnowledgeDomain:KnowledgeGraphTriple,recorded_at,concept,historical,Yoruba,2024-05-29 14:24:00,moderate,placet,organization,{,timeless
Yoruba,mostly5c-19d2-431c-8ad9-7c31da9d4044,KnowledgeDomain:KnowledgeGraphTriple,"2024-0.430202,-1 ",organization,concept ,Yoruba,2025-07-09 18:21:00,strong,weak,person,historicalk ,historical
recorded_strength ,mostly28-a1b9-43b8-a4d5-a41b89fe58cb,KnowledgeDomain:KnowledgeGraphTriple,symbolica,concept,place_language,Amharic,2025-09-29 17:32:00,strong,strong,place,recorded,historical
: ,mostly3d-3a8d-45db-beeb-db0826ed52a3,KnowledgeDomain:KnowledgeGraphTriple,place,concept,,Amharic,2024-02-14 06:23:00,weak,", ",place,relationship_embedding,historical
 ,mostlyf0-ca45-47d3-b347-f2f7d34ee79a,KnowledgeDomain:KnowledgeGraphTriple,", ra",concept,strong of ,Hausa,2024-12-02 12:45:00,moderate,: ,cultural_element,strong_language,historical
neural,mostly98-0fc7-49fb-a191-7e74d7d30bbb,KnowledgeDomain:KnowledgeGraphTriple,predicate,place,,Swahili,2024-05-19 14:05:00,moderate,primary_aspectth,place,G,historical
person_type,mostlye1-d4df-4307-ae61-cac758e5f04b,KnowledgeDomain:KnowledgeGraphTriple,context{,event,strong,Hausa,2025-03-07 06:43:00,moderate,subject,concept,2025_type,historical
,mostly72-2718-4347-be4a-747a6c0862a2,KnowledgeDomain:KnowledgeGraphTriple,symbolic,place,}}subject_at,Hausa,2025-03-03 04:28:00,moderate,SouthT scck,place,-_embedding,historical
Swahili_aspectg:,mostlyb8-3d95-4ea1-906b-8dd7ee7de29c,KnowledgeDomain:KnowledgeGraphTriple,", nt andu",concept,context,Amharic,2024-09-06 19:34:00,strong,object,place,Aim,historical
subject_,mostly35-e7dd-4988-a992-105aab183dee,KnowledgeDomain:KnowledgeGraphTriple,subject,concept,timeless,Hausa,2024-03-05 05:59:00,weak,A,cultural_element,symbolic,historical
subjectitype,mostlyfc-0d7e-46d3-8b05-75c41175388a,KnowledgeDomain:KnowledgeGraphTriple,historical,organization,,Igbo,2024-02-20 10:47:00,moderate,"object,object",person,context,historical
strong,mostly25-b88c-4b7f-bd9b-dc82782d5b90,KnowledgeDomain:KnowledgeGraphTriple,neural_aspect,concept,strong,Shona,2024-03-07 10:36:00,strong,subject_type,concept,", ",historical
Nile,mostlyc2-d78a-4d76-8951-16a975cac158,KnowledgeDomain:KnowledgeGraphTriple,I-yo,concept,culturalat,Amharic,2024-06-19 15:07:00,weak,", ",event,,current
S,mostly1e-8f4a-4d12-95cc-9fe77009f7d0,KnowledgeDomain:KnowledgeGraphTriple,temporal,place,strong,Amharic,2025-07-25 22:03:00,strong,subject_type,place,: ,historical
temporal_type,mostly53-ccdf-4b25-a2f3-6e808b94a340,KnowledgeDomain:KnowledgeGraphTriple,E,concept,:any,Igbo,2025-03-12 07:15:00,weak,} {,organization,Zulu_language,historical
"symbolic.5,-0.22709,0.,0,-11.6748,1.4815,0.07,0.65,0.3622,1.1282,-0.2748,.643,0.08.719-0340,.291.1808,-0.0.124707,-0.28058,22 ",mostlyfd-b7dc-4e02-a3a3-9d4a2a0a69fc,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,"-0.49-3604,1.225,0.38170010549,-0.602:0.7,0.5807,-0.63,0",Amharic,2024-06-20 15:50:00,moderate,predicate,concept,: rk and,current
place,mostly4c-6c38-4807-925f-bac40b3da3e2,KnowledgeDomain:KnowledgeGraphTriple,Southc,concept,", ",Swahili,2024-05-24 12:32:00,strong,knowledgeobject ,place,,historical
object,mostlye3-9a60-4199-85e6-dee02d33c27d,KnowledgeDomain:KnowledgeGraphTriple,"S-TT108_graph, ",concept,temporal_,Igbo,2024-08-25 15:24:00,moderate,", ",concept,cultural_aspecta,historical
,mostly0f-2199-42fe-a7ee-b33f07d5b858,KnowledgeDomain:KnowledgeGraphTriple,knowledge,place,_strength,Yoruba,2024-10-10 17:24:00,weak,,place,strongnen ,current
knowledge_at,mostlydf-99d2-4c0e-8afc-9603eaa21f63,KnowledgeDomain:KnowledgeGraphTriple,"2024-i5e-7.4, ",concept,concept,Oromo,2025-01-05 09:22:00,strong,M,place,N,historical
subject,mostlydb-41a4-4437-be2b-5c702cc4e355,KnowledgeDomain:KnowledgeGraphTriple,subject,object,: ,Zulu,2025-06-11 17:03:00,strong,subject_strength,cultural_element,subject_strength,historical
object,mostlye7-b4e1-42dd-9dbf-9464f4104667,KnowledgeDomain:KnowledgeGraphTriple,knowledge,organization,historical,Swahili,2025-05-27 14:38:00,moderate,}-} {symbolic__: ,person,moderate,historical
symbolic,mostlya9-edf9-40cf-a9a6-40bdf983459d,KnowledgeDomain:KnowledgeGraphTriple,neural_ ,event,", ",Zulu,2024-09-01 23:03:00,weak,place,concept,recorded_at,current
: ,mostlyb2-f7af-4a51-ad5d-1acc8fdda12b,KnowledgeDomain:KnowledgeGraphTriple,_at,concept,",",Amharic,2025-03-07 19:29:00,strong,"I,t_at",cultural_element,: ,historical
object,mostly6e-b524-4037-9d4e-d3d9d94a9a9a,KnowledgeDomain:KnowledgeGraphTriple,Zulu,place,neural_embedding,Swahili,2024-01-14 05:34:00,moderate,concept,concept,", ",current
recorded_graph,mostly55-28cc-457f-80ae-9bafc4fbe2d5,KnowledgeDomain:KnowledgeGraphTriple,subject_type,concept,", ",Igbo,2024-03-04 18:38:00,moderate,,person,concept,historical
is_type,mostly88-a4b0-4986-9266-f00382c5500b,KnowledgeDomain:KnowledgeGraphTriple,Zulu_,place,person-k ,Yoruba,2025-03-07 11:43:00,weak,Yoruba,cultural_element,subject: {,historical
temporal,mostly86-b876-4f7f-82ff-c63a8c7f154e,KnowledgeDomain:KnowledgeGraphTriple,historical,concept,subject_type,Yoruba,2025-01-06 18:29:00,strong,: {{,place,neural_,historical
symbolic_type,mostly72-cecc-4466-ba14-ae08b6cb13e1,KnowledgeDomain:KnowledgeGraphTriple,place,concept,", ",Swahili,2025-05-17 08:29:00,moderate,2024,person,primary_embedding,current
moderate,mostlya2-7c04-48da-b0c3-315cecc86791,KnowledgeDomain:KnowledgeGraphTriple,relationship_representation,concept,A00,Zulu,2024-08-17 03:49:00,strong,relationship,place,subject_representation,historical
place,mostly71-a671-4509-adee-d24f4fab57f7,KnowledgeDomain:KnowledgeGraphTriple,A,cultural_element,"2025-090.6,-0.360608-302, ,11.097,0.3,0.23392,-0..6,0",Oromo,2024-06-12 04:17:00,strong,subject,concept,relationship_language,historical
: ,mostly63-afac-4dc0-9f4c-6aa7ca949b72,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,"moderate, ",Shona,2024-02-11 16:49:00,strong,subject_graph,concept,recorded_type,historical
M,mostlybf-bc77-4492-bfd9-20dc3517551d,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,Amharic,Zulu,2024-11-10 13:24:00,strong,: {,concept,symbolic,historical
historical,mostly26-fdb1-4ccf-8e15-7c15a8ea59bc,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,relationship,Amharic,2025-02-24 12:23:00,strong,2025s_rembedding,organization,Ialo_aspect,historical
", ",mostly4f-a479-439c-9a87-279bcad3f05c,KnowledgeDomain:KnowledgeGraphTriple,contextlanguage,concept,"2024-1.0433:-0.200101,0.4208,-1.56,0.1646,-1.67075,-0.7160.886,-",Igbo,2024-03-30 18:19:00,moderate,}_embedding,concept,subject,historical
subject- ,mostly0f-fa4a-4649-b964-d28b32ee6299,KnowledgeDomain:KnowledgeGraphTriple,subject,object,", d",Swahili,2024-12-02 17:32:00,weak,: ,place,_ ,historical
Igbotype,mostlye8-5320-439a-a154-b8a45afa3ef9,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,predicate,Yoruba,2024-11-11 04:49:00,strong,M} ,place,Nile ,historic
I,mostlyfe-6ee0-491d-8b82-b1582c8a2328,KnowledgeDomain:KnowledgeGraphTriple,historical,place,timeless,Amharic,2024-04-17 14:10:00,moderate,concept,person,E,historical
subject,mostly37-12c5-4956-b263-b57dbfae53d5,KnowledgeDomain:KnowledgeGraphTriple,: ,place,object,Amharic,2025-04-05 15:06:00,strong,subjecting,concept,C,historical
2025Tu,mostly83-6ddb-40ae-a6f2-fb0a5b4f7715,KnowledgeDomain:KnowledgeGraphTriple,", ",object,: ,Yoruba,2024-03-24 16:23:00,strong,"neural,er",place,,current
"historical, ",mostly2a-f514-4719-aa1a-6ea9f7e46b20,KnowledgeDomain:KnowledgeGraphTriple,2024al,concept,historical,Zulu,2024-02-13 17:00:00,weak,", ",object,: ,historical
subject,mostly31-d7e1-4cbd-9400-d8625cbb73ca,KnowledgeDomain:KnowledgeGraphTriple,subject_aspect ,event,} al,Hausa,2025-01-30 16:53:00,moderate,,concept,E,historical
,mostlyf6-327b-4e09-b597-b63f40270270,KnowledgeDomain:KnowledgeGraphTriple,", ",place,subject,Swahili,2024-06-04 22:36:00,strong,context,place,A,current
"20240.0717,-1019.6048420,0.3021,0.0546,1.4684.2:00,{1.1247,0.154,0.1,0.71,0.0.25,-0.0711,0.36,50.5606",mostlyc8-e604-489c-8814-0bfb23360668,KnowledgeDomain:KnowledgeGraphTriple,}ol_type,event,predicate,Igbo,2024-03-12 20:17:00,moderate,subject,place,subject_language,historical
S,mostlyce-c4e0-4669-be37-b2f4f7a4cdc8,KnowledgeDomain:KnowledgeGraphTriple,: ,organization,",00 ",Hausa,2025-04-10 08:24:00,moderate,weak ,place,"recorded_strength,",timeless
{,mostly27-0f45-4596-bb7e-620901fae90e,KnowledgeDomain:KnowledgeGraphTriple,", ",event,object,Yoruba,2024-11-08 18:24:00,strong,"{0.48,19.-.4999,467:488-.13,",place,: ,historical
