activity_type,age_years,description,developmental_milestone,emotional_development,id,labels,lesson_learned,location,primary_language,proverb_or_wisdom,recorded_at,social_context,symbolic_logic
learning,6,Pesal,childhood_or,cooperation,mostlydd-d609-455e-ada7-25fa73b60183,Childhood:KnowledgeDomain,primary,H{,Shona,,2025-09-28 19:43:00,primary_type,proverb:.
play,9,location,C ,empathy,mostly0d-c290-4b6f-a11a-bbbfb4fae374,Childhood:KnowledgeDomain,lesson_years,K,Zulu,: {,2025-05-28 22:13:00,,"symbolic_,"
creative,8,,description and,curiosity,mostlyb6-d493-4cc9-ad3a-7def3ee0ca0d,Childhood:KnowledgeDomain,If I ass.,location_at,Igbo,activity_years,2025-08-07 13:25:00,age_context,If ayer 
physical,7,"childhood, ",,respect,mostlyec-a839-47d3-b325-a8c639634d4c,Childhood:KnowledgeDomain,2025,: ,Amharic,", 6---0.8",2024-11-25 07:54:00,Swahili_context,}} 
game,8,S_language,", ",resilience,mostlyb1-ecc9-4a6e-886c-94efbb22d374,Childhood:KnowledgeDomain,,primary_milestone,Oromo,childhood ,2024-07-06 08:56:00,neural_milestone,childhood_at 
cultural,7,neural_oryears,"description, ",resilience,mostlyfb-c609-409a-a43a-43b57470a1a8,Childhood:KnowledgeDomain,primaryatw,"2025.8,1.0,0.0872--010-0.5,-0.",Hausa,C ,2024-04-22 06:05:00,play_years,",-0-0.4"
cultural,11,primary_at,If_type,empathy,mostly53-e9b1-417b-930c-a0d32bdec3d4,Childhood:KnowledgeDomain,Ifn_language,B_or_learned,Igbo,"Ningeser, then andial ferin a and p inm; bin, (A du sbo henes then.",2025-09-15 09:07:00,",",2025 
learning,9,emotional_or_embedding,primary: ,confidence,mostly2a-cea2-4e12-aecc-21de86eca910,Childhood:KnowledgeDomain,T_oru,description,Shona,", {",2024-03-30 02:37:00,Igbo,2024-01- 
social,4,", ",", ",cooperation,mostlybb-6477-469f-b0ac-a3a9b159e642,Childhood:KnowledgeDomain,"Perkeningwi h fa the, and fs for, then b the andes cwedd.)ing, and the.",activity_wisdom,Zulu,Aassananescu m-d.,2024-10-02 18:55:00,emotional,"2024 then---0,-1"
creative,8,", ",", ",confidence,mostlyc2-17cc-40b0-afc6-20d3712d6fa1,Childhood:KnowledgeDomain,"neural-01ingaraes;, andco harsed.4, then..",B ,Swahili,Uemotionali ,2025-03-24 06:20:00,"play, ",childhood.
storytelling,6,,social,creativity,mostly77-9a7d-476a-ae45-0fbf5a50e609,Childhood:KnowledgeDomain,E thet mu)..,proverb,Oromo,: {,2025-07-26 22:05:00,: {,: 
storytelling,6,: ,"childhood, ",curiosity,mostly1d-5ab0-4a43-ac65-bea0645a362a,Childhood:KnowledgeDomain,emotional_embedding,proverb_learned,Oromo,developmental_learned,2025-09-28 19:43:00,developmental_logic,: {
creative,7,: ,"If am ci fsal)e andea k au iningb h h;, thenie t",respect,mostlyfe-10b0-4318-bdf0-980b2ebede33,Childhood:KnowledgeDomain,social_context,neural_development,Amharic,", ",2025-03-06 19:36:00,emotionalTatk,age_years
learning,5,",-07T,0.",", ",confidence,mostly65-9a6c-44d2-b57c-8a39fd60b456,Childhood:KnowledgeDomain,: ,playe_or,Hausa,proverb_milestone,2024-10-06 09:38:00,", ",: 
play,5,B__,: ,cooperation,mostly20-9067-4a28-b7a7-a2d90ff631a6,Childhood:KnowledgeDomain,: ,", ",Zulu,emotional_years,2025-09-16 18:28:00,developmental_development,lesson_developmentu
play,8,}} ,Swahili,curiosity,mostly9b-aaa0-4e08-8b3a-f55981bb181a,Childhood:KnowledgeDomain,}-_ordevelopment ,confidence (,Oromo,B,2024-07-27 04:29:00,play_logic,social_language
creative,4,"Zulu_ore, thening_or_development",proverb_type,empathy,mostly50-14a1-415f-976f-1edf3871ae6b,Childhood:KnowledgeDomain,: {,H,Swahili,primary_context,2024-01-15 06:53:00,primary_ ,activitylogic
social,3,2025,developmental_wisdom,respect,mostly6a-0024-4675-a544-5b3f4906d7da,Childhood:KnowledgeDomain,", ",", ",Swahili,description,2024-09-22 13:55:00,age_wisdom,: 
physical,4,recorded_context,age_milestone,resilience,mostly94-eed3-4942-ba0f-fd5634cac509,Childhood:KnowledgeDomain,M the,{,Shona,", ",2025-05-15 01:35:00,", ",2024-1.05180.
learning,11,neural_embedding,", ",curiosity,mostly42-63b9-49a3-b796-a483ec2fea66,Childhood:KnowledgeDomain,If,2024 ,Yoruba,Ifar {anc-,2024-07-22 18:40:00,: ,: {
cultural,4,neural__embedding: ,N,respect,mostlya3-ae09-43ca-ab66-c1b0a394cefd,Childhood:KnowledgeDomain,: ,R,Oromo,location,2025-01-11 18:57:00,social_type,location
learning,11,play,description_context,respect,mostly27-2d27-4eb6-8694-838d385a9ab2,Childhood:KnowledgeDomain,M_language,cultural,Yoruba,R,2024-07-17 13:38:00,If,location
play,5,playT: ({,description,creativity,mostly07-57d1-4d78-b1ff-cc733450e583,Childhood:KnowledgeDomain,", ","Bua,.",Zulu,respect,2024-05-20 22:28:00,symbolicort_learned ,Brpker in theialttmeroer.
cultural,3,", {",location,cooperation,mostlyb6-ab4e-49cc-91e6-87580797f083,Childhood:KnowledgeDomain,social_: ,location,Igbo,activity_years,2025-03-03 02:07:00,symbolicor_milestone,O_language
cultural,12,H_at,P,resilience,mostlyff-f1a4-417b-8ea2-484fdeac4075,Childhood:KnowledgeDomain,location,Isale and with haners,Zulu,social_wisdom,2024-08-30 02:35:00,,location
game,4,", ",Cae ,cooperation,mostly1e-4afe-4cda-9157-04b7ee6d8e83,Childhood:KnowledgeDomain,childhood,social_or_,Zulu,neural_: ,2024-01-05 16:23:00,location,
cultural,4,"recordedrt h,w, {",proverb_context,respect,mostlye9-ed2f-4c92-9084-89a897be6431,Childhood:KnowledgeDomain,age_milestone,"}_, ",Amharic,lesson a,2025-01-15 23:58:00,location,"proverb_context,} "
play,5,", ",lesson: ,respect,mostlyeb-8eca-458a-9375-7aa83f69a49a,Childhood:KnowledgeDomain,social_learned,}} ,Yoruba,neural_embedding,2025-05-21 02:24:00,_years,activity_type
storytelling,3,social_: ,}.,creativity,mostly22-0368-4f1f-85f6-581c1bdc1947,Childhood:KnowledgeDomain,,Mlanguage,Amharic,developmental_type,2025-03-26 10:51:00, {,"socialingandoring, and;ces.6, "
learning,8,: ,}{,confidence,mostlyf4-0f58-4509-9745-924ca453b3ac,Childhood:KnowledgeDomain,_embedding,age_language,Yoruba,,2024-06-07 02:37:00,emotional ,confidence 
storytelling,5,location,description,respect,mostly92-2dde-4b6c-a40f-d78f3e5d2ecd,Childhood:KnowledgeDomain,",",If_language,Swahili,age_,2025-05-05 15:33:00,description,: 
social,11,Pr mmed.,Ifpalingc erg thewe awinging s in ss b; theal s theh)o).,creativity,mostly6a-22d8-4cfd-9d7c-99254a26dfd3,Childhood:KnowledgeDomain,proverb_development,: ,Swahili,Ma) then h.,2024-02-25 17:18:00,Ie-lyps,activitycontext(i bainss.
cultural,12,neural_at,: ,respect,mostlycd-a49b-43b2-a98a-14f477049d51,Childhood:KnowledgeDomain,}_wisdom,lesson,Amharic,", ",2025-08-18 15:42:00,U,Mala the theoingan aial andgingvan mes.
storytelling,6,developmental_,learning.,confidence,mostlyb1-dd3a-44e7-bcf8-1b6932a06a6b,Childhood:KnowledgeDomain,symbolic(_context,play{_development,Igbo,Zulu,2024-08-07 07:52:00,activity_language,H_milestone
physical,12,Amharic_embedding,Hausa,resilience,mostly05-786b-4efc-9328-4baf5b7a55fe,Childhood:KnowledgeDomain,age_learned,: ,Igbo,: ,2025-06-24 04:42:00,lesson_logic,: 
game,4,"symbolic_orwisdomen,-1.0504, ",lesson_years,creativity,mostly1d-5175-4e3c-8f99-58718e1e89a9,Childhood:KnowledgeDomain,}emotional_years,symbolic_types,Zulu,If,2025-06-25 15:31:00,"2024-17.TT.8T, ",recorded_as
cultural,12,activity_type,emotional_logic,respect,mostlyf5-ac30-4a93-9112-3e355d335287,Childhood:KnowledgeDomain,",-1.67026,2.812560.",primary_language,Amharic,age,2025-09-27 13:04:00,description,C_language
physical,8,"H_ f-, ",childhood,resilience,mostly5a-1b67-41b1-ac0b-42f5abedbd40,Childhood:KnowledgeDomain,lesson_learned,activity,Igbo,age_ {,2025-04-19 15:06:00,N ,"emotional-0.62230,0.85, then1.17304,-0.6307,-052,1.6,0.4717"
learning,9,} ,description,curiosity,mostly95-0c84-40b4-b245-fffe820f169c,Childhood:KnowledgeDomain,age_learned,location,Hausa,lesson_ the,2024-06-04 18:00:00,respect,lesson{
storytelling,11,-0.,: {,curiosity,mostlyce-34f4-4ac6-b573-1770a3ff3742,Childhood:KnowledgeDomain,: ,Ifying iner andt.,Swahili,confidence,2024-05-14 03:40:00,emotional,}}: 
play,8,symbolicor_logic,social_type,curiosity,mostlyb1-5ea2-4c63-97c3-65d3d5f80761,Childhood:KnowledgeDomain,age_,: ,Hausa,proverb_context,2024-12-08 13:51:00,lesson_wisdom,: {
creative,4,age_wisdom,social ,curiosity,mostly81-039b-40be-8b54-b6f2aebe34f7,Childhood:KnowledgeDomain,primary_context,", ",Zulu,childhood,2024-04-05 16:11:00,M ,Ety py t)y p with the
cultural,7,emotional_logic,"-0.4933,0.",respect,mostlyd4-5fd2-46c6-884f-a8794c99c712,Childhood:KnowledgeDomain,primary_embedding,"recorded, ",Amharic,proverb_milestone,2025-03-08 19:28:00,proverb_,If or
creative,4,social ,: an_logic the thee( fed cke ms for anding b w ss ,respect,mostly8b-1584-4752-80f4-ab79dc890dc4,Childhood:KnowledgeDomain,C_logic,"-02-23050714,2:19",Amharic,"I_,es",2025-05-02 08:21:00,social-ac:00,", "
game,9,,B_wisdom,confidence,mostly30-d614-472b-80cc-d7505709a40d,Childhood:KnowledgeDomain,: ,childhood,Oromo,lesson_wisdom,2025-03-03 10:33:00,symbolic_milestone,
game,10,confidence ,", ",cooperation,mostlye7-f26b-4885-8df1-824d070e4fb6,Childhood:KnowledgeDomain,lesson_learned,", ",Swahili,If_: ,2025-09-28 19:43:00,,respect
play,8,_years,2025 ,curiosity,mostlyb0-c52e-4c38-81e0-3d9408ae6db2,Childhood:KnowledgeDomain,recorded_,,Yoruba,,2024-01-16 23:29:00,I m.,Oat aptesed
learning,9,location,: ,confidence,mostly63-9caa-4ecd-853d-b28665f29524,Childhood:KnowledgeDomain,emotional_{,",0.0908",Igbo,description,2024-11-03 16:52:00,neural_type,description
learning,3,-,"-02,0.453T4726 ",resilience,mostlybd-7c55-42c9-940d-6807149eb4cb,Childhood:KnowledgeDomain,lesson_wisdom,: ,Swahili,2024_language,2025-02-14 00:05:00,",_or_language",", "
game,5,primary_years,location,cooperation,mostly08-7f85-4fb8-9881-c244b3e0ff5c,Childhood:KnowledgeDomain,: {,Ai_logic,Zulu,neuralprimarytt,2024-01-05 06:55:00,", ","Esm b fue t w yianing( aee di and,;e (escparen and,."
play,6,"description,",E,resilience,mostly92-1301-4e32-86b7-b3c7410d41a6,Childhood:KnowledgeDomain,age_language,S the ,Hausa,social_language,2024-06-25 10:49:00,symbolic_logic,C 
play,6,", ",description,creativity,mostly01-dd91-4496-a8f7-b41fa04f9539,Childhood:KnowledgeDomain,"primary, _logic",description ,Zulu,K,2024-08-27 17:36:00,M_wisdom,: 
creative,8,C ,M ,respect,mostly43-1f66-4e0f-b6df-f8e08af62f9b,Childhood:KnowledgeDomain,neuralorm; theasingaling the and p;ks-s.,S {,Igbo,"_, ",2025-08-25 20:05:00,Pand,2025
game,9,symbolic_logict,neural_.,cooperation,mostly10-d62e-4491-8395-2172429b5677,Childhood:KnowledgeDomain,location_at,Fer a: ,Hausa,F,2024-06-03 03:32:00,"2025-1.075,0.2816T1110",} 
storytelling,8,description,developmental_language,creativity,mostlybd-9ffb-4bb2-b445-b6f9ad449799,Childhood:KnowledgeDomain,If,M,Amharic,description,2024-02-13 08:45:00,"-_years, ",", (neural_context"
cultural,10,B {,H_or.,cooperation,mostlybf-5b65-42f5-afbd-0260efa32fe1,Childhood:KnowledgeDomain,developmental_at,E,Hausa,primary_embedding,2024-07-05 20:47:00,"2024,--05T5:00",:_learned
social,4,"Stessing themaeumsinaran,  h myb andsts fan se.{",If c: ,cooperation,mostly0f-7041-41af-9892-4c93d39805d2,Childhood:KnowledgeDomain,,", ",Yoruba,} {,2024-09-30 14:05:00,Ssocial_milestoner andsin.,If {
storytelling,9,confidence,"-0.1703,,1, ",resilience,mostly33-edf7-4428-a51d-5e19851a3ff3,Childhood:KnowledgeDomain,primary_wisdom tou the is pes s in pe s s and m c.,", ",Amharic,recorded_or_,2025-04-10 07:05:00,recorded_type,:00
cultural,12,lessoning,proverb,resilience,mostlyc0-7e24-46a5-9bef-bf6faf840737,Childhood:KnowledgeDomain,proverb_type,learning ,Amharic,developmental_context ,2025-08-24 02:06:00,2024-,symbolic h 
learning,10,B to:ints s and cr s ined andai,primary_at,respect,mostly9d-9c5d-49c4-a7f7-66078c813563,Childhood:KnowledgeDomain,primary_wisdom,symbolic__embedding,Hausa,proverb,2025-06-13 10:37:00,C_development,
cultural,12,developmental_,C ,respect,mostlyde-a38a-402b-a687-194ffd8d2337,Childhood:KnowledgeDomain,location.,age_development,Yoruba,H_logic,2025-09-28 19:43:00,social,play
storytelling,9,"primaryest he, counting.",emotional_at,curiosity,mostlyae-7b3d-4805-8464-fb845c478a39,Childhood:KnowledgeDomain,"-0.7..02,80.97,0.75,08 esT,0.7,-1.2.7T,0.",Hneurale;;u and;pi.,Oromo,lesson_development,2025-01-05 06:14:00,"M andrhingy a bvue, thenoar.",: 
game,7,If_embedding,emotional_-.,curiosity,mostly0f-928b-4a87-aaea-eb9e62fe2f7b,Childhood:KnowledgeDomain,Amharic_or_years,Clocationk.,Oromo,"-,0.89, ",2025-09-28 19:43:00,Swahili_years,primary_atembedding
creative,5,emotional_embeddingu,_logic,creativity,mostlye9-55e2-43e6-8981-7b87caea019c,Childhood:KnowledgeDomain,description,symbolic ,Oromo,emotional.,2025-04-21 06:33:00,"activityer wither)eder,0.1908 to,--0.8265: ","Mpoo pedar b in aey w,sss"
game,5,symbolic_at,I: ,cooperation,mostlydd-37aa-473d-8a48-2b17bb04ef32,Childhood:KnowledgeDomain,: ,"culturalr m pa w asar w, thene.",Zulu,E;,2024-11-08 07:49:00,symbolic_learned,P
storytelling,6,", (",,creativity,mostlyd2-fe85-46bb-8abe-d826066d8b47,Childhood:KnowledgeDomain,symbolic_wisdom,symbolicor a,Oromo,B ,2025-08-03 22:11:00,: ,Per a.
storytelling,5,,activity_-,curiosity,mostlycf-f5c4-4eb2-a17a-a41df10a7a73,Childhood:KnowledgeDomain,:e,recorded_or-0802ing.,Zulu,emotional_a,2025-02-07 08:15:00,2025.,: 
play,3,activity ,Amharic ,confidence,mostlyfc-dd52-495a-8f68-cc22064782b0,Childhood:KnowledgeDomain,proverb_language,activity_language,Zulu,O ,2025-09-25 15:28:00,A,
storytelling,8,P,primary_wisdom,respect,mostly0e-0030-4838-98e5-1ea784edc469,Childhood:KnowledgeDomain,symbolic,age.,Amharic,", ",2025-04-20 13:06:00,: ,
learning,10,H_logic,proverb_development,curiosity,mostlyef-0904-47d1-9863-91e87229956d,Childhood:KnowledgeDomain,R ,social_or,Igbo,recorded,2024-01-10 08:56:00,"N,--0.1958,5,-0.854,-0-0.25.",} 
cultural,12,A,U_wisdom,cooperation,mostly01-f4d6-4609-a355-4060f82ed53d,Childhood:KnowledgeDomain,developmental_or,", ",Yoruba,{,2024-05-12 23:05:00,: ,", "
learning,6,", ",play ,confidence,mostlyb7-e4c2-4add-99ae-40c10bed5068,Childhood:KnowledgeDomain,: ,childhood,Swahili,C aingaingertst.,2025-03-05 15:29:00,neural_language,{
play,11,A thet_i  is pe ande,recorded_logicr,respect,mostlya9-1be7-4d8d-845e-ecbee2890bb3,Childhood:KnowledgeDomain,age__wisdom,Mi,Amharic,2024 {,2025-01-26 02:37:00,location,description.
game,12,social_}: ,_at,confidence,mostlyd6-659b-4bc7-be28-0b73b443a447,Childhood:KnowledgeDomain,childhood_ ,social_embedding,Hausa,lesson_at,2024-07-30 05:07:00,location,neural_at
game,10,emotional_wisdom,cultural- {,cooperation,mostlyec-61dc-4d25-8055-c09ced6a9395,Childhood:KnowledgeDomain,N_embedding,M {,Hausa,: ,2024-04-14 09:05:00,: ,: {
learning,6,E_milestone,"2024-6114,-T09} ",curiosity,mostly13-ac71-40b8-a0e1-7b6a1d727906,Childhood:KnowledgeDomain,"developmental.i9,.02-T2,,-17,-0--1-3090700,-27.",: {,Hausa,"primary_--003:100.0829,-0.2190.37,-0.1,-0.33,2,0.192815,0..6075,-1.958,-14},10.08,1.8045.8,0.5029,}2.",2024-12-19 19:35:00,play,2024} 
learning,8,},: {,curiosity,mostlyc9-940e-40ed-a61f-daae6aeec9af,Childhood:KnowledgeDomain,childhood,learning,Swahili,"M,-.66 ",2025-02-02 22:45:00,If,developmental_embedding
creative,7,,lesson_,creativity,mostly95-e80c-43e0-9196-890c95799109,Childhood:KnowledgeDomain,"--0.234549,-081.",", ",Amharic,confidence the).,2024-09-25 03:07:00,S_context,S_learned
play,11,2024age: ,_context,respect,mostly5f-e245-4c9f-ba61-4881e1e12cd5,Childhood:KnowledgeDomain,", ",H_milestone,Hausa,emotional ,2024-08-16 08:40:00,childhood,respect
physical,3,location,age {,curiosity,mostlyca-46cb-44d2-802b-57b4eb1c2c4a,Childhood:KnowledgeDomain,location,symbolic_milestone,Swahili,proverb the_development,2025-06-08 23:06:00,location,O
creative,8,lesson_at,"-1.181,0.",confidence,mostly90-8b05-4f7f-a462-67a348c8d374,Childhood:KnowledgeDomain,", ",age_context,Igbo,symbolic_i,2024-06-16 21:37:00,respect,symbolic_logic
play,3,", ",social_milestone,creativity,mostlyf4-0fa6-4416-bd27-bf655a1e1d9e,Childhood:KnowledgeDomain,confidence ,emotional_context,Zulu,,2024-04-11 13:46:00,P,",primarypand, then ptis,-0.149.65,or,1.1."
creative,3,developmental_embedding,", ",curiosity,mostlyd0-dfaf-412b-b5e4-62843565cc9b,Childhood:KnowledgeDomain,confidence,neural_context s,Yoruba,: ,2024-04-27 08:28:00,symbolic_logic,}} i
learning,7,E,P_logicat,empathy,mostlye9-f1bf-49ed-b868-83a12fe70581,Childhood:KnowledgeDomain,2024-07_language,A,Oromo,T_wisdom,2024-08-27 13:19:00,developmental_language,",-0.0.88,-0.284898,1."
cultural,7,neural_: ,P,curiosity,mostly02-57b9-4f07-909b-5aebe0c8cfb2,Childhood:KnowledgeDomain,cooperation.,neural_-,Yoruba,description,2024-01-03 06:43:00,},", "
creative,6,age_years,primary_milestone,creativity,mostly32-b199-4f0b-9271-31f2bff30bfe,Childhood:KnowledgeDomain,"Ifm---T}.483,-0802,0175,0.65,0.3.8-4,0.,00.23,003,,-.2, ",If,Igbo,", ",2025-01-21 16:55:00,"2024-0.01,1.74,2.17","Meder ( h m, and"
storytelling,6,recorded_or,", ",respect,mostlyd4-91ed-441b-97c2-a3940380ef6a,Childhood:KnowledgeDomain,H_years,A ,Hausa,"recorded_,}.",2024-08-27 09:10:00,E,activity_context
physical,11,",-17, ",2024,confidence,mostlyd4-4ee2-4d7c-b929-a8c2c3f2d940,Childhood:KnowledgeDomain,emotional_emotional:: ,neural_ the,Yoruba,Saryters h awa mo fed.,2024-07-09 07:03:00,"emotionaler-hinginint, and st; andttserealalingmied; in); in a pec w the().",2024emotional_i 
creative,4,", ",", ",confidence,mostlyc8-2365-4c7e-abbc-7f3dc3dfc183,Childhood:KnowledgeDomain,", ",C_wisdom,Igbo,A-25,2024-11-16 04:24:00,: ,recorded_h
storytelling,11,social_years,emotional_development,empathy,mostly4b-069c-41a7-b1e9-8f7ed8cd1627,Childhood:KnowledgeDomain,emotional_milestone.,{,Amharic,: ,2024-02-18 12:15:00,If_logic,symbolic_embedding
game,6,Amharicoiginbcpay b with,: .,creativity,mostly4b-c13e-4bed-b170-71180266520b,Childhood:KnowledgeDomain,: ,C_logic:.,Igbo,: ,2025-04-07 04:58:00,"}.87,-10.185,,-0.27251,-0.18,,-027.",
learning,10,", ",: ,cooperation,mostly6f-e41a-4713-bf53-8d5e507a8ddc,Childhood:KnowledgeDomain,,location,Shona,",- ",2025-08-05 09:21:00,developmental_at,If
creative,3,", ",age_years,curiosity,mostly26-f439-4f99-b5c1-384c7671128d,Childhood:KnowledgeDomain,description,", ",Shona,", ",2024-03-30 18:23:00,{,", "
physical,6,_at,"proverb_If msastged, w.",curiosity,mostlyef-0790-4b52-8895-e088c6e1cf43,Childhood:KnowledgeDomain,,,Yoruba,If,2024-11-07 12:20:00,If thehk.,"recorded-05.618}7, then1."
play,3,social_at,}}}{,empathy,mostlyb9-d2a4-475c-89ff-1b4ff2e15529,Childhood:KnowledgeDomain,If_milestone: ,developmental_,Swahili,symbolic_logic,2024-03-31 08:48:00,: ,2025 
social,9,Sps b a bsa ,: ,cooperation,mostlyc1-4a90-4c6b-8011-5a9b481b20df,Childhood:KnowledgeDomain,I,location,Hausa,M,2024-06-14 05:17:00,childhood_years,description
creative,6,"A then-1.0305,0.4729,131..5,0.",", ",cooperation,mostlyf4-a558-4678-97b7-95c8239c4c30,Childhood:KnowledgeDomain,social_milestone,developmental_at,Hausa,K_learned,2024-08-08 17:06:00,location,age_milestone.
social,9,2024 ,lesson,creativity,mostly90-d724-47da-9f3d-b410bcbc5341,Childhood:KnowledgeDomain,activity_type,U,Zulu,Zulu {,2024-05-31 00:28:00,",_",proverb_ 
play,3,,symbolic_language,cooperation,mostly9a-2150-477e-a1c7-10c3141f5b87,Childhood:KnowledgeDomain,lesson_development,emotional__context,Oromo,Ssocial,2025-05-03 15:37:00,,", "
physical,12,developmental,description,respect,mostly24-93b7-4308-9d67-9bcc6bffab66,Childhood:KnowledgeDomain,emotional_learned,recorded_language,Hausa,primary_type,2025-09-18 19:03:00,O_context,primaryi b
learning,5,: ,: ,curiosity,mostly59-12c6-40e6-8bed-7e6c2bf25b4e,Childhood:KnowledgeDomain,If,age_wisdom,Hausa,If:,2024-05-05 14:27:00,: ,social_at
play,10,neural_logic,P1_wisdom,curiosity,mostlyab-b4b0-419c-a6b0-97d87b808373,Childhood:KnowledgeDomain,activity,respect,Igbo,,2024-08-16 18:07:00,", ",lesson_embedding
storytelling,5,childhood:0,cultural,resilience,mostly24-7d41-48dd-888f-20bd217960cb,Childhood:KnowledgeDomain,symbolic_language,location,Swahili,recorded_language,2024-11-17 09:40:00,description,", Iftsas- far:00"
physical,4,T_learned,K_development,confidence,mostly34-ebbb-4615-a122-71c92721bbcd,Childhood:KnowledgeDomain,"2024-0.1802,080--0.",recorded_milestone,Yoruba,lesson_type,2024-07-25 15:28:00,: ,"S sl thealca , then."
social,6,emotional_embedding,primary,curiosity,mostlya9-83b6-4e20-8769-ac99b6ea9300,Childhood:KnowledgeDomain,activity,age_type,Hausa,recorded_learned,2024-08-03 07:35:00,H_wisdom,"If thee wing fm)ales w manp,i."
cultural,12,age_or_wisdom,learningero in andkt t,confidence,mostly70-8be7-419c-a57b-d73d966b3b4d,Childhood:KnowledgeDomain,location,proverb,Hausa,"I at, then and wi andc to to: ",2024-07-07 06:20:00,,
creative,7,lesson_logic,developmental_wisdom,confidence,mostly93-3134-4489-a99e-76c34dbdae4c,Childhood:KnowledgeDomain,E_wisdom,I,Amharic,-.,2025-02-17 14:05:00,"Cnasi aartan, giy,ub s in bit ","2024--2-1.57,- "
learning,9,:1,emotional_wisdom,confidence,mostly6c-0e32-4dcf-bc36-efb79fbf11af,Childhood:KnowledgeDomain,recorded_or_h,,Igbo,} ,2024-02-10 19:46:00,", ",recorded_wisdomembedding
storytelling,5,P_development{,Amharic,curiosity,mostly11-7be4-4ef4-b7d0-779af2f39de7,Childhood:KnowledgeDomain,neuralagelanguage b_i wtg andin ,description ,Hausa,lesson0,2025-01-27 12:37:00,"-0.11,0.396,0.07,0.-7} {",U_at
physical,9,E,age,confidence,mostlyb3-4549-4c9d-918a-b747cca025f0,Childhood:KnowledgeDomain,neural_at,social_development,Oromo,lesson_embedding,2025-09-27 17:09:00,activity_context,Zulu
cultural,12,} ,A_logic,respect,mostly2c-d143-4a84-8a02-f5b0d58bc82e,Childhood:KnowledgeDomain,description,activity ,Yoruba,If.,2024-05-21 21:45:00,If: ,Fs- a).
learning,5,M_at,N_logic,confidence,mostly15-f9a2-4afb-9ff5-3322145317c5,Childhood:KnowledgeDomain,: {,: ,Zulu,respect,2024-08-19 10:21:00,neuralactivity,developmental_
cultural,7,location: {,A ,respect,mostlya3-12eb-48ca-8868-41f38d881ec9,Childhood:KnowledgeDomain,age ,H_milestoneas toa a cts andosyed a the torerses.,Amharic,developmental_milestone,2024-01-26 18:40:00,{,", "
physical,8,recorded,description,respect,mostly58-8f87-48ce-9d17-ba74451771c5,Childhood:KnowledgeDomain,: ,}}_milestone,Igbo,lesson_development,2025-03-22 08:06:00,symbolicactivityk,S anday.
game,7,developmental_language,If ,confidence,mostly9c-4b23-4209-b531-425f1de161e8,Childhood:KnowledgeDomain,recorded_embedding,If the f in to syoalued ining s)t;ues.,Yoruba,"2024-06:.481es48,.",2024-02-28 17:37:00,: ,recorded_development
game,5,F_language,", description",cooperation,mostly4b-8f0d-4925-8e15-2ab8ff23fe2c,Childhood:KnowledgeDomain,primary_milestonelanguage,: ,Zulu,social_or: ,2024-01-05 20:28:00,B,age_logic
