age_years,description,id,labels,location,primary_language,recorded_at,symbolic_logic
13,",_type",mostly0f-507d-4ef8-bc73-cc19dbbd6578,Adolescence:KnowledgeDomain,", ",Zulu,2024-06-10 09:42:00,", {"
19,peer_neural,mostly1c-8cca-439b-bdbb-54e2ea3acb5b,Adolescence:KnowledgeDomain,scenario ,Oromo,2024-03-13 12:28:00,", "
18,He lnye.,mostly88-c31d-4035-9e75-ca86df89e607,Adolescence:KnowledgeDomain,wisdom_{,Swahili,2025-06-19 09:21:00,: 
16,independence,mostly22-a3b6-400a-b090-a7d2c2d1d739,Adolescence:KnowledgeDomain,If__logic,Hausa,2025-06-02 03:38:00,cultural_growth
14,", ",mostly10-05b8-43a7-937d-2e4b36f55fa4,Adolescence:KnowledgeDomain,He_process,Hausa,2024-07-10 20:41:00,reasoning 
13,reasoning_typeyears,mostlybe-3b4b-4e9d-bfec-41352f492158,Adolescence:KnowledgeDomain,_,Swahili,2024-06-22 22:02:00,peer_
16,}}} ,mostly0a-6bd2-48e6-a05a-768519a44767,Adolescence:KnowledgeDomain,: ,Yoruba,2025-02-25 09:53:00,"P, "
19, {,mostly20-9c35-4622-b317-3c20fb198155,Adolescence:KnowledgeDomain,", ",Oromo,2024-04-13 22:35:00,leadership
16,",1T ",mostly64-243c-4fd1-a63d-bcb00516545f,Adolescence:KnowledgeDomain,-03,Yoruba,2025-05-11 16:28:00,", "
14,A,mostly41-781f-4472-98fe-37b5b3c3c5ad,Adolescence:KnowledgeDomain,age_dynamics,Zulu,2024-04-06 16:14:00,wisdom_embeddingtension
14,age_language,mostly31-f120-4d4d-8dd0-b59ce310945d,Adolescence:KnowledgeDomain,location,Hausa,2025-05-19 16:16:00,1.
15,D_growth,mostlyac-efd7-46f7-9936-20ee89e3dfa1,Adolescence:KnowledgeDomain,description,Zulu,2024-06-16 01:46:00,outcome
17, _(,mostly53-2c90-4dac-8fda-eecfcbebce56,Adolescence:KnowledgeDomain,adolescence,Hausa,2024-03-26 02:08:00,2024_growth.
18,primary_type,mostly49-72a7-4f31-abcd-ccf16337232a,Adolescence:KnowledgeDomain,_gained,Zulu,2025-04-11 02:09:00,scenario_at
19,reasoningprocess,mostly39-88c4-412f-a3f8-64d0db1072eb,Adolescence:KnowledgeDomain,recorded_at,Swahili,2024-03-02 16:29:00,scenario 
17,"scenario,-1.24",mostlyc3-87be-4a78-b468-4ef9714040b3,Adolescence:KnowledgeDomain,outcome,Hausa,2024-03-28 16:32:00,O_growth
18,000ar.,mostlyca-c884-4166-99ea-89f63195865b,Adolescence:KnowledgeDomain,: ,Zulu,2025-03-12 04:18:00,descriptionlogic
15,peer_gained,mostlyb2-e87d-4871-933a-9b62e9da0d3b,Adolescence:KnowledgeDomain,", ",Zulu,2025-04-28 22:58:00,-0.
16,", ",mostlyce-da1c-47e2-8fcd-7c4dddd28918,Adolescence:KnowledgeDomain,He,Shona,2024-07-05 02:45:00,S.
18,primary,mostlyfd-d70b-4248-b159-ef6246057190,Adolescence:KnowledgeDomain,reasoning_process,Amharic,2024-07-05 11:15:00,peer_years
18,Sheoitse.,mostly52-af1a-4b8a-a186-b845d1ad3e90,Adolescence:KnowledgeDomain,peer_years,Hausa,2025-06-20 19:59:00,location.69
14,H_embedding,mostly07-6827-46ef-99d8-fb53e77dbc02,Adolescence:KnowledgeDomain,neural,Yoruba,2024-11-26 09:14:00,recorded
16,peer_dynamics,mostlyd5-e162-49c0-bc3e-bdcc93d49506,Adolescence:KnowledgeDomain,",growth",Oromo,2025-06-12 15:05:00,: 
17,,mostlyef-21ad-424b-89f4-f0f43c2a14de,Adolescence:KnowledgeDomain,", ",Hausa,2024-09-14 09:04:00,"P2,,"
19,"C,",mostlyfc-226d-48cc-bdb9-4c80ab14ce04,Adolescence:KnowledgeDomain,He ,Oromo,2025-02-07 10:41:00,neural
13,M_embedding,mostlyd6-43fe-44bf-a009-40703cdefa4e,Adolescence:KnowledgeDomain,", ",Oromo,2025-06-24 23:27:00,A_y
16,emotional_-.,mostly31-f53e-4429-a543-caa7560a8b74,Adolescence:KnowledgeDomain,neural_–,Hausa,2025-09-30 21:39:00,emotional_logic
16,symbolic_,mostly2d-2739-4adf-8c29-a72b096ff83b,Adolescence:KnowledgeDomain,H_,Zulu,2024-08-03 22:52:00,
14,,mostlya1-e166-4336-b8c7-e3b00a79070f,Adolescence:KnowledgeDomain, _type,Yoruba,2024-12-28 16:59:00,
13,outcome,mostly32-014d-497b-a238-7303dc80f1a6,Adolescence:KnowledgeDomain,", ",Swahili,2025-09-30 21:39:00,}
14,outcome,mostlydd-f634-4900-afa7-f14fbb55e5c9,Adolescence:KnowledgeDomain,2025_years,Igbo,2024-09-18 21:34:00,"reasoning_gained, "
14,A,mostly1e-fba8-4f59-9e37-c6b180e21bfc,Adolescence:KnowledgeDomain,P_at,Yoruba,2024-04-05 07:57:00,Dtension
17,: ,mostly5a-cc09-497b-b119-924b85024339,Adolescence:KnowledgeDomain,,Igbo,2024-09-19 13:23:00,: 
19,emotional,mostlydb-afcb-40fe-8a7e-0d86fb5259a1,Adolescence:KnowledgeDomain,"Aen-0.82363:,, ",Amharic,2025-09-30 21:39:00,wisdom_dynamics
17,_type: ,mostly7f-6a88-4e09-ac51-dd832a34d530,Adolescence:KnowledgeDomain,"A01ps,0.",Zulu,2025-09-30 21:39:00,age__:
16,", ",mostlyd2-f349-4c77-a024-9147951d9d75,Adolescence:KnowledgeDomain,primarylanguageers_gained: ,Hausa,2024-08-21 01:21:00,age_years
19,", ",mostly4b-4ac7-4749-af9d-3b035fd195c3,Adolescence:KnowledgeDomain,outcome,Igbo,2024-10-06 15:11:00,_gained_ and
16,primary,mostly59-2c26-45fe-b726-c95cb998a542,Adolescence:KnowledgeDomain,2025_,Hausa,2025-09-30 21:39:00,adolescence
13,description,mostly60-3cc6-4f68-a289-555a241aa018,Adolescence:KnowledgeDomain,", ",Igbo,2024-10-25 09:28:00,_at
16,cultural_logic,mostlya3-8285-4ff5-90ec-bd85df4a42bf,Adolescence:KnowledgeDomain,: ,Zulu,2024-05-23 18:37:00,wisdomcultural_:
19,P_dynamicsembedding,mostlyaa-ce5e-49e1-a74c-df581f0e846f,Adolescence:KnowledgeDomain,"}, ",Amharic,2024-09-03 09:32:00,A-08en. 
15,"She_languagerd fora,er",mostlyaf-c87d-4673-a23d-073327e267c8,Adolescence:KnowledgeDomain,: {,Amharic,2024-02-21 13:58:00,: 
16,emotional_,mostlyfb-68ef-42f6-a1ee-6712ee29bf58,Adolescence:KnowledgeDomain, ,Yoruba,2024-12-07 19:42:00,outcome_embedding
18,reasoning_typeer,mostly62-d4ec-4a87-8489-2eddd10ba96f,Adolescence:KnowledgeDomain,location,Amharic,2024-03-21 18:41:00,: 
15,"-801.,-.0649622,-0.031,-11.,1.528-1.",mostlye7-7f94-4395-aeed-d8cadba5e491,Adolescence:KnowledgeDomain,independence,Yoruba,2024-07-13 21:01:00,"age a, "
17,",scenario_type",mostlye1-b7f3-4b5e-8f37-d6b6047aba35,Adolescence:KnowledgeDomain,,Hausa,2024-03-25 13:57:00,"wisdomCar d to,-.00"
17,recorded_dynamics,mostly5a-ab08-4ac4-9779-31ef79988d18,Adolescence:KnowledgeDomain,outcome,Zulu,2024-05-15 23:50:00,", "
15,"adolescenceingsy, ,",mostly8f-0a8d-40fa-8cba-2eb815e8ad2f,Adolescence:KnowledgeDomain,}_growth–c.,Oromo,2025-09-30 21:39:00,: 
14,location,mostlya9-558d-4efc-a073-8dd8dc777c44,Adolescence:KnowledgeDomain,: ,Oromo,2024-04-20 22:42:00,}_dynamics
18,adolescence002--05,mostly78-1897-4006-9c9a-6c97e1b6a994,Adolescence:KnowledgeDomain,{,Zulu,2025-09-30 21:39:00,She to
16,: ,mostlya0-1ba3-4451-ac3d-27a1b62f420a,Adolescence:KnowledgeDomain,age_language,Zulu,2024-10-11 07:31:00,:_language
17,C,mostly17-2a19-42fc-bd5d-1f034e9ee650,Adolescence:KnowledgeDomain,,Zulu,2025-03-19 15:16:00,recorded_type
13,recorded_language,mostly1b-1303-4e84-a3e6-e7f41fe8f921,Adolescence:KnowledgeDomain,description in,Zulu,2025-09-30 21:39:00,Au p iny.
18,age ,mostly20-3ce7-40ef-b742-2f33176c7a0f,Adolescence:KnowledgeDomain,independence,Swahili,2025-03-27 12:03:00,}_process
13,A ,mostly77-e92d-491e-aa4e-8ba0e9036d0a,Adolescence:KnowledgeDomain,", ",Shona,2024-08-18 11:50:00,age
15,recorded_process,mostly5e-eb59-438c-be7e-82cbd40a6ae4,Adolescence:KnowledgeDomain,R: ,Zulu,2024-10-18 17:28:00,primary
15,recorded_embedding,mostly1d-da5d-463d-93eb-0ce323e62f5e,Adolescence:KnowledgeDomain,If ,Zulu,2025-02-20 05:13:00,reasoning_years and s d
16,", ",mostlyb5-dbcd-4cfd-89b2-31e2a001ab24,Adolescence:KnowledgeDomain,M_gained,Hausa,2024-03-29 16:45:00,: 
18,recorded_logic,mostlycf-3291-4e2d-b152-230a5e9de4b8,Adolescence:KnowledgeDomain,A.,Igbo,2025-01-01 20:10:00,symbolic_at
14,"symbolic-0.3.00,1.",mostlyb2-551f-4f4d-ae1c-e298faddb8e7,Adolescence:KnowledgeDomain,outcome,Zulu,2025-08-11 16:38:00,outcome
19,", ",mostly76-9368-4b2d-9eb7-06e372b54aab,Adolescence:KnowledgeDomain,emotional in,Hausa,2025-01-15 18:50:00,Hausa
18,S ,mostlyc9-00b4-47e1-929a-7f4956539f22,Adolescence:KnowledgeDomain,The_gained,Shona,2025-01-26 10:40:00,
16,ethical-,mostly6e-29a2-45f0-b4b0-3808727b89f7,Adolescence:KnowledgeDomain,}} {,Zulu,2025-03-22 01:43:00,primary_dynamics
13,primary,mostly15-173b-4515-8d53-1130579efae5,Adolescence:KnowledgeDomain,_language,Oromo,2024-05-17 03:09:00,wisdom_scenario
18,"B0.3,-0.416,1.,--150.",mostly97-65d1-4ce7-9e35-32f6d88605cd,Adolescence:KnowledgeDomain,neural,Yoruba,2024-12-01 05:54:00,wisdom{
13,},mostly46-be16-43f9-abb9-4d6d699c30d8,Adolescence:KnowledgeDomain,cultural,Swahili,2025-05-02 22:57:00,primary_years
19,B,mostlyfa-d8cd-411b-b10b-b4bac543e531,Adolescence:KnowledgeDomain,In,Shona,2025-09-30 21:39:00,", "
17,emotional__gained,mostlyc1-8ee8-4d0a-9aa4-964f085efd41,Adolescence:KnowledgeDomain,_cultural ,Hausa,2024-06-24 12:35:00,"If- forT, "
13,{,mostlyff-e516-4f14-a2ed-f932f8a09ece,Adolescence:KnowledgeDomain,S,Zulu,2024-08-15 18:42:00,
14,",reasoning ",mostlyef-87be-4453-81a5-13992c8e856b,Adolescence:KnowledgeDomain,: ,Yoruba,2024-05-21 16:32:00,Peing andee fts to.
17,Ife;n f m a c l b p.{,mostly19-04a0-4ba1-bbd4-bc35b9f5f90b,Adolescence:KnowledgeDomain,wisdom.,Zulu,2024-02-19 07:32:00,"2025-0.0938,0.,, "
18,primary_typeer,mostly23-d047-40e8-83a4-8d7a7bf0fa99,Adolescence:KnowledgeDomain,202403,Swahili,2024-04-11 21:56:00,_logic
14,,mostlyce-758d-4c75-ac8b-b8b594887bde,Adolescence:KnowledgeDomain,description_at,Hausa,2025-05-15 16:18:00,: 
18,S,mostly7f-e963-4c5a-b360-e46751672e86,Adolescence:KnowledgeDomain,E,Hausa,2025-01-24 20:34:00,culturalagew
17,reasoning_tension}process,mostlyc4-db52-43b4-a8de-89d2173dbdd6,Adolescence:KnowledgeDomain,",-,0.",Hausa,2024-04-25 21:11:00,", "
14,,mostly66-7222-484e-8b0b-054cd933f15b,Adolescence:KnowledgeDomain,reasoning_embedding,Amharic,2024-03-21 11:16:00,"C1.8190,1}4,-0.00249,0.095603, a.,-,0.20."
16,Hei,mostly51-0d68-4d41-a275-3733c145ec88,Adolescence:KnowledgeDomain,recordedembedding,Igbo,2025-09-30 21:39:00,"0.6,-: "
15,reasoning{,mostly2b-31d5-4464-adf1-f3b41099d2b6,Adolescence:KnowledgeDomain,", {",Shona,2024-10-08 09:45:00,-040.69
15,:0.9,mostly5f-0f83-47c7-9d86-c42bb4677686,Adolescence:KnowledgeDomain,recorded_at,Zulu,2024-06-21 02:26:00,O
17,"He,0.63.8,-0.433,,0.",mostly4b-fa87-47d9-bc64-8ceb6bfd5fa9,Adolescence:KnowledgeDomain,recorded_years,Oromo,2024-05-19 04:47:00,1
14,", ",mostly22-b777-4306-a6f6-e2f5c20ac756,Adolescence:KnowledgeDomain,scenariotype,Oromo,2025-06-01 17:38:00,A
19,recorded_years,mostlybc-0a9d-4c26-84b6-53f71f57b28c,Adolescence:KnowledgeDomain,", 19 ",Igbo,2024-11-18 22:43:00,: 
18,location,mostlyd1-0c33-443d-800c-c95cbfdf597f,Adolescence:KnowledgeDomain,",",Yoruba,2024-12-02 13:39:00,primary_language
18,,mostlycc-0d99-4e35-bb9d-1b25e27ce8d0,Adolescence:KnowledgeDomain,: ,Hausa,2024-04-24 00:09:00,She aedpctmbi p in school ands.
19,: ,mostly3e-7833-42fd-96c6-3a299f4a4195,Adolescence:KnowledgeDomain,emotional_ ,Amharic,2024-03-18 20:42:00,"adolescence,0.58 and, "
19,description,mostly2d-5329-4a9e-a8f2-14b2ac5ec148,Adolescence:KnowledgeDomain,symbolic_gained in,Swahili,2024-10-12 11:06:00,outcome
15,recorded_ ,mostly7e-bca9-4645-bb4b-705dfe18d801,Adolescence:KnowledgeDomain,A{,Hausa,2025-09-30 21:39:00,"age, "
19,", ",mostly71-61d4-4fe7-8411-0dc073fe07fe,Adolescence:KnowledgeDomain,", ",Igbo,2025-06-22 05:41:00,
17,symbolic_logic,mostly8c-83b5-48ed-96cc-bcea93888526,Adolescence:KnowledgeDomain,"2024{05erar;aedps a,ting andyaloring andr and to.",Igbo,2024-03-05 11:09:00,A.
16,: ,mostly42-c534-4839-8ee7-3d357fc9375d,Adolescence:KnowledgeDomain,wisdom,Hausa,2024-03-07 11:13:00,wisdom_type
18,description_logic,mostly81-4feb-41c0-81fc-50571ddac73f,Adolescence:KnowledgeDomain,: ,Swahili,2025-09-22 01:14:00,A: 
17,", ",mostlyfe-f071-4f2f-bdf1-9e89ebc18d92,Adolescence:KnowledgeDomain,scenario_type,Shona,2025-05-03 19:04:00,location
13,cultural_logic,mostly8a-ff78-4134-ae12-b5a814564a47,Adolescence:KnowledgeDomain,outcome,Shona,2024-09-28 11:38:00,B
17,", ",mostly72-6199-4a92-a96d-d31a5029816b,Adolescence:KnowledgeDomain,recorded_languageyears,Zulu,2024-01-19 06:34:00,A
15,age_type,mostly72-c7cc-460b-9107-2fb55d9534ac,Adolescence:KnowledgeDomain,: ,Zulu,2024-05-27 17:14:00,", "
14,reasoning_process,mostly52-a83f-40dd-ab03-8215fd539f99,Adolescence:KnowledgeDomain,description,Amharic,2025-05-02 21:35:00, recorded
18,emotional_language,mostlybb-7341-4140-8315-f4b65e951045,Adolescence:KnowledgeDomain,", ",Swahili,2025-09-30 21:39:00,: 
19,peeryears_type,mostly08-152b-48ef-ab51-229274bab407,Adolescence:KnowledgeDomain,"1, ",Zulu,2024-11-11 17:42:00,age
13,B,mostly18-18a0-4af7-ab85-9dc3e28cd5c7,Adolescence:KnowledgeDomain,wisdom: ,Yoruba,2025-05-13 12:38:00,adolescence
19,scenario__tension,mostly65-26cc-4d78-aee8-0f28c13ff30e,Adolescence:KnowledgeDomain,A-ar06 ,Hausa,2024-04-09 20:32:00,} {
13,"A,-0.",mostly1d-2dff-400d-b7ff-0616c3ea8c9d,Adolescence:KnowledgeDomain,cultural_,Igbo,2024-02-29 11:58:00,"adolescence, "
13,", ",mostly88-405c-49ec-8bf0-b9f51d32fc66,Adolescence:KnowledgeDomain,symbolic_.,Shona,2024-06-30 06:12:00,", "
16,"outcomeyearser; forerslar and aero man,",mostlyb9-9486-4dd4-9012-aea12c832bae,Adolescence:KnowledgeDomain,primary in,Zulu,2025-09-23 22:26:00,"age_1,"
19,"Hausaar-.01,0. ",mostlyd1-89d0-41da-af6f-0c2f435ced04,Adolescence:KnowledgeDomain,She_type,Amharic,2024-07-21 06:11:00,cultural innit a iner stal with.
16,2025_tension,mostlyd1-bfad-4f8d-a63e-26a7c3420bec,Adolescence:KnowledgeDomain,"He-T1.733,0.{28",Yoruba,2025-06-27 14:16:00,", Nigeria "
14,Heo,mostlyae-b34b-4697-8066-7d85c154ed51,Adolescence:KnowledgeDomain,location,Swahili,2024-09-11 22:23:00,"2025-05, Nigeria:,-0, and- as.96"
19,recorded_at,mostly75-13ec-435b-a811-ae9d7a91b93d,Adolescence:KnowledgeDomain,Dtype.,Igbo,2025-04-02 19:28:00,emotional_tension
15,,mostly61-b4d4-4380-a71c-17b5d89ba194,Adolescence:KnowledgeDomain,"Hegrowth,",Swahili,2024-09-09 08:19:00,"He, "
18,symbolic_type,mostly9b-e799-43fd-9546-159a544d82e6,Adolescence:KnowledgeDomain,Pers.,Amharic,2025-09-30 21:39:00,recorded_at
16,: ,mostlyaa-f1a4-4bde-b3f2-3859c3e24155,Adolescence:KnowledgeDomain,reasoning_logic,Oromo,2024-02-25 07:42:00,outcome
16,", {",mostly9c-53fc-4867-9262-20adfd34b3a4,Adolescence:KnowledgeDomain,Dyears_tension,Hausa,2024-04-12 23:32:00,", "
19,",1 ",mostly3e-2325-4d5f-b648-8406ff215849,Adolescence:KnowledgeDomain,A_,Hausa,2024-08-24 01:30:00,}dynamics
19,", ",mostly83-984f-4f72-ad62-f59940df3120,Adolescence:KnowledgeDomain,",age_growth",Oromo,2024-07-30 00:16:00,A
18,ageShe,mostly1e-ae70-43b3-bdf9-36cbd8046621,Adolescence:KnowledgeDomain,"P0.7, ",Yoruba,2024-08-08 23:15:00,", "
16,neural,mostly34-c5ac-4e3f-9b42-53f3fe93b9d9,Adolescence:KnowledgeDomain, ,Swahili,2024-04-12 13:57:00,peer_{
16,,mostly26-9bb0-4efd-ba0e-56fecdb98288,Adolescence:KnowledgeDomain,primary__years,Hausa,2024-11-21 08:41:00,"ethicalneural_, "
18,location,mostlyaa-f10d-4228-b1d2-1a9865e2524a,Adolescence:KnowledgeDomain,: type{,Amharic,2024-06-17 22:35:00,
18,ethical,mostly0d-e1d9-4f6f-8358-d952d81200f5,Adolescence:KnowledgeDomain,recordedgrowth,Amharic,2024-06-25 01:14:00,A-hes
16,emotional_tensiongrowth,mostly26-7704-499d-8638-284cac4b8437,Adolescence:KnowledgeDomain,symbolic_language,Hausa,2024-03-10 22:23:00,wisdom_growth
15, ,mostly24-24a0-4474-aeb3-e8ce9ea50e67,Adolescence:KnowledgeDomain,location,Amharic,2024-09-30 20:16:00,scenarioer c-
