description,id,labels,location,primary_language,recorded_at,symbolic_logic
,mostlyba-d275-4da5-9e0f-80bd69740df2,KnowledgeDomain:RealLife,Ki_,Amharic,2025-09-26 02:57:00,location
transferable_insight,mostlycf-535c-48ea-b4a9-4c0e93599ee3,KnowledgeDomain:RealLife,"urban,-T0.12,61,-0.624_09603205,-0.1554,0.,0.233,-0.424,.0- ",Oromo,2024-07-13 19:47:00,solution_life
transferable_life,mostly60-d870-4f37-a4e4-5e195acd261f,KnowledgeDomain:RealLife,Ku,Yoruba,2024-09-08 19:37:00,neural_language: 
neural_at:00,mostlyeb-8226-4284-9d7d-e6bee9df5b32,KnowledgeDomain:RealLife,scenario_logic,Oromo,2024-02-10 11:18:00,solution_logic
", ",mostlybd-dc84-4da9-80b7-bfbcd02a5e44,KnowledgeDomain:RealLife,}{,Shona,2024-02-10 19:47:00,location
resourceslanguage,mostlyd7-045b-4fba-ade7-e0d533e1ba7e,KnowledgeDomain:RealLife,,Zulu,2024-08-01 15:40:00,realat_life
2025,mostlye6-bb26-426d-a3b7-a50119e2876e,KnowledgeDomain:RealLife,challenge ,Oromo,2024-06-04 17:08:00,: 
", ",mostly32-6666-4d30-9a20-71fea99c613d,KnowledgeDomain:RealLife,description,Shona,2025-01-10 01:11:00,scenario_T
recorded_insight,mostly1b-2955-43b6-b83b-811e03a9abc2,KnowledgeDomain:RealLife,setting,Hausa,2024-03-19 20:44:00,: 
"If,-T,0,0.1,-08.",mostly5b-9a03-4590-bb89-b062ea3b8b6e,KnowledgeDomain:RealLife,primary_faced wa,Shona,2025-09-19 22:16:00,resources_used
resources_logic,mostlyc3-0dfa-40d6-9d35-a5b3fa139c66,KnowledgeDomain:RealLife,I na ku muzi wa ku wa maraad ,Shona,2024-08-21 16:17:00,B_at
real_language,mostlyb3-b8b7-4211-8dcc-143b8b8883a8,KnowledgeDomain:RealLife,outcomefaced,Shona,2025-09-04 11:31:00,primary__ 
transferable_insight,mostly39-6977-4110-8f6c-f717b95caf30,KnowledgeDomain:RealLife,2024_ waapplied,Amharic,2024-06-10 03:52:00,real_languagedomain
outcome,mostly39-3500-4d22-84da-95585ae0fcc3,KnowledgeDomain:RealLife,,Yoruba,2024-09-28 15:05:00,: 
"If2-0.2624,0.280.26,-0.533761.,0.7.124}, Ethiopia027,0.34-12.",mostly35-7a44-44a4-a028-270b5e4cebb6,KnowledgeDomain:RealLife,_language: ,Oromo,2024-02-25 19:08:00,scenario_at
scenario_domain,mostly91-6cd0-4457-b59e-042192d581c1,KnowledgeDomain:RealLife,transferable_used,Zulu,2025-04-24 00:09:00,U {
"Batama,ii ku- na0.",mostlyea-b046-404b-a8e3-7a596f72a855,KnowledgeDomain:RealLife,"2025-1,11, ",Igbo,2024-07-12 21:14:00,", "
", ",mostlyad-13d5-4bac-94cf-08966475c62c,KnowledgeDomain:RealLife,B1a ,Zulu,2024-08-07 13:11:00,: 
description,mostly0c-1f9e-4f6d-9a3c-6511ccad6ee8,KnowledgeDomain:RealLife,resources_i,Shona,2024-12-07 11:07:00,_used
2025 ,mostlyb3-8038-4d1f-897f-b0a6b245e4ed,KnowledgeDomain:RealLife,So.,Amharic,2024-06-22 08:35:00,primary_domain
: ,mostly62-8426-4c44-aa44-f1b1d78513bb,KnowledgeDomain:RealLife,resources_logic,Yoruba,2024-11-13 11:14:00,U_domain
primary_life,mostly07-0bb6-4fa2-a40b-6db7efa8b56a,KnowledgeDomain:RealLife,neural,Shona,2025-09-26 02:57:00,"solution, "
"healthcaredescription, ",mostly15-ce60-4254-818c-6ba8392df884,KnowledgeDomain:RealLife,setting,Zulu,2025-02-18 04:42:00,"0,-12 "
B_scenario,mostly18-9095-402c-9f96-256713b33ee7,KnowledgeDomain:RealLife,urban ,Igbo,2024-02-17 12:57:00,scenariodomain_language
urban,mostly1e-b3d4-4b17-9e8e-1503c5e2c5e9,KnowledgeDomain:RealLife,: ,Zulu,2025-02-11 18:57:00,}
scenario_logic,mostlyeb-2fa5-4027-8b86-f61bb61bd878,KnowledgeDomain:RealLife,rural,Yoruba,2025-02-12 19:31:00,Ifurban
: ,mostlya0-3852-46c4-8344-7830355707f4,KnowledgeDomain:RealLife,,Shona,2025-09-26 02:57:00,If
}n}: {,mostlyce-60da-4334-993a-4291f4b10804,KnowledgeDomain:RealLife,recorded_faced,Hausa,2025-01-04 23:13:00,real_life
}} ,mostly78-df45-4a49-a170-138f2d7dc217,KnowledgeDomain:RealLife,"-0.2,0.T1,-0.36.,-1.179-9-0.1719T114-19",Amharic,2024-04-04 10:27:00,2025primary
solution1.,mostly7b-a9af-40cd-9f20-684eb8896eff,KnowledgeDomain:RealLife,: ,Shona,2024-12-02 01:37:00,transferablee
"2024-071.1,,- ",mostly44-65a9-495b-80d9-0d94b0ef7da1,KnowledgeDomain:RealLife,neural_atat,Zulu,2025-09-18 13:26:00,solution_ wa
outcome,mostly9c-533b-42e2-832c-ab4515929ae7,KnowledgeDomain:RealLife,", ",Shona,2025-09-09 19:03:00,"M_ ya naita ya kii.ba m, na ma ku mr wa na yata kwao miku kwa miet., "
real_at,mostly11-42be-44df-b3bb-c11b15d2fdbc,KnowledgeDomain:RealLife,neural_-,Igbo,2024-03-25 04:52:00,Ki_logic
outcome,mostly10-66b2-433f-a6b0-07f89e4b7b1a,KnowledgeDomain:RealLife,: ,Igbo,2024-05-16 11:58:00,setting
", ",mostly00-09c4-4e9a-978f-afd18ea03022,KnowledgeDomain:RealLife,", ",Zulu,2024-03-30 23:11:00,
solution_domain,mostly72-9574-4d6c-8f2a-44ba54a125a5,KnowledgeDomain:RealLife,primary_at,Amharic,2024-06-03 08:31:00,: 
Ki_a ,mostly50-846f-4621-9f1d-44c2de95b3d5,KnowledgeDomain:RealLife,"K,00",Yoruba,2024-07-17 02:43:00, 
"If-0.7481, 4",mostlyd6-e93f-4e03-b363-d6ee9550479a,KnowledgeDomain:RealLife,primary_embedding,Shona,2024-07-13 12:49:00,M_faced
: ,mostly99-8321-4969-a9dc-fa7ce1b2d721,KnowledgeDomain:RealLife,"Nun, basiika wa yalitai zadawa,1 ya u u ki a kwa- n wa na ya na ukosefurans i m",Shona,2024-07-07 19:30:00,"urban, South"
resourceschallenge,mostly91-2ab0-440f-a0a8-d8c28e79f3cd,KnowledgeDomain:RealLife,outcome,Igbo,2024-07-12 04:38:00,"S-0090.7-02,1T23:1,10:00,0_.07 wa1903, "
_embedding,mostlyd3-ed9f-4fbc-9dec-7dcfb38999d8,KnowledgeDomain:RealLife,K,Shona,2024-12-05 00:16:00,M
recorded_domain,mostly20-195b-448f-a30d-6db93d0864fc,KnowledgeDomain:RealLife,"Ukosefu wakuhiba, ",Igbo,2025-02-22 17:49:00,Ku: {
Min,mostlyab-fe89-4cee-ae0f-3f073fdb36ff,KnowledgeDomain:RealLife,: ,Igbo,2024-07-19 21:37:00,: 
", {",mostlybe-086f-486c-b33f-a20786383e1f,KnowledgeDomain:RealLife,real_used,Swahili,2025-09-18 23:57:00,educationwa
"2024location}, .",mostly9e-ddfe-433b-8211-7a748a846573,KnowledgeDomain:RealLife,U,Amharic,2024-02-19 05:13:00,"Wa-1,10.413,.60.286-0.4, "
 ,mostly3c-9837-4263-9f87-896e350b8029,KnowledgeDomain:RealLife,"resources_applied, ",Hausa,2025-06-28 18:38:00,: 
Mi: ,mostly8e-a6ec-4f00-be9c-9aa7101f56a1,KnowledgeDomain:RealLife,", ",Shona,2025-09-06 19:16:00,scenariolanguage mat
-030.,mostlyc8-d307-4375-a9a6-d1af141600b4,KnowledgeDomain:RealLife,"transferable_-0.370724,, ",Zulu,2025-02-24 06:41:00,neural._logic
}  ya,mostlyc2-9098-4baf-aefe-8b1630340f60,KnowledgeDomain:RealLife,:00,Shona,2024-04-02 05:57:00,"neural, {"
description,mostly99-aa61-46a3-b798-a171ef6d376f,KnowledgeDomain:RealLife,B m,Amharic,2025-04-04 17:52:00,Uo_ ma
primary_faced,mostly1a-91b2-416d-99c8-3609da01c656,KnowledgeDomain:RealLife,", ",Shona,2024-01-17 17:14:00,symbolic_domain
environment,mostlyb5-ba00-4b69-b698-36bbc63518f3,KnowledgeDomain:RealLife,neurallife,Hausa,2024-09-05 01:26:00,location
primary,mostly1a-7990-4312-a8d7-5cc62195db61,KnowledgeDomain:RealLife,Ku_domain,Igbo,2025-01-19 19:16:00,}: 
Ikiwa,mostlyd3-66c7-429b-954a-988853461941,KnowledgeDomain:RealLife,", ",Igbo,2025-01-10 04:22:00,: 
symbolic_at,mostly39-14b1-4a38-bd10-734d40333911,KnowledgeDomain:RealLife,symbolic,Yoruba,2025-03-04 11:07:00, 
primary_life,mostlyc1-c65f-4681-95f3-a7a6e8efdb86,KnowledgeDomain:RealLife,primarydomain,Igbo,2025-09-26 02:57:00,"U a na,-0.915,1.23"
Ae.,mostly34-d54a-44a6-9900-8b95a308a9ce,KnowledgeDomain:RealLife,challenge {,Oromo,2024-06-21 04:53:00,Mdomain
transferable: ,mostly04-5473-46e7-b1c4-e34d58dec517,KnowledgeDomain:RealLife,description,Igbo,2024-08-18 06:51:00,resources_logic
: ,mostlyff-26fc-401d-998c-7c96ad860ddf,KnowledgeDomain:RealLife,location,Zulu,2025-06-08 11:54:00,resources {
neural_at,mostly6a-8c2f-4ae6-a91e-3f9c482d2e5b,KnowledgeDomain:RealLife,2025,Amharic,2025-05-15 14:06:00,real--1-.
scenario_used{,mostly79-cd51-4223-a2f1-f4d61f75c3db,KnowledgeDomain:RealLife,real_at,Zulu,2025-07-07 06:45:00,
symbolic_,mostly8f-35e7-4dcd-a3e4-3ab753f0f35a,KnowledgeDomain:RealLife,setting,Yoruba,2024-09-28 02:16:00,U
symbolic_logic,mostlyec-6584-4fc1-98b3-319a7c0266af,KnowledgeDomain:RealLife,resources_logic,Amharic,2025-06-04 16:30:00,20250.241.
healthcare,mostly47-f6a1-4e00-8f7f-0364ee86c739,KnowledgeDomain:RealLife,U,Zulu,2024-07-14 20:28:00,U
outcome_logic,mostly28-ddd6-4eae-95de-1233da76814e,KnowledgeDomain:RealLife,"},2 ",Yoruba,2025-01-26 04:14:00,recorded_language
healthcare,mostly48-0f1c-4611-a4d3-34cdc491246d,KnowledgeDomain:RealLife,U,Oromo,2025-09-26 02:57:00,solution__embedding
resources_applied,mostly57-79c1-4b43-9e51-f3587ce1ba9b,KnowledgeDomain:RealLife,", ",Zulu,2024-07-19 19:19:00,: 
symbolic_domain,mostly00-d397-4c10-868d-f3a18e368f16,KnowledgeDomain:RealLife,description,Oromo,2025-07-18 16:02:00,outcome
"_insight, ",mostly7f-a57e-4a67-b8a9-0ae8f9f55451,KnowledgeDomain:RealLife,", ",Hausa,2024-07-04 14:19:00,: 
recorded_language,mostly86-bb50-4d57-b23e-01ec2623c64d,KnowledgeDomain:RealLife,location,Yoruba,2025-08-06 16:43:00,recorded
primary_:i,mostly08-e256-4592-993a-516697995f16,KnowledgeDomain:RealLife,description,Igbo,2024-08-06 04:59:00,ruralkuoum za na ya waki katikar nas na waku ya maan: {da
symbolic_faced,mostly5e-eeaf-4db6-bb53-c8697caefd10,KnowledgeDomain:RealLife,transferable_domain,Shona,2024-07-14 14:31:00,If_faced
outcome,mostlyc2-82cd-4f18-a4eb-46d15cc76b8e,KnowledgeDomain:RealLife,challenge_at,Amharic,2025-02-14 18:59:00,", "
-18204,mostly36-f1fe-4454-91e9-df6808f6747a,KnowledgeDomain:RealLife,: logic,Shona,2024-02-11 11:14:00,"realusedT: na0.6,,3 "
primary_embedding,mostly88-c542-4ec4-a976-ecbd11108114,KnowledgeDomain:RealLife,If_embedding,Shona,2024-02-15 15:57:00,
"M, ",mostlye3-2550-46ff-a504-abff0d49d236,KnowledgeDomain:RealLife,location,Amharic,2025-09-15 00:11:00,: {
Murban,mostlyc5-0ff9-4418-a350-1a7bcdd489a1,KnowledgeDomain:RealLife,"::-03,-0.0630.3037,-56.34,-..26,0.5,-0.34.498,0.16.1.8,0.2674,0,-028-.04, ",Yoruba,2025-04-06 02:29:00,: 
primary_domain,mostlyb1-7d0e-4e5e-a292-d41f52b185dd,KnowledgeDomain:RealLife,Ikiwama-la waku n waba.,Amharic,2024-12-07 15:31:00,Si wa wa ya yasha ku yata na na kutida wa ya wa na ya wa wa.
A,mostlyea-f404-4516-844d-1bb486ff80df,KnowledgeDomain:RealLife,recorded_embedding,Hausa,2025-07-05 15:51:00,transferable_embedding
solution,mostly11-a88c-458b-a3ad-c8aa81b05499,KnowledgeDomain:RealLife,,Oromo,2024-12-28 18:44:00,"20242,017ili."
symbolic_faced,mostly3e-0ca3-41c2-a185-a246017adb99,KnowledgeDomain:RealLife,location ,Yoruba,2025-07-10 02:30:00,setting
Ukosefuu ,mostly67-13a9-4bc6-9177-73b7a940329f,KnowledgeDomain:RealLife,UIf {,Zulu,2025-03-29 19:08:00,2024primary06T
"scenario:2.0.5151,0.84,-0.-04702,0.27,-0.3,--44-2.4,160.37304823, wa,0127 ya",mostly20-f7b2-4551-b14b-bf5f1a17095f,KnowledgeDomain:RealLife,", ",Shona,2024-08-10 00:59:00,challenge_ vya
transferable__languagep,mostlyb3-ec86-4a40-bb65-5b9610114b6d,KnowledgeDomain:RealLife,setting,Zulu,2025-01-18 10:27:00,: 
Iferiwain wapt,mostly85-5cac-4ab4-bb06-11bcd0733b55,KnowledgeDomain:RealLife,", ",Zulu,2025-08-28 02:44:00,: 
,mostly36-5c70-484b-a129-83f1314c9f3b,KnowledgeDomain:RealLife,symbolic_life,Shona,2025-09-26 02:57:00,Zulu
"transferableau_og yar kwa, a, ",mostly93-8b98-452a-be27-547cd25527b8,KnowledgeDomain:RealLife,"challengeurban za u,e",Amharic,2025-07-02 02:49:00,If-01T.
,mostlycd-3882-470e-938b-17e009975311,KnowledgeDomain:RealLife,",-00.",Igbo,2024-12-25 19:41:00,transferable_used
", ",mostly73-7c6e-4152-a00f-16e106716227,KnowledgeDomain:RealLife,recorded: ,Shona,2025-03-16 15:35:00,: 
If_used,mostly80-d302-42b6-b0bd-eba792f42088,KnowledgeDomain:RealLife,A_,Amharic,2025-07-21 15:54:00,I
2024If naTaara.,mostly94-151f-45e2-8b91-dbff53f15bf9,KnowledgeDomain:RealLife,_language},Hausa,2024-08-27 11:37:00,: 
U,mostlya1-ac81-4486-b345-c6dd0b55667f,KnowledgeDomain:RealLife,coastal_applied{,Amharic,2025-01-01 07:40:00,neural_used
},mostly61-20ed-48ab-bc30-e1cf8c489470,KnowledgeDomain:RealLife,resources_logic{,Zulu,2024-12-06 17:18:00,", "
solution_language_language,mostly17-e236-4fb7-bf9e-59dde45281b4,KnowledgeDomain:RealLife,A_lifedomain,Shona,2025-09-26 02:57:00,setting
2025,mostly76-6e7f-4f41-89ee-0812adf9ebfb,KnowledgeDomain:RealLife,primary_domain,Shona,2024-04-29 01:16:00,environment
Ikiwa,mostly2a-0aea-4f5d-a135-94f7f4bfd98a,KnowledgeDomain:RealLife,: ,Yoruba,2024-03-02 18:47:00,Iflifee
resourcesrecorded_applied,mostlye7-6ac8-44e7-9552-87a261ab82c9,KnowledgeDomain:RealLife,,Hausa,2024-02-14 17:30:00,Ukosefus
,mostly20-19a3-44f9-b5df-b163ae3d8e7d,KnowledgeDomain:RealLife,: ,Oromo,2025-08-16 10:37:00,urban
,mostlycc-9f62-4069-ae4d-2482063ed9be,KnowledgeDomain:RealLife,outcome,Igbo,2025-01-06 17:19:00,outcome
scenario,mostlyd7-02d5-4bd7-8b19-1e8131445402,KnowledgeDomain:RealLife,", ",Yoruba,2025-03-17 20:00:00,description
S,mostly6e-6a91-4723-923d-7447ceec1d1f,KnowledgeDomain:RealLife,scenario_domain,Zulu,2025-07-07 04:26:00,setting
setting,mostly04-515f-43bf-9f51-d2732ec04cc2,KnowledgeDomain:RealLife,: ,Zulu,2025-07-17 15:04:00,rural
: ,mostly84-659c-4fbf-a3f9-4189aff6ad7c,KnowledgeDomain:RealLife,B_used,Oromo,2025-02-26 06:51:00,"}}:--0.1200,1.5-17,0.29,0.,0.0.950.081"
neurallogic,mostly1e-decf-4a0f-8429-e2e819d6d961,KnowledgeDomain:RealLife,scenario ,Shona,2025-02-04 23:58:00,neural_n
: ,mostlyc3-20a1-4366-867a-0d806dcee144,KnowledgeDomain:RealLife,setting,Swahili,2025-03-06 16:26:00,U_language
coastali yatan {,mostly60-0bad-4598-bbaa-aaf14597da65,KnowledgeDomain:RealLife,scenario_embedding,Hausa,2025-04-08 10:58:00,solution_domain
: ,mostly4d-07c7-4b47-bf76-652c366d00aa,KnowledgeDomain:RealLife,: ,Zulu,2025-07-15 04:53:00,", "
Kka.,mostly48-5cf8-4be6-8f85-2b4b148fb42d,KnowledgeDomain:RealLife,: ,Oromo,2025-09-26 02:57:00,scenario_language
neural_at,mostlyb7-e159-487e-b45b-6fe0a2104418,KnowledgeDomain:RealLife,,Yoruba,2024-04-29 12:07:00,location
solution_at,mostlyab-77d5-43b2-a4fb-e68c2c10aa90,KnowledgeDomain:RealLife,description,Igbo,2024-06-21 06:33:00,: 
I_life,mostlyd6-59d8-4353-bf59-5cad07e8534e,KnowledgeDomain:RealLife,"Ukuwas ya zaka m,,i na iku wazi wa mli na wa us m",Zulu,2025-02-19 11:28:00,"-1.36270.9.5,.6-58183-040.,---0.0,-0.88,-1.,221"
MiT- ,mostly0f-4cd2-489d-acf8-738b760b52d8,KnowledgeDomain:RealLife, ,Igbo,2025-02-08 14:54:00,M 
-0.-.15.80: ,mostly0c-56ab-47a6-9b4d-82627cd53029,KnowledgeDomain:RealLife,"U, ",Hausa,2025-04-17 15:15:00,M wa kaa za
: ,mostly92-a627-4747-acb4-02c0d45914d3,KnowledgeDomain:RealLife,Mi_used,Igbo,2025-09-26 02:57:00,description
transferable_u,mostly62-f039-4a7d-ac06-32fc76b57eb0,KnowledgeDomain:RealLife,resourceslogic,Shona,2025-08-26 05:52:00,:0.
transferable_faced,mostlye0-bd26-4969-818a-2061940196df,KnowledgeDomain:RealLife,resources_applied{,Yoruba,2024-06-04 23:42:00,"2025-0417,-1.81,0.602,"
real_used,mostlybe-7fc3-4585-a98c-9798747a9ce8,KnowledgeDomain:RealLife,,Yoruba,2025-09-26 02:57:00,: 
healthcare_embedding,mostly10-3d66-4362-a462-d1a5110f13d0,KnowledgeDomain:RealLife,scenario_domain_embedding,Yoruba,2024-07-17 08:37:00,environment_applied
challenge_applied,mostly8e-7056-492b-b655-039acac5f4cf,KnowledgeDomain:RealLife,Ma,Swahili,2025-07-05 08:31:00,Ku ya_domain wa kwabad na n ku kwad
,mostly6b-a61b-4e15-bdb7-08b89c95b3a2,KnowledgeDomain:RealLife,", ",Yoruba,2025-06-18 21:47:00,symbolic_logic
"I0.44,0 ya:0000, ",mostly80-b2f7-4430-8264-aaae052288a5,KnowledgeDomain:RealLife,", ",Hausa,2024-07-18 08:07:00,"U,00"
financelogic,mostlyf8-5fd3-4c2e-9b5c-0aa31444d950,KnowledgeDomain:RealLife,Ki_scenario__insight,Zulu,2025-06-05 16:26:00,
"N1-0.6,0-.68030,,0.08-, ",mostlyf2-c66e-4dce-9938-2d239e6e9503,KnowledgeDomain:RealLife,symbolicli,Igbo,2024-01-22 17:24:00,"}-e8o nasa wa ka, wa vya"
primary_life,mostly5f-5c54-492a-bedb-fff5d3514534,KnowledgeDomain:RealLife,setting,Yoruba,2025-06-14 13:37:00,primary_faced
symbolic_logic,mostly97-3638-4df7-9223-88a6ed3eb83c,KnowledgeDomain:RealLife,If ,Shona,2025-01-14 16:26:00,"}at, Ethiopia "
transferable_embedding,mostly80-61de-42e4-b02e-3c024e63fd77,KnowledgeDomain:RealLife,"symbolictieku,- ",Shona,2024-09-01 19:30:00,description
_: ,mostly3a-303e-474c-be9d-da4233ebf254,KnowledgeDomain:RealLife,resources_life,Shona,2025-09-19 21:15:00,Zulu
M,mostly51-3a71-4f14-8851-d0523f304635,KnowledgeDomain:RealLife,location,Hausa,2025-09-06 17:01:00,K
: _{,mostlybc-8971-4e75-bd2e-fce4c384fb9f,KnowledgeDomain:RealLife,"M a kwa iinira ya- ya za, wa u a asira- yazi- kumamazi.",Igbo,2025-09-05 01:18:00,M
,mostly55-f9cb-43b3-951b-55cf512726e0,KnowledgeDomain:RealLife,transferable ,Amharic,2024-02-21 23:57:00,Igbourbanwaji.
", ",mostly44-904b-459a-b7f5-bb273d1fd6fc,KnowledgeDomain:RealLife,"locationscenario, ",Shona,2025-08-27 13:20:00,urban
Ikiwaat,mostly98-3f4b-41aa-b435-ff1ba5654b88,KnowledgeDomain:RealLife,symbolic ,Hausa,2024-12-25 16:42:00,Mi.
setting,mostly21-e0d0-401d-ba9c-658af65a7651,KnowledgeDomain:RealLife,neural_logic,Oromo,2025-02-28 06:08:00,"scenario wa, "
2025,mostlyc9-9785-4a57-b03b-89c95ba25031,KnowledgeDomain:RealLife,real_ ,Igbo,2024-01-11 17:45:00,K{
-05T ya,mostly9c-9c0e-408b-a920-616575302adb,KnowledgeDomain:RealLife,: ,Shona,2025-02-16 15:13:00,primary_domain
neural_logic,mostly6c-c3b7-46ed-bbd0-a1ec0ecfeda0,KnowledgeDomain:RealLife,", ",Shona,2024-05-06 18:56:00,
}_language,mostly34-96ba-474e-a794-8d39188813db,KnowledgeDomain:RealLife,neural_logicused,Yoruba,2024-06-20 07:48:00,
", ",mostly89-b40f-4b23-b3d2-b8d19bccdec2,KnowledgeDomain:RealLife,Ikiwa,Amharic,2024-04-04 06:30:00,Ki_logic
neural_at,mostlyaf-4db5-4888-8e1c-494657e38d5b,KnowledgeDomain:RealLife,Ki,Zulu,2025-06-20 22:23:00,", "
transferable_insight,mostlyc6-52d1-4b7f-b8ad-94a819326752,KnowledgeDomain:RealLife,"challenge, {",Zulu,2024-10-10 11:16:00,A
M waridakowa ku kwazi yata wawa na wa na ku na yai mta wala naka kazit naaankka nli naetata a vya ma.{,mostly54-3fe9-4c19-aa47-459812cf43e6,KnowledgeDomain:RealLife,outcome_embedding,Shona,2024-05-02 13:31:00,", "
_domain00,mostly68-805c-4ef2-8519-f45a4370f4d1,KnowledgeDomain:RealLife,"K, Kenya ya kiwa kuko na m na ku wae",Hausa,2025-09-26 02:57:00,"--0.,0.69,0..3"
resources_language,mostlye2-71a2-4c8d-8055-99c5307ea3a1,KnowledgeDomain:RealLife,", ",Igbo,2025-09-26 02:57:00,Ki 
primary,mostlyad-a2c9-409a-96e3-f0e396b056db,KnowledgeDomain:RealLife,Ae,Shona,2025-06-07 12:24:00,"scenario, "
solution_insight,mostly9f-7623-45c3-9ae2-d90eb1a5faf4,KnowledgeDomain:RealLife,Ku,Oromo,2024-06-24 23:46:00,primary_embeddinglanguage
,mostlyb9-b26d-4023-b3f1-e86a486a87e3,KnowledgeDomain:RealLife,U,Shona,2025-02-27 18:44:00,", "
M nau,mostly93-dfa0-4bce-9fb5-93a01f6d0936,KnowledgeDomain:RealLife,B_urbanlogicfaced,Igbo,2025-05-23 07:12:00,recorded_: 
,mostlyce-f66f-4fd6-bd4e-0aa46f4e2e4f,KnowledgeDomain:RealLife,,Amharic,2025-01-28 02:51:00,: 
Kdomain,mostly50-5987-4c0a-8466-90ca8da2bba7,KnowledgeDomain:RealLife,resources,Shona,2024-01-02 05:22:00,location
", ",mostlyb0-b8f8-4f27-ab4d-91c9c4de6984,KnowledgeDomain:RealLife,B_ ,Oromo,2024-03-19 03:04:00,Ku
"resourcesdomainli-08,ri za i",mostly97-f532-4e30-bb45-3b368f91e968,KnowledgeDomain:RealLife,2024 ,Oromo,2024-11-05 03:50:00,"}primarylogic1,T_insight"
,mostly69-c239-41da-ac01-0e2ff61a74fb,KnowledgeDomain:RealLife,U_logic,Amharic,2025-07-16 17:43:00,scenario_location
"setting na kuT e i.,-0.54,0.78041,-0..-1003:00",mostlyf9-b8f5-4a97-b1a2-21b26924ec2a,KnowledgeDomain:RealLife,setting,Oromo,2025-02-22 02:04:00,U wa ki wa_.
Mi ,mostly27-ae2b-42f3-8f40-27416e7b7830,KnowledgeDomain:RealLife,2024iku.,Igbo,2024-02-17 12:25:00,K
Ki,mostly33-3de8-4ca0-9833-4e8b03015f47,KnowledgeDomain:RealLife,description,Amharic,2025-01-23 05:41:00,finance
}urban,mostlycf-0abd-4690-8e30-1370a0d10249,KnowledgeDomain:RealLife,: ,Zulu,2024-09-22 21:17:00,: 
"recordedlogic0lie isi ya wa ki wa mm waisha ya,.",mostly8d-9226-4321-8ad1-014a6af388e4,KnowledgeDomain:RealLife,A_applied,Zulu,2024-06-13 22:09:00,", "
description,mostly43-b805-4f9b-baaf-ed3b9a70b7c6,KnowledgeDomain:RealLife,location,Oromo,2025-02-05 22:44:00,location
