description,id,labels,location,primary_language,recorded_at,symbolic_logic
wisdom,mostlye2-a8b0-4af8-a5c1-ef26963e5393,KnowledgeDomain:Ethics,wisdom_embedding,Amharic,2024-05-30 15:11:00,
principle{,mostly3a-708b-4905-ad15-e5d5252ee307,KnowledgeDomain:Ethics,", ",Oromo,2025-06-11 20:46:00,"principlecwa_, "
: ,mostly05-b6ef-4fe5-984e-54e52c56cda8,KnowledgeDomain:Ethics,location,Shona,2024-01-13 02:18:00,A
A_teaching,mostly30-05c8-416d-8068-fdaef97994d4,KnowledgeDomain:Ethics,",at",Zulu,2024-03-20 23:55:00,recorded_teaching
"Hb, _ natype",mostlyb7-6fdd-455c-ae47-68aa85abb1af,KnowledgeDomain:Ethics,wisdom,Swahili,2024-11-17 09:21:00,
,mostlyfc-13fd-48c9-b810-79b43ac5458e,KnowledgeDomain:Ethics,: ,Oromo,2024-01-27 06:34:00,ethical_embedding- 
C ,mostlyf9-3ce7-4608-8849-49fdaea52687,KnowledgeDomain:Ethics,"description1,0...29100",Swahili,2024-09-18 16:26:00,traditional  ው
Gon mn ,mostly99-2203-4d94-8a4e-d57f700fcebb,KnowledgeDomain:Ethics,: ,Igbo,2024-08-08 00:19:00,2024cultural
primary_domain,mostly17-3989-484f-91c8-c823a0b05382,KnowledgeDomain:Ethics,Ke,Shona,2025-01-30 16:59:00,", "
stakeholders,mostly33-452c-4ba6-bca6-b61c21169e5d,KnowledgeDomain:Ethics,"resolutionon.a,0.",Yoruba,2025-02-15 03:31:00,"A--T-_1.01.272,0.8096,-,143"
description,mostly5f-42ad-439a-8076-3d7505b0a457,KnowledgeDomain:Ethics,wisdomlanguage,Shona,2024-07-09 04:40:00,neural_logic
"ethical,-0.3,-0713,1.66,0.49, ",mostly41-e186-42d4-bcf2-35fd10ce00b8,KnowledgeDomain:Ethics,}} ,Amharic,2025-01-12 03:01:00,scenario
}}} ,mostlyae-c58f-4710-9a1f-8da1c4b93cfc,KnowledgeDomain:Ethics,stakeholderss,Oromo,2024-01-12 04:47:00,empathy: 
wisdom_teaching,mostly84-fd2c-4cad-a4b2-b50c03e89c2a,KnowledgeDomain:Ethics,primary ,Yoruba,2024-11-25 04:01:00,description
principle_logic,mostly3d-a7ae-4277-81f5-ad86f3c57046,KnowledgeDomain:Ethics,"traditional1,0.-2921715,13:,0.39",Oromo,2024-09-01 01:30:00,ethical_language
Cdemonstrated,mostlye7-4ea3-4cbb-acfb-620e869d5355,KnowledgeDomain:Ethics,primary,Shona,2024-11-27 02:18:00,ethical_logic
location: ,mostlybb-e132-441a-b6f9-5d08e0b7d8df,KnowledgeDomain:Ethics,description,Shona,2025-03-21 15:10:00,"A0.07T, "
-_Ttension,mostlyd4-c147-4097-ab01-b19be5c51ce4,KnowledgeDomain:Ethics,ethical_framework,Zulu,2025-07-19 11:50:00,: 
respect,mostlybc-804b-47d5-92c0-be11149377d4,KnowledgeDomain:Ethics,location,Yoruba,2024-09-06 17:10:00,principle_domain
"I,analgb na",mostlyef-5abf-4a1d-b458-84ad550d525f,KnowledgeDomain:Ethics,"Clhtdwawa, v",Amharic,2025-04-15 10:08:00,K 
description,mostly3a-8e91-4542-9af6-35e14092f075,KnowledgeDomain:Ethics,description,Amharic,2025-05-17 11:06:00,: 
H,mostly71-3ebf-4816-b211-e40a6ae4af76,KnowledgeDomain:Ethics,wisdom_teaching,Igbo,2025-09-25 10:59:00,O
traditional,mostly28-98dd-4a8b-a13a-96797c9eac2b,KnowledgeDomain:Ethics,M_justice,Swahili,2025-04-19 13:46:00,recorded_
ethical_domain,mostly03-021a-45aa-b750-fd1e73e1ed2e,KnowledgeDomain:Ethics,recorded_type,Zulu,2025-01-20 21:40:00,"E-0.7415:-0..1,0.150.384,16"
ubuntu_.,mostly26-41e5-4b0a-960e-a2ebd82ecc3c,KnowledgeDomain:Ethics,ethical_domain,Oromo,2025-09-25 10:59:00,K{
U_demonstrated,mostlyec-d3bc-4f7f-9e7a-5b2b78d5002b,KnowledgeDomain:Ethics,ethical_embedding,Amharic,2025-09-18 08:49:00,wisdomdemonstratedd {
description,mostly19-35ad-415b-b214-5783f2358432,KnowledgeDomain:Ethics,": 0..579,0.073,--1205ethics,02.843, ",Igbo,2024-01-27 16:17:00,resolution
-,mostly5e-61bd-4229-9daf-948652b96e7a,KnowledgeDomain:Ethics,ethics_,Amharic,2024-07-26 15:27:00,2024 {
I,mostly66-92dd-40c8-834a-860f5cf74887,KnowledgeDomain:Ethics,U}_embedding,Oromo,2025-09-20 02:14:00,K-
2024_-_-,mostly2d-14e0-4aaa-9e3b-f659f422f7eb,KnowledgeDomain:Ethics,Iem,Igbo,2024-02-25 19:08:00,} 
ubuntu_ ku and,mostlybf-f4c0-4d23-babd-5e95a9719120,KnowledgeDomain:Ethics,primary_tension,Zulu,2025-09-25 10:59:00,symbolic_tension
G,mostly81-0cd0-40c3-acb8-59ff63918888,KnowledgeDomain:Ethics,"2024--0.089.194,-0.0800,,.",Swahili,2024-08-19 11:05:00,scenario_at.
: ,mostly8d-a281-4ff1-bd0c-53548ef83f77,KnowledgeDomain:Ethics,"empathyalataa,1ial sin b kuue d a, ",Zulu,2024-09-30 04:53:00,location
symbolic_demonstrated,mostly64-b4a0-4ca7-a0e4-709560eb9a3b,KnowledgeDomain:Ethics,resolution,Shona,2024-05-02 01:43:00,: 
M,mostly7c-a2b5-41f0-9645-6a30d9ccaea6,KnowledgeDomain:Ethics,description_atT,Yoruba,2025-02-10 10:04:00,"neuralsymbolics wa,i-0.1421.,114}_, "
stakeholders},mostly8e-f11f-4755-8730-b82be032f372,KnowledgeDomain:Ethics,"traditional, ",Amharic,2024-09-24 21:06:00,"ITn,e"
,mostlyc1-6679-47ea-8a5c-f247c607d61a,KnowledgeDomain:Ethics,A_00-,Zulu,2024-09-10 10:30:00,_logic
cultural00,mostly77-dbe4-46a7-b75b-b4aa5cce31c1,KnowledgeDomain:Ethics,", ",Swahili,2024-02-14 02:20:00,", "
ethical ,mostlyfb-38be-4425-b5cc-49a72a80e519,KnowledgeDomain:Ethics,stakeholders,Swahili,2025-08-05 03:20:00,primary_at
: ,mostly7b-7372-4b79-a589-aaf3f4ca6fff,KnowledgeDomain:Ethics,cultural ,Shona,2024-04-02 09:43:00,principle_type
"2024iyf, ",mostly56-ba2e-487f-b00c-54d3d777975e,KnowledgeDomain:Ethics,wisdom_,Shona,2025-06-21 10:55:00,primary_at
wisdom_demonstrated,mostly5e-7219-47df-8d42-e637b2a1cd7b,KnowledgeDomain:Ethics,{,Oromo,2025-05-10 10:35:00,: 
resolution,mostly46-c72d-4d23-9f90-55954c7a8ac1,KnowledgeDomain:Ethics,scenario_embedding,Shona,2025-09-23 06:49:00,","
principle_embedding,mostly53-1d79-4ca7-b3d9-699f510e93f7,KnowledgeDomain:Ethics,-0.020.67291.: ,Amharic,2024-04-23 10:32:00,primary_framework
}type ,mostly41-9624-4fdc-9c74-87f26940e796,KnowledgeDomain:Ethics,resolutionm monf,Igbo,2024-11-01 06:17:00,: 
neural_-,mostly8c-4e68-40d4-b69a-e42a30aa0359,KnowledgeDomain:Ethics,2024_.,Hausa,2024-05-08 11:40:00,}_language
Ku,mostlyd2-82d0-433e-be9c-efc5c8c57d02,KnowledgeDomain:Ethics,ethical_at,Zulu,2024-08-04 05:20:00,empathy 
A,mostlyc7-ba7f-4975-a186-a09e7e43ecba,KnowledgeDomain:Ethics,stakeholders,Swahili,2025-06-04 15:18:00,"modern,0.191,-0.8250.8:,06,--050.160635,"
resolution,mostly45-5fb6-4412-9cb3-7774905e27ea,KnowledgeDomain:Ethics,symbolic ,Amharic,2025-03-21 18:19:00,K_teaching
cultural_: ,mostly2e-ae06-40a2-bff9-aeaaaaf5a5e1,KnowledgeDomain:Ethics,neural_logic,Amharic,2024-10-02 17:05:00,empathyalanain_
neural,mostly75-3de9-4b09-a28d-70d2a1fb65c8,KnowledgeDomain:Ethics,ethics,Shona,2024-08-04 23:36:00,ethical_language
neural_dilemma,mostlyf3-84a4-48f9-ac74-edba817937c5,KnowledgeDomain:Ethics,community_language,Amharic,2024-09-20 07:15:00,T:00
E kuwapenonf,mostly55-7d9f-451c-a0c3-463b3427f8db,KnowledgeDomain:Ethics,scenario_tension,Shona,2024-12-06 06:27:00,recorded_
Ndị,mostly64-aacf-4b87-a4db-4ede5c5a165d,KnowledgeDomain:Ethics,recordedd,Oromo,2025-07-29 01:51:00,Wowaa
wisdom_language,mostly9f-f646-4106-8752-00f20a4d49da,KnowledgeDomain:Ethics,-:-0.062307:00,Igbo,2025-08-06 06:16:00,U1
2024ar,mostlye7-f238-4a6a-bd1d-1e08c6838510,KnowledgeDomain:Ethics,neural_,Hausa,2024-02-20 17:30:00,neuralethics
description,mostly90-092b-45f5-ba2a-27feb12df997,KnowledgeDomain:Ethics,: ,Zulu,2025-09-25 10:59:00,stakeholders_logic
symbolicdomain,mostlya7-ab91-41eb-8e18-9c4c8cb36eff,KnowledgeDomain:Ethics,}_type,Yoruba,2024-11-20 23:23:00,primary_resolution
", ",mostly71-d533-4d51-bcd9-7026e73ce5ae,KnowledgeDomain:Ethics,primary_language,Swahili,2025-09-10 13:23:00,", "
},mostlyc3-e913-4ed3-a495-9179b8e130f8,KnowledgeDomain:Ethics,", ",Oromo,2025-09-25 10:59:00,: 
cultural_framework,mostlyf8-8915-4231-bb8f-e94d3e800929,KnowledgeDomain:Ethics,descriptionethical,Zulu,2024-03-30 21:11:00,I.121.s 
primary_,mostlye5-04c4-424b-962c-950ed25ab10e,KnowledgeDomain:Ethics,scenario_logic,Igbo,2024-08-26 20:45:00,A
{_framework,mostly7b-f048-4661-bb42-cb137073cded,KnowledgeDomain:Ethics,,Igbo,2025-04-12 03:36:00,N
: ,mostly99-27c3-4b6b-93cc-5c6484152106,KnowledgeDomain:Ethics,description,Shona,2024-03-15 23:30:00,U
":type_-1.5,-0.4-.838,0.02,06,",mostly64-a9e9-4df4-9016-160a3ef743d8,KnowledgeDomain:Ethics,ethical_,Swahili,2025-09-15 13:06:00,ethical_demonstratedembedding
symbolic_language,mostlyf0-cc5e-4024-bd2a-a638f7c5125b,KnowledgeDomain:Ethics,"principle-04an, ni0.5,,-0.3",Zulu,2024-07-13 14:28:00,description
:00,mostlye5-5466-4646-bd99-d28b46529226,KnowledgeDomain:Ethics,: ,Zulu,2025-01-31 08:20:00,recorded
"2024-,-0.09.,-0..T57,-.,-0.09259,00.308,--194",mostlyd4-7053-434e-b38c-893de777d11e,KnowledgeDomain:Ethics,Ain na,Zulu,2024-09-19 23:25:00,"}aanys,-ci yak.in naa"
primary{,mostly7a-48f2-4878-aeaa-6c4933f339a2,KnowledgeDomain:Ethics,principle_embeddingohzid a isọ,Shona,2024-02-16 23:20:00,
community ,mostly25-59a4-4fba-85c5-26372cfd2459,KnowledgeDomain:Ethics,wisdom_teaching,Oromo,2024-11-04 22:01:00,: 
ethical ,mostlycd-7c07-4677-9dd1-716880105c7a,KnowledgeDomain:Ethics,resolution,Shona,2025-03-14 03:41:00,
}_logic,mostly77-0213-433b-93de-260ea7ba844e,KnowledgeDomain:Ethics,"W0.14362, {",Igbo,2024-10-11 06:03:00,ethical_embedding
: {,mostly63-b2af-4b5c-8eb6-9511d8255a66,KnowledgeDomain:Ethics,: ,Swahili,2024-02-01 01:18:00,"Ho, "
", ",mostly59-3964-4705-be52-7bcc01aabcb0,KnowledgeDomain:Ethics,O,Igbo,2024-06-24 00:52:00,: 
: ,mostly46-5b95-424c-b997-b4a9bed872ef,KnowledgeDomain:Ethics,:,Yoruba,2024-09-10 15:55:00,_
resolution,mostly8b-3ed7-43f2-b776-85e70b266e39,KnowledgeDomain:Ethics,"justice, ",Shona,2025-08-10 13:44:00,location
}recordedMb andats,mostly0c-624f-48ef-8854-d9000637a558,KnowledgeDomain:Ethics,description_teaching,Swahili,2025-03-20 02:44:00,wisdom_domain
scenario ,mostlybc-28c9-4d38-aceb-2d4ca915d24c,KnowledgeDomain:Ethics,cultural_at,Amharic,2024-08-25 22:06:00,description
"A-0.19-2,1.27,0.052902},0.4_-02.1307,-4-0.7,-0.15015,0.43,-1.-0.59T:, ",mostlybe-b9a6-48a0-8b5c-7c93e9001821,KnowledgeDomain:Ethics,location,Yoruba,2025-06-26 12:31:00,{
 ,mostly3c-fe14-47cb-8d98-9a294faddd2f,KnowledgeDomain:Ethics,"-}, ",Swahili,2025-09-25 10:59:00,: 
empathy,mostly7a-afc7-4e73-ba55-b07e7f5924c9,KnowledgeDomain:Ethics,ethical_,Igbo,2025-06-27 14:26:00,primary_teaching
ethical_framework,mostlydd-ecca-4f3b-ada9-9731d620623e,KnowledgeDomain:Ethics,},Oromo,2024-01-27 04:20:00,scenario. 
: ,mostlycd-8969-4525-86fd-2961e62d88e4,KnowledgeDomain:Ethics,: ,Shona,2024-01-18 06:21:00,}_justice
U1,mostly8d-424f-48e9-92d8-b18321197530,KnowledgeDomain:Ethics,neural_tension,Igbo,2025-06-28 02:05:00,
location {,mostly77-0e77-41b9-8117-676b90e06b12,KnowledgeDomain:Ethics,,Igbo,2025-03-05 17:40:00,
description,mostly8d-cff1-42a4-86b0-f4fecffa8a26,KnowledgeDomain:Ethics,stakeholders,Yoruba,2025-03-21 10:42:00,recorded_logic
neural_logic,mostlyef-98b5-4bd9-a1c1-0ca1e3a7f291,KnowledgeDomain:Ethics,recorded,Igbo,2025-01-21 23:46:00,: 
principle_framework,mostly0a-f96a-4acb-9116-1e23b04643e6,KnowledgeDomain:Ethics,2024--0.-496,Igbo,2024-11-11 03:14:00,: 
primary_embedding,mostly55-b9a5-4ee9-b180-f0ca83b7876b,KnowledgeDomain:Ethics,description,Amharic,2024-02-10 06:45:00,{ 
", ",mostlyc3-d7eb-4282-8a9f-dc42aeb05910,KnowledgeDomain:Ethics,": mbkenwa,- i,001 {",Zulu,2025-05-18 05:49:00,stakeholders
,mostlyd8-0e84-45f2-a325-6b9257710aab,KnowledgeDomain:Ethics,U_decision,Igbo,2025-01-03 06:21:00,wisdom_teaching
", ",mostlyfc-d6df-44d7-82c9-88880b70eebe,KnowledgeDomain:Ethics,0: {,Hausa,2025-03-18 12:41:00,ethical_logic
scenario_,mostly67-bc76-4423-b64a-cc05cacce954,KnowledgeDomain:Ethics,", ",Igbo,2025-01-22 00:06:00,
primary_domain,mostlyf6-d509-4758-a402-4fdfdbd7a86e,KnowledgeDomain:Ethics,U{,Swahili,2025-06-13 10:31:00,"2024-0117,.6904,1.7,"
ethical_demonstrated,mostlyb1-2091-48f7-b041-85154eaf3411,KnowledgeDomain:Ethics,: ,Hausa,2024-09-12 18:36:00,ethical_teaching
{,mostly69-2476-40e6-a314-202ca381a2a2,KnowledgeDomain:Ethics,neural_domain,Yoruba,2024-08-03 04:03:00,neural_teaching
scenariosymbolicresolution,mostly53-eed7-4cac-9361-6c0465bcfd8e,KnowledgeDomain:Ethics,Shona ,Amharic,2024-08-03 12:34:00,", "
,mostlyb5-1577-4840-a866-677f64cccb86,KnowledgeDomain:Ethics,cultural}_tension,Zulu,2025-01-31 21:28:00,stakeholders
wisdom_teachinglogicdomain,mostly11-9114-45f7-887b-fe18c82dd998,KnowledgeDomain:Ethics,Wdemonstrated,Swahili,2024-08-02 00:24:00,}scenario_logic
community,mostly7f-df71-481b-a07f-13b6e8b3eba9,KnowledgeDomain:Ethics,ethics,Igbo,2025-06-06 13:12:00,: 
", ",mostlydc-83fc-499e-ba55-22b36fec7190,KnowledgeDomain:Ethics,scenario_frameworkkp,Igbo,2024-09-13 04:23:00,H
},mostly49-eba3-4ff9-bdcb-26d989d73a57,KnowledgeDomain:Ethics,resolution,Amharic,2025-08-25 18:42:00,: 
wisdomu,mostly28-5afb-4650-ab12-c4274f8d4f27,KnowledgeDomain:Ethics,principle_framework,Hausa,2024-03-10 02:48:00,ubuntu_0
",-..2.1943..9,15",mostly65-8366-48f3-88f7-c3246fc92a15,KnowledgeDomain:Ethics,wisdom_framework,Swahili,2025-05-23 06:24:00,IT00 {
{,mostly5d-e1de-41d9-8b5e-357abf0f387f,KnowledgeDomain:Ethics,- ,Igbo,2025-02-18 10:48:00, m
", ",mostlye3-e83f-49af-a342-c33b87ed508b,KnowledgeDomain:Ethics,: ,Swahili,2024-05-03 07:50:00,ethical_language
recorded,mostlyd6-db73-4a6c-948e-0d5029f78687,KnowledgeDomain:Ethics,",-0.04,009.43,,0.2717,07,-0142.2,0.51179,0.2508,1.4302,0.5,0.3,0.6,0..87,012,-0.06,-7,-1807.,2",Oromo,2024-09-14 11:10:00,
"K, ",mostlydc-f778-47a3-8fee-c17d341253d6,KnowledgeDomain:Ethics,: ,Igbo,2024-08-16 02:33:00,
wisdom_teaching,mostlyb1-1277-4502-b763-fc106abb85aa,KnowledgeDomain:Ethics,description,Shona,2024-03-03 11:06:00,primary
primarystakeholders,mostlya6-5a49-41c7-ab5d-9964fdb44f3e,KnowledgeDomain:Ethics,ethical_domain: ,Amharic,2024-05-08 00:34:00,location
} ,mostly11-fa12-48a3-ab1e-630e65cf2497,KnowledgeDomain:Ethics,: ,Yoruba,2024-02-13 17:11:00,U
cultural_ na,mostly0e-129a-4e2f-a07b-54bc151e83ac,KnowledgeDomain:Ethics,scenario,Igbo,2025-01-29 19:01:00,K 
justice wa ,mostly99-efcc-443a-b4a2-4c575b1b4f6e,KnowledgeDomain:Ethics,ethical_language,Shona,2024-04-19 10:39:00,-at10
: {,mostly8f-8238-4c81-8cfc-eb74ded2c62b,KnowledgeDomain:Ethics,primary_type,Shona,2024-09-29 20:03:00,", "
stakeholders,mostly49-f232-4540-9867-2989a0560803,KnowledgeDomain:Ethics,"C{1, e-0.2812,-10.712,2,.",Igbo,2024-09-02 19:20:00,A.l
neural_location,mostlye6-5d10-4aff-82f7-dfdec95a936c,KnowledgeDomain:Ethics,symbolic_teaching,Oromo,2025-07-06 04:25:00,neural_language
A,mostly33-ca09-4967-b739-8f4df59cec31,KnowledgeDomain:Ethics,,Swahili,2024-07-10 12:08:00,2024 
}} ,mostly91-2b64-42f8-9bfb-0c774f37ca09,KnowledgeDomain:Ethics,neural_tension,Igbo,2024-01-13 13:52:00,2024wawa
Ndị,mostlyc5-1361-4f15-8407-8e9ba9e3f469,KnowledgeDomain:Ethics,: ,Zulu,2025-07-26 06:04:00,scenario
principle_at,mostlya5-a6a3-468f-be29-0b048aeedde3,KnowledgeDomain:Ethics,,Oromo,2025-08-08 01:27:00,stakeholders
} {,mostlybf-46ab-4105-96f3-9ea03f507789,KnowledgeDomain:Ethics,neural_: ,Yoruba,2025-09-13 04:11:00,symbolic_demonstrated
modern_,mostly00-6a81-4154-9706-f69a207f52f8,KnowledgeDomain:Ethics,N,Igbo,2024-06-06 08:33:00,symbolic_tension
Ndị ,mostly4e-6752-4e07-b0ea-01a45291448a,KnowledgeDomain:Ethics,primary_domain,Oromo,2025-05-08 08:45:00,", Nigeria"
"2024location,-e",mostlyca-3571-4722-adc5-7db0a6370320,KnowledgeDomain:Ethics,stakeholders,Shona,2025-05-20 05:30:00,}
Tanm,mostly24-0c49-4259-86b7-2188c63d23ad,KnowledgeDomain:Ethics,O00}aonenl,Amharic,2024-04-19 00:32:00,", "
description,mostly41-0166-4c79-a667-6edbfcb514b2,KnowledgeDomain:Ethics,,Amharic,2024-05-30 16:29:00,ubuntu
,mostly93-a61e-4190-a389-03926acc2b57,KnowledgeDomain:Ethics,neural_framework,Yoruba,2025-02-14 20:10:00,primary_tension.
}justice,mostly03-fb62-45b2-8a2f-330387c60947,KnowledgeDomain:Ethics,neural_tension,Hausa,2024-06-26 19:50:00,principle_logic
cultural_at,mostly94-767a-4a2d-a8d8-63447e660981,KnowledgeDomain:Ethics,description,Oromo,2024-09-03 23:53:00,"K-0.8,,0.49, "
M,mostly4a-16ef-4d02-8666-75625f7e38b8,KnowledgeDomain:Ethics,"M0..25,2",Yoruba,2025-07-06 22:09:00,ethical_tension
}_teaching{,mostlyeb-efb0-4058-bf7a-72fb13955f59,KnowledgeDomain:Ethics,,Shona,2024-07-05 06:42:00,C
ethics,mostlyf2-bc45-4c70-ae36-c78cd79757c6,KnowledgeDomain:Ethics,"Kethical.4,-,0.5615-,0.4712,-00.98, 03-T",Zulu,2024-01-08 17:23:00,Ne
scenario_embedding,mostly0e-f17d-4d4e-bd09-3ce6d1827a9b,KnowledgeDomain:Ethics,ethics,Swahili,2024-06-30 12:29:00,
Ku_embedding,mostly6d-da25-4cd6-b4ad-d9d50325a86e,KnowledgeDomain:Ethics,: a,Igbo,2024-09-02 21:26:00,: 
ethical_{,mostly93-d96a-4e67-8947-fb76e69ac423,KnowledgeDomain:Ethics,-m7,Oromo,2025-04-14 15:36:00,traditional. 
"}.,--0.0912,0.",mostly12-147b-485c-b1cc-0caa460b3a29,KnowledgeDomain:Ethics,Oromo_type,Shona,2025-05-18 17:19:00,: 
scenario.,mostly93-1671-4cf1-aca7-ccc41a5a6775,KnowledgeDomain:Ethics,location,Shona,2024-03-16 19:17:00,T_demonstrated
primary_,mostly6a-99e5-42fe-8d04-0928a0126ce0,KnowledgeDomain:Ethics,description00}waae ch yainyakam,Shona,2024-11-13 00:39:00,symbolic_teaching
-06,mostlyc2-3718-4305-a81d-2bd83e5592c9,KnowledgeDomain:Ethics,"I and h nban, ",Shona,2024-10-22 15:57:00,Ndị_at
ethical_at,mostlyc7-fb8d-4495-ab2b-c5cf6302830b,KnowledgeDomain:Ethics,"2024,0.180T.45,.1,0.9,-0.1449124,1,-0.0800100.,0 ",Zulu,2024-01-08 17:23:00,", "
description_tension,mostlyf2-1cf5-4815-bc57-af45cf3a3428,KnowledgeDomain:Ethics,cultural_,Amharic,2024-07-24 08:25:00,2024-
