description,id,labels,location,primary_language,recorded_at,symbolic_logic
}location,mostlyb3-9e6e-4014-8e1c-8fb57ac8b9fe,Science:KnowledgeDomain,", ",Hausa,2024-04-30 03:42:00,methodology
C_at ,mostly11-1943-4114-a8ba-05671049fe3c,Science:KnowledgeDomain,description,Amharic,2025-02-13 05:21:00,N0ationo
", ",mostly62-1c78-4661-86f5-5625a0562f30,Science:KnowledgeDomain,primary_at,Shona,2024-04-04 14:27:00,"Eorsingsi inc  and,"
", {",mostly19-26c0-4b5a-b683-a3ef7e065c52,Science:KnowledgeDomain,primary ,Igbo,2024-07-26 11:23:00,Shona
symbolic_type,mostly90-db8d-4b8b-9984-914494fb96a9,Science:KnowledgeDomain,recorded_or_.,Hausa,2024-09-11 09:11:00,M: 
experimental,mostly79-c3e1-43e8-9c51-48abf87fec0e,Science:KnowledgeDomain,R for toie {,Shona,2024-05-29 21:33:00,problem
.,mostly10-6cd4-4b93-8900-57cd64314635,Science:KnowledgeDomain,M forcial,Swahili,2024-06-20 13:12:00,How
real_languageor ,mostly2d-1e3a-4467-a611-745b4f9c156d,Science:KnowledgeDomain,discipline ,Oromo,2024-04-12 12:30:00,}}} _orl
experimental,mostly36-3eb2-494a-b156-59d2f3ca4a45,Science:KnowledgeDomain,location,Zulu,2024-10-05 10:56:00,knowledge.
: ,mostly02-0b02-4c56-8767-c8868a87522d,Science:KnowledgeDomain,{,Hausa,2024-08-07 02:22:00,} 
discipline,mostly7e-5b28-45a6-800d-6f2e91cb8ccf,Science:KnowledgeDomain,discipline,Shona,2025-04-20 12:26:00,"symbolic,-0.89"
: ,mostly28-c113-47d8-9831-aa13f6b2a118,Science:KnowledgeDomain,0.,Shona,2025-05-18 10:19:00,primaryapplication
"recordedoare.,00{",mostly3a-b2ca-43cb-89ad-b455d5e2e57a,Science:KnowledgeDomain,"}, ",Igbo,2024-12-12 05:11:00,", 0.9"
M,mostly35-c8c5-4822-a994-600a5570636c,Science:KnowledgeDomain,real_statement,Zulu,2025-04-03 18:39:00,",_: "
: {,mostly12-dd65-444f-a189-ffedb1e403fe,Science:KnowledgeDomain,"2024,topic",Oromo,2024-11-15 09:41:00,discipliney
"recorded__, ",mostly90-0347-4566-b258-251ee30c27d7,Science:KnowledgeDomain,: ,Yoruba,2024-05-19 18:19:00,":0.0359001-.11010202,0.3323,-0 -0660: "
neural_or_embedding,mostly57-1ae9-407b-89fa-90553f8d6a46,Science:KnowledgeDomain,-{,Amharic,2025-03-12 00:33:00,20240-T.
"topicalalation and intingia.3, Ethiopia",mostly84-6b3a-45b0-85ed-b403409674bb,Science:KnowledgeDomain,":-0., ",Oromo,2025-03-24 10:53:00,"P_Feh, "
primary_d_application,mostly32-d395-4b0e-a19e-81025d124290,Science:KnowledgeDomain,Dm,Amharic,2024-10-05 00:56:00,", "
knowledge_type,mostlyc1-44eb-4b68-803f-627ed8333485,Science:KnowledgeDomain,.,Zulu,2024-06-03 21:24:00,discipline
0.,mostly42-deff-4ee7-a3ee-fea85ede404d,Science:KnowledgeDomain,science,Amharic,2024-06-14 00:53:00,knowledge_at
science,mostly96-208c-4edf-b5e7-7e51d8113280,Science:KnowledgeDomain,discipline,Swahili,2025-04-03 01:05:00,L andals to.07
,mostly62-ae72-4bf9-b249-0e279b35ccc5,Science:KnowledgeDomain,primary,Oromo,2024-01-06 20:01:00,topic_Fu 
 ,mostly23-2d69-424c-bc56-7e0e40364ab6,Science:KnowledgeDomain,knowledge_:} ,Hausa,2025-09-30 18:33:00,description 
symbolic_at: {,mostly54-b9df-4343-bf51-129c14821dbf,Science:KnowledgeDomain,: ,Yoruba,2024-05-08 14:51:00,1
M,mostly9d-ba6c-4533-a9b5-18834dfc4bbf,Science:KnowledgeDomain,E,Oromo,2024-12-26 07:45:00, 
discipline,mostlye3-33c9-49b7-8172-26a78bece4ea,Science:KnowledgeDomain,description,Yoruba,2025-04-05 04:14:00,description
: ,mostly14-e20d-414b-a49f-a15d7f455001,Science:KnowledgeDomain,symbolic_logic,Oromo,2024-06-12 04:10:00,"2025-0.8-02,-004.15,0.14202,0-0.4911,-0.323,T10-1."
: ,mostly3f-23dd-4845-a582-e0be0f54a7ef,Science:KnowledgeDomain,: ,Swahili,2024-09-07 19:24:00,",or_language"
problem_or_ed,mostly03-8fcc-4bff-91b8-4d56d9effd86,Science:KnowledgeDomain,computational,Shona,2024-04-29 01:03:00,: 
recorded_application,mostly78-1273-48ca-bb5a-00627a2353bd,Science:KnowledgeDomain,} ,Amharic,2024-06-17 03:10:00,N
real,mostlyce-2ee8-4a0e-abcf-4ab655c6da13,Science:KnowledgeDomain,If,Yoruba,2024-11-11 19:52:00,"B, _language"
A: ,mostly1f-48fe-4d54-abbe-294013aec960,Science:KnowledgeDomain,neural_or_type_type,Hausa,2025-02-04 01:10:00,symbolic_world_application
"2024-005,.7_,211T,-0.630,0.3,-0.23, ",mostlya1-1217-402d-b2c3-721258817b44,Science:KnowledgeDomain,topicat{,Amharic,2024-06-07 23:19:00,:00
0.,mostly26-794e-4139-b567-0c82a788a8cb,Science:KnowledgeDomain,", ",Amharic,2024-05-30 09:23:00,",-0.070811, "
} ,mostlye3-9959-41f1-835f-fcd715491cc9,Science:KnowledgeDomain,M and,Shona,2025-09-24 21:59:00,: 
: ,mostly52-5eef-45e8-850f-dd4ca69b92f0,Science:KnowledgeDomain,: ,Yoruba,2024-08-08 00:27:00,-.
primary_,mostly83-394a-40e3-98a3-796de96e9b30,Science:KnowledgeDomain,", ",Yoruba,2025-03-26 06:15:00,", -realworld2_language"
location,mostlyeb-4802-4eac-b497-956765132d2d,Science:KnowledgeDomain,recordedapplication,Amharic,2024-07-31 06:44:00,recorded__logic
S,mostlycc-3fce-4c50-800f-7cd5ab6f806f,Science:KnowledgeDomain,"PTp toa,",Oromo,2025-04-11 12:18:00,: 
findingsor.,mostly48-93f0-4e7e-8d71-e9b76f313c22,Science:KnowledgeDomain,knowledge_statement,Yoruba,2024-02-23 21:52:00,
problem,mostly27-fc6c-422f-a77e-df172699e366,Science:KnowledgeDomain,problem_: ,Amharic,2024-01-11 15:06:00,How
real__logic,mostly57-49f9-46ef-97bc-2c0d7f39b995,Science:KnowledgeDomain,"Neres,o and",Amharic,2024-03-28 19:15:00,: 
,mostly49-441f-45c2-806c-2ea9359a93c1,Science:KnowledgeDomain,"202404-,-1.73,--0.",Oromo,2024-04-09 21:17:00,methodology
: ,mostly94-ec86-405c-a0fe-f7415fc4049d,Science:KnowledgeDomain,methodology,Oromo,2025-05-12 12:54:00,recorded_world_at
science,mostlyd9-2fe6-4a73-9972-384c2e591e25,Science:KnowledgeDomain,"recorded_, ",Zulu,2025-06-24 04:24:00,"neuraln,-0.160.01655,0."
}}} ,mostly26-8dd4-4efb-b2cf-ce6c8f36db6a,Science:KnowledgeDomain,symbolic_at: ,Hausa,2024-03-17 12:46:00,recorded_r 
neural_embedding,mostlyd2-6fef-41b5-bdc6-d7ea45245780,Science:KnowledgeDomain,"primarye pg andhlsingf c d with witht andent, ",Shona,2024-05-06 22:21:00,primary_: 
"A_, ",mostlyd8-9642-4531-8184-6187ba7e1946,Science:KnowledgeDomain,knowledge_,Hausa,2024-10-08 07:41:00,Dl
real__or_ ,mostly43-145c-4ace-88d7-8fba45498f0d,Science:KnowledgeDomain,problem,Shona,2025-08-20 16:55:00,"P_logic aar,} andm totsh med-it,or in."
experimental to with_t y p c with p_typealr andent and to s_language{,mostlyf1-808d-41be-99c2-8716036bbd62,Science:KnowledgeDomain,K_at,Igbo,2025-09-25 19:08:00,: 
recorded,mostly54-0dab-4aa3-9265-dd141ac99c43,Science:KnowledgeDomain,", ",Zulu,2024-03-14 14:17:00,","
findings__or,mostly97-b921-459b-ab2b-ce2e7f0b70f2,Science:KnowledgeDomain,: {,Oromo,2024-12-31 09:11:00,discipline
", ",mostly63-2be8-4abd-9229-db9e2d7615f7,Science:KnowledgeDomain,Eing andal,Shona,2025-02-01 01:19:00,symbolic_: 
} ,mostly39-1ba5-4ead-b940-a29c830adec2,Science:KnowledgeDomain,.,Hausa,2025-07-12 11:19:00,applied
computational,mostly8d-2166-4cee-a7a6-4f9034df6844,Science:KnowledgeDomain,symbolic_language,Igbo,2024-04-03 06:28:00,In_application
00.593,mostlyb6-80cf-4bdf-8ec4-bb63105442e9,Science:KnowledgeDomain,Improves_embedding,Amharic,2024-04-27 20:31:00,methodology
sciencem,mostlyc6-db9b-4c38-98d6-891b0d433176,Science:KnowledgeDomain,N1inged.,Swahili,2024-12-08 00:27:00,computational
In,mostly21-29cc-4737-9562-57e8a5de2764,Science:KnowledgeDomain,"2025T103,-0.",Shona,2024-06-18 09:56:00,2024
", ",mostlyae-78f1-4bc9-81ee-3138525b32c5,Science:KnowledgeDomain,", ",Swahili,2024-02-25 04:39:00,", "
"C,",mostly2c-1bcd-48fc-af7e-1ce653c69a96,Science:KnowledgeDomain,symbolic_type,Amharic,2025-08-14 03:55:00,","
primary ,mostly2f-ff8b-4c23-a0a6-cc9b6b462056,Science:KnowledgeDomain,methodology,Hausa,2024-09-21 06:08:00,symbolic
primary ,mostlycd-dee0-4444-bcd0-4e688e2b1ac8,Science:KnowledgeDomain,: eean_ ands,Oromo,2024-09-05 16:29:00,}}.
neural_type,mostlyb3-f178-4122-ae39-9e9847d8cf59,Science:KnowledgeDomain, ,Oromo,2024-06-14 00:42:00,Shona {
}P,mostly69-af6d-4edb-abba-d5d803df623b,Science:KnowledgeDomain,primary_ in,Igbo,2024-06-10 22:36:00,", "
"A-2,-0.3118, ",mostly2b-821e-4408-9404-9c7143e97924,Science:KnowledgeDomain,How tor ,Shona,2025-02-28 11:27:00,{
science,mostly69-b76c-4731-8721-c586bf91314c,Science:KnowledgeDomain,},Hausa,2024-12-07 12:25:00,: {
M,mostlyef-8c66-44e8-ad33-d7cca6120a28,Science:KnowledgeDomain,: ,Yoruba,2024-08-14 16:59:00,"How with tos-p for, "
: ,mostlyf9-b2b3-4164-a1f8-2f4f6d3c6a60,Science:KnowledgeDomain,",",Amharic,2024-04-16 17:03:00,: 
P_ ,mostly32-20cd-40ba-89cb-c67a21f2bac8,Science:KnowledgeDomain,problem_language,Igbo,2024-04-15 14:28:00,topic
M,mostly76-786c-44f8-8bf5-4deba50c46a0,Science:KnowledgeDomain,: 3,Amharic,2024-05-04 16:21:00,C.
A_solution,mostly37-caa7-42f0-8f5a-0e90433ee5cf,Science:KnowledgeDomain, ,Igbo,2024-05-03 05:58:00,"} 0.0828,1_-1.93,02"
real_embedding,mostly38-5582-4dbf-9dbb-6c8b81558c98,Science:KnowledgeDomain,2025.,Hausa,2024-04-03 08:13:00,: 
"2024-,0.6,-0..",mostlyea-197e-47db-9785-eb0e071bc900,Science:KnowledgeDomain,: ,Amharic,2025-09-29 01:24:00,methodology
problem_solution,mostlye3-b0e2-4d44-a0fd-66d4bd74934c,Science:KnowledgeDomain,findings_logic,Zulu,2025-02-19 00:45:00,symbolic_at
engineering,mostlya1-5464-4713-96dc-eeb03298973b,Science:KnowledgeDomain,: ,Zulu,2024-02-03 19:47:00,primary_application
methodology,mostly33-bd8d-49a8-990a-df49c4d7289f,Science:KnowledgeDomain,"If,-0.5,0-0.0539, ",Yoruba,2025-09-26 12:59:00,neural_language
A {,mostly16-68cc-4ab7-8d6e-e6be0f4cac22,Science:KnowledgeDomain,"2024-0-cost0.2,0.88,0.-0166,.8-",Swahili,2024-11-02 21:48:00,",_0.14,,0.349"
", ",mostlyb3-51d4-4c91-8985-d634277704ea,Science:KnowledgeDomain,topic{,Yoruba,2025-01-22 02:28:00,", "
: ,mostly1c-93e3-459c-964e-5916ad24c530,Science:KnowledgeDomain,"How to dt_atable and inhicteringar, andesh, ",Igbo,2024-10-04 09:52:00,",0.9,0.6,.,0.702,6 {"
"findingsT,0.1221}}, ",mostlyc1-07a9-4845-9bf4-160e2ec24a33,Science:KnowledgeDomain,"experimental, ",Swahili,2025-03-26 08:30:00,: 
F,mostly70-c976-4b3c-9eb5-91e31fae6bc9,Science:KnowledgeDomain,knowledge,Amharic,2024-03-20 19:42:00,science
:-,mostlyc6-c51e-43d0-978a-94b276f59190,Science:KnowledgeDomain,: ,Amharic,2024-01-05 13:32:00,knowledge_language
methodology,mostly83-abad-4b5e-972e-ea65038cf12f,Science:KnowledgeDomain,A-ted:00ts,Igbo,2025-08-31 22:28:00,findings_or: 
", ",mostly48-5b5c-4543-9b89-2ee5374ff412,Science:KnowledgeDomain,real: ,Yoruba,2024-04-05 21:46:00,findings_or_or
T{,mostlyba-4174-4fc8-8c8c-ce638ce2d700,Science:KnowledgeDomain,knowledge_realy_at,Amharic,2024-12-20 16:25:00,Pings fr-
P ,mostlyec-787f-4f42-9a16-5534f40cfe63,Science:KnowledgeDomain,location,Shona,2024-04-30 16:28:00,methodology 
discipline,mostly1c-5180-4344-a88c-799946258c45,Science:KnowledgeDomain,topic,Swahili,2025-05-20 08:45:00,real_language
problem,mostly53-1b01-450a-b273-e3d55ff416fc,Science:KnowledgeDomain,problem_solution,Amharic,2024-05-28 10:28:00,topic
: ,mostlye6-bf9b-48ed-8206-e14ccc283c1a,Science:KnowledgeDomain,M% p and ofed,Oromo,2025-06-01 12:19:00,applied
science__s,mostly4e-41d5-488f-b1a6-8cd8001a6dd4,Science:KnowledgeDomain,topic,Swahili,2025-09-26 16:18:00,", "
B,mostlyda-34e4-4db0-a6ef-a65786862ffb,Science:KnowledgeDomain,real_world_world: ,Amharic,2024-04-21 11:15:00,discipline
", ",mostlyb9-4db6-4da7-ad20-238e69176bd6,Science:KnowledgeDomain,: ,Swahili,2024-06-13 08:28:00,discipline
", ",mostlyb4-57c0-4539-bfa5-1db5bc68126c,Science:KnowledgeDomain,"primary_, Kenya ",Yoruba,2025-01-05 14:50:00,F to: 
: ,mostlybc-4fd0-4975-9f53-81a5465a4ccb,Science:KnowledgeDomain,", ",Igbo,2024-01-14 15:25:00,S_world_worldeor 
2025,mostlyce-927e-4591-9fd1-f36bfb763dc9,Science:KnowledgeDomain, ,Amharic,2024-06-09 15:07:00,topic
real_world_solution,mostly9c-6041-4024-a708-3b572d17a506,Science:KnowledgeDomain,A,Shona,2025-04-21 23:41:00,methodology
In,mostly34-c99f-49a1-afc5-501f659f9ea4,Science:KnowledgeDomain,Aing: ,Amharic,2025-09-27 06:31:00,G: {
real_world_logic,mostly93-f5b8-4eed-9405-074535c6e64b,Science:KnowledgeDomain,},Zulu,2024-04-23 16:50:00,primary.
description,mostlye1-6030-452f-a436-73db611baa35,Science:KnowledgeDomain,problem_: ,Swahili,2025-04-23 01:46:00,"recorded-0.97,."
":, ",mostly40-893c-46b6-a18a-7f26d166f987,Science:KnowledgeDomain,:  and,Yoruba,2025-02-10 14:19:00,: 
discipline{,mostlyd6-992a-4654-9a08-b8f0a335a3e6,Science:KnowledgeDomain,", ",Yoruba,2025-05-10 22:01:00,2024
science,mostlyf9-af7f-4e2a-a1f6-d4dd6203736b,Science:KnowledgeDomain,Coming f d.,Swahili,2025-04-21 12:56:00,: 
real.,mostlye9-0ce8-41e1-b2b0-2736d687f2b0,Science:KnowledgeDomain,real_application,Igbo,2024-03-12 20:33:00,R
topic,mostlyec-daee-4126-b831-f964702a8114,Science:KnowledgeDomain,How {,Shona,2024-07-06 00:01:00,P
,mostlye3-d643-46c9-b074-8f7773a30f38,Science:KnowledgeDomain,discipline,Oromo,2024-04-30 13:55:00,: 
: ,mostly2b-ed5e-48e9-b9e2-3669ce34669f,Science:KnowledgeDomain,findingsor_oryy,Oromo,2024-07-17 00:46:00,}T andy s s
",-0.681,-0.6875, ",mostlydf-2e6e-4348-99bb-79c50ea6886a,Science:KnowledgeDomain,methodology,Igbo,2025-07-28 06:43:00,S
primary,mostlybc-0781-45da-ac50-e257fa5434a9,Science:KnowledgeDomain,Ds,Shona,2024-09-05 10:24:00,: 
discipline,mostly8c-1424-4f41-bef4-ec3af348eed4,Science:KnowledgeDomain,E andb- ,Yoruba,2025-02-28 09:42:00,"N.-18,0_logic04,-0.2470223"
real_at,mostly69-5d25-441b-a437-27e43bbac836,Science:KnowledgeDomain,"20241.8423,-0.0272,-0.804,-0..95,056,-0.3,-0-.256194-,.1.",Shona,2024-04-24 02:13:00,: 
2024,mostlya9-a3ce-49d1-b487-d5167b3fab9c,Science:KnowledgeDomain,findings{,Yoruba,2025-05-11 07:01:00,"0..7138,1.-0."
2025.,mostly06-af2d-4811-82ee-ddb22fe3fd9e,Science:KnowledgeDomain,neural,Igbo,2025-08-19 23:17:00,topic
problem ,mostly2f-b37c-4afd-b910-9bd1c4a17737,Science:KnowledgeDomain,symbolic_,Zulu,2025-03-21 14:53:00,Hows
engineeringp ,mostly79-8cce-4695-9ac0-f487d4a26d0f,Science:KnowledgeDomain,Pe,Yoruba,2025-05-11 12:43:00,"applied,-0.381855,-0..04,0.123,57,-T0400.87,0.62,-0.14707,-0.0023,-1.854,1."
B,mostly52-5406-45d7-a0b0-9104c7601129,Science:KnowledgeDomain,problem,Igbo,2025-08-10 21:29:00,: 
",-0.,0.0.968037,0.24,1.",mostlyb0-f132-41fb-974e-9b477bf60467,Science:KnowledgeDomain,recorded_at,Zulu,2024-09-28 08:35:00,"findings,0.9.4625"
knowledge_language,mostlyb9-5bd1-450d-8c90-a5b6164959d3,Science:KnowledgeDomain,2024 ,Swahili,2025-04-19 19:41:00,topic
C _language,mostly5d-8c16-4276-8867-814fa8b50f96,Science:KnowledgeDomain,-_:es,Oromo,2024-07-16 22:22:00,neural
description,mostly33-a0a1-46e0-be61-8e1647c6a81f,Science:KnowledgeDomain,applied_solution,Hausa,2025-03-28 12:28:00,", "
"2024.,0.",mostlyde-46dd-400f-a186-19f2eec88138,Science:KnowledgeDomain,symbolic_application,Yoruba,2024-08-27 13:12:00,",0: "
} ,mostlyd3-c3a3-429b-bdf4-70e503eba689,Science:KnowledgeDomain,: ,Hausa,2024-06-25 11:53:00,topic
Shona,mostlyf4-0396-4fb7-a24d-cd164df5301f,Science:KnowledgeDomain,,Shona,2025-06-11 22:09:00,",0."
"R.or,1.2,--.5,0.03,-10.229-8792,0.31404,-T1-1.8,-0.2-60.",mostly03-bacd-4533-b4f4-17c6fceabc37,Science:KnowledgeDomain,: ,Hausa,2024-03-09 06:30:00,knowledgeing_application
neural_at,mostly89-9666-4c85-94f4-edbc88f5f171,Science:KnowledgeDomain,In,Shona,2024-09-28 12:56:00,"C,{"
knowledge_oror_solution,mostly81-26dc-447f-98f4-90c92f045a89,Science:KnowledgeDomain,", ",Igbo,2025-03-15 22:18:00,If
problem_ser d.,mostly9a-0140-4725-8c6e-7b4c32552960,Science:KnowledgeDomain,:00,Shona,2024-08-20 23:45:00,description
primary_embedding,mostlyc1-afe6-4d39-9ac3-81590dc112f3,Science:KnowledgeDomain,knowledge_type,Yoruba,2025-07-29 13:31:00,knowledge
: ,mostly9a-fe35-4052-ba3d-6ac6591bd518,Science:KnowledgeDomain,: ,Yoruba,2024-09-15 16:50:00,symbolici:0.
}__language,mostlyf0-8603-482d-94a6-81554b0176f9,Science:KnowledgeDomain,"2025-04,-0..31322-0.07,1.",Shona,2024-02-07 08:28:00,primary_statement
findings_logic,mostlyb4-c858-4c8a-aa80-88aec693319d,Science:KnowledgeDomain,"0 and,0.0405,1.7,0.25",Oromo,2024-11-23 20:44:00,problem_: 
topic,mostlyed-01d3-4874-b2fc-582ff72fb350,Science:KnowledgeDomain,Ae_or,Oromo,2025-03-25 02:10:00,Pationotor and aed;ina sar.
:00,mostly2b-40d8-4849-9bdf-abb2e2d6c126,Science:KnowledgeDomain,,Igbo,2024-07-03 03:49:00,realknowledge
}: {,mostly23-a1ee-4eb9-bca3-3563fd990483,Science:KnowledgeDomain,"K, recorded-06-0.323,, ",Yoruba,2025-03-19 16:50:00,engineering 
D f-_language,mostly9f-ce6d-4cf6-a705-9f718501bb63,Science:KnowledgeDomain,If,Oromo,2025-02-26 14:52:00,", "
description:: ,mostlya6-f2c4-4091-ad2a-6ce43f01ae90,Science:KnowledgeDomain,discipline,Igbo,2024-03-19 08:42:00,}_} 2
} ,mostly6f-e2ac-459e-8ad2-78c0fb6385a1,Science:KnowledgeDomain,location ,Amharic,2025-07-12 06:39:00,"FT,"
real ,mostly6e-d3dc-43a4-a6a6-a1237c0cd466,Science:KnowledgeDomain,"Ct-0.9,0.",Igbo,2024-01-30 08:02:00,"knowledge_,: "
"K,00",mostlydd-e275-443b-897d-54523a45d5d2,Science:KnowledgeDomain,methodology,Oromo,2025-09-30 18:33:00,topic
R-1.,mostlyb4-bc34-4142-bea6-e2edb0f5fc0d,Science:KnowledgeDomain,", ",Yoruba,2024-11-25 01:54:00,
primary_language,mostly82-35d9-45fb-b705-d8a45c8ae284,Science:KnowledgeDomain,science,Yoruba,2025-05-03 15:41:00,"0.553,0.4,-0.06,-0.."
",_",mostly21-5543-4fe4-9de1-a4052eba78a4,Science:KnowledgeDomain,2024,Zulu,2025-09-25 14:51:00,G_or_solution
", ",mostly10-ccfd-4848-9e4c-e6bb6e270ff5,Science:KnowledgeDomain,B,Swahili,2024-11-20 12:44:00,: 
: ,mostlyac-b0cd-4e7d-af5f-7cf2906d5176,Science:KnowledgeDomain,real,Zulu,2025-06-16 01:47:00,", "
applied,mostlya4-42c0-4efd-a0cc-5f30e7b26b91,Science:KnowledgeDomain,knowledgear_language,Zulu,2025-08-26 12:31:00,2024
"computer,-1.4,1.",mostly67-f693-45ad-8549-2d16df6529d8,Science:KnowledgeDomain,real: ,Shona,2024-02-13 14:32:00,", "
primary_language,mostlyf9-95cc-4f82-b6d9-a541641793f1,Science:KnowledgeDomain,"D.or, ",Yoruba,2024-12-01 16:35:00,How to p =_d paar 
computational,mostlya4-9cd9-4ac5-b672-0c13132d48db,Science:KnowledgeDomain,} ,Oromo,2024-10-28 22:41:00,", "
"D, ",mostly44-decd-427f-90c9-8fa8143924a1,Science:KnowledgeDomain,:,Yoruba,2025-09-30 18:33:00,", {"
S,mostly23-2ec5-488c-acaf-0d2dc039de69,Science:KnowledgeDomain,: al.,Zulu,2024-02-27 21:05:00,"E.05,03-00.62:8,10.8,0."
In,mostly2c-f5c5-4cf2-b871-5c258b2b39b2,Science:KnowledgeDomain,K_embedding.,Igbo,2025-01-12 13:03:00,real {
,mostlye7-89ae-4632-b59d-6946d29e8fa9,Science:KnowledgeDomain,findings_solution,Igbo,2025-01-25 21:38:00,"Par m_,ation"
: ,mostlyb9-dc8b-4cd6-b778-99b86c0a4622,Science:KnowledgeDomain,neural_g_embedding,Oromo,2024-07-16 13:48:00,symbolic
