id,scenario_domain,primary_language,setting,description,challenge_faced,solution_applied,resources_used,outcome,location,symbolic_logic,transferable_insight,neural_embedding,recorded_at
mostlybd-dc84-4da9-80b7-bfbcd02a5e44,environment,Shona,coastal,", ",resources_embedding,Mi ,", -07,0.19613,0.05,-1.1, ",transferable_embedding,}{,location,coastal_life,,2024-02-10 19:47:00
mostlyd7-045b-4fba-ade7-e0d533e1ba7e,logistics,Zulu,inland,resourceslanguage,Bkuka,scenario_at,S,education,,realat_life,If na ma na ya_applied,"2024-T:1-05-437.030.375,-81,0 126T4-",2024-08-01 15:40:00
mostlye6-bb26-426d-a3b7-a50119e2876e,environment,Oromo,rural,2025,If,: ,reallocation wa na,description,challenge ,: ,", ",}_insight,2024-06-04 17:08:00
mostly32-6666-4d30-9a20-71fea99c613d,environment,Shona,urban,", ",real_language,", ",environmentwa_used,,description,scenario_T,", ",: ,2025-01-10 01:11:00
mostly1b-2955-43b6-b83b-811e03a9abc2,healthcare,Hausa,coastal,recorded_insight,transferable_life,Ki kuui waseri nazi kudai wa kwai,Mio,: ,setting,: ,Ikiwaanzi ma-zis.,,2024-03-19 20:44:00
mostly5b-9a03-4590-bb89-b062ea3b8b6e,environment,Shona,urban,"If,-T,0,0.1,-08.",2024_embedding,scenario_life,"location, ",solutioni naT na.,primary_faced wa,resources_used,"outcomeekg,- Nigeriai u na yaba wa zario ya",", ",2025-09-19 22:16:00
mostlyc3-0dfa-40d6-9d35-a5b3fa139c66,finance,Shona,coastal,resources_logic,"neural a waT0., ",coastal,resources,rural,I na ku muzi wa ku wa maraad ,B_at,",1.49,0.6.6,-01.",: ,2024-08-21 16:17:00
mostlyb3-b8b7-4211-8dcc-143b8b8883a8,agriculture,Shona,peri_urban,real_language,finance_,urban,resources_used,", ",outcomefaced,primary__ ,M: ,A ,2025-09-04 11:31:00
mostly39-6977-4110-8f6c-f717b95caf30,education,Amharic,inland,transferable_insight,primary,location,Wa_ ,_faced,2024_ waapplied,real_languagedomain,:00,2025,2024-06-10 03:52:00
mostly39-3500-4d22-84da-95585ae0fcc3,healthcare,Yoruba,rural,outcome,"2024-0.57--0.,1.8-09, ",", ","Ku01.026,,-1.",: ,,: ,", ",primary},2024-09-28 15:05:00
mostly35-7a44-44a4-a028-270b5e4cebb6,education,Oromo,coastal,"If2-0.2624,0.280.26,-0.533761.,0.7.124}, Ethiopia027,0.34-12.",primary_logic,"}, ",finance,Ki wa kwartsi i {ku ku ,_language: ,scenario_at,}If ,"Igbo-0.,",2024-02-25 19:08:00
mostly91-6cd0-4457-b59e-042192d581c1,agriculture,Zulu,urban,scenario_domain,symbolic,outcomedomain,:00,neural_poji: ,transferable_used,U {,", {",scenario_domain,2025-04-24 00:09:00
mostlyea-b046-404b-a8e3-7a596f72a855,entrepreneurship,Igbo,coastal,"Batama,ii ku- na0.",outcome,2025,", ",: ,"2025-1,11, ",", ","U wa za u wataao, then ar kui na waa m ya ma.",-i.,2024-07-12 21:14:00
mostlyad-13d5-4bac-94cf-08966475c62c,transportation,Zulu,urban,", ","--080905-18T35:,00_ ",,outcome,", ",B1a ,: ,: {,,2024-08-07 13:11:00
mostly0c-1f9e-4f6d-9a3c-6511ccad6ee8,education,Shona,peri_urban,description,,", ",transferable_used,outcome,resources_i,_used,outcome_used,transferable_used,2024-12-07 11:07:00
mostlyb3-8038-4d1f-897f-b0a6b245e4ed,healthcare,Amharic,peri_urban,2025 ,real_domain,neural_applied,urban_logic,transferable_domain,So.,primary_domain,real,U ,2024-06-22 08:35:00
mostly62-8426-4c44-aa44-f1b1d78513bb,education,Yoruba,rural,: ,scenario_logic,:1 ,scenario_life,Mi,resources_logic,U_domain,Munkaa uta nk ya e natazia wa na- ya wa wa m.,"Ap wa ya yaki ya wa wa m wa- wata wa ya, kwa m wa ya kie m wa yala",2024-11-13 11:14:00
mostly07-0bb6-4fa2-a40b-6db7efa8b56a,environment,Shona,urban,primary_life,: ,setting,",0.3,9,-0.18,-0.95,09 ",outcomesdaeka naines kwa wa wa ya.,neural,"solution, ",scenariochallenge_logictali,challenge_ ,2025-09-26 02:57:00
mostly15-ce60-4254-818c-6ba8392df884,finance,Zulu,urban,"healthcaredescription, ",", ",: logic,real_ ,},setting,"0,-12 ",primaryreal,"M, ku thenrainar narakio u walata zat kwati ",2025-02-18 04:42:00
mostly18-9095-402c-9f96-256713b33ee7,logistics,Igbo,coastal,B_scenario,A-,"Miemaenin, r",challenge_facedat,", ",urban ,scenariodomain_language,: {,M_used ,2024-02-17 12:57:00
mostly1e-b3d4-4b17-9e8e-1503c5e2c5e9,education,Zulu,urban,urban,U,: ,Igbo,: ,: ,},scenario_faced}o:.,resources_faced,2025-02-11 18:57:00
mostlyeb-2fa5-4027-8b86-f61bb61bd878,education,Yoruba,inland,scenario_logic,: {,", _",recorded_logic,outcome,rural,Ifurban,solutiondescription,: ,2025-02-12 19:31:00
mostlya0-3852-46c4-8344-7830355707f4,logistics,Shona,coastal,: ,", ","0.1.8,,--1. -0--99070.737",_faced,",_logic",,If,"S, ",_{,2025-09-26 02:57:00
mostlyce-60da-4334-993a-4291f4b10804,entrepreneurship,Hausa,rural,}n}: {,: ,", ",_location,primary_at0,recorded_faced,real_life,_appliedtaziba nawala katika.,setting,2025-01-04 23:13:00
mostly78-df45-4a49-a170-138f2d7dc217,healthcare,Amharic,urban,}} ,resources_used,scenario__used,outcome,"M kwa,--05.14.","-0.2,0.T1,-0.36.,-1.179-9-0.1719T114-19",2025primary,M_applied,"primary_, ",2024-04-04 10:27:00
mostly7b-a9af-40cd-9f20-684eb8896eff,entrepreneurship,Shona,coastal,solution1.,", ",A,description,Ikiwa,: ,transferablee,If_applied.,setting,2024-12-02 01:37:00
mostly44-65a9-495b-80d9-0d94b0ef7da1,education,Zulu,rural,"2024-071.1,,- ", ,",",M,transferable_domain,neural_atat,solution_ wa,: ,solution_{,2025-09-18 13:26:00
mostly9c-533b-42e2-832c-ab4515929ae7,education,Shona,urban,outcome,real,Ma,"If-20.059,0..7-8,0,11.03},0.76199","0s-2412,. ",", ","M_ ya naita ya kii.ba m, na ma ku mr wa na yata kwao miku kwa miet., ",,"U vya, vifaa, na u ya biashara_",2025-09-09 19:03:00
mostly11-42be-44df-b3bb-c11b15d2fdbc,environment,Igbo,peri_urban,real_at,neural,B,A,scenario_location,neural_-,Ki_logic,: ,M,2024-03-25 04:52:00
mostly10-66b2-433f-a6b0-07f89e4b7b1a,healthcare,Igbo,peri_urban,outcome,If ,setting,}} ,-_used,: ,setting,description,scenario,2024-05-16 11:58:00
mostly00-09c4-4e9a-978f-afd18ea03022,agriculture,Zulu,inland,", ",symbolicdomain,Kun.,} {,: ,", ",,outcome,setting,2024-03-30 23:11:00
mostly72-9574-4d6c-8f2a-44ba54a125a5,education,Amharic,coastal,solution_domain,"primaryprimary na-}, gi","Ifka wa,0a na ya ku-ri yaa waki wa muda na kwali ya kwarijita u, uo kuan nakaki wali katikaaa",S_embedding,2025,primary_at,: ,2024T-08 ya,: ,2024-06-03 08:31:00
mostly50-846f-4621-9f1d-44c2de95b3d5,healthcare,Yoruba,urban,Ki_a ,,", ","Ki, ",location: ,"K,00", ,setting,description,2024-07-17 02:43:00
mostlyd6-e93f-4e03-b363-d6ee9550479a,logistics,Shona,peri_urban,"If-0.7481, 4",Ui ku,scenario_,Ukosefu_domain_: ,Ki_domain,primary_embedding,M_faced,challenge_logic,: ,2024-07-13 12:49:00
mostly99-8321-4969-a9dc-fa7ce1b2d721,environment,Shona,coastal,: ,scenario_applied:,U,symbolic_domain,: ,"Nun, basiika wa yalitai zadawa,1 ya u u ki a kwa- n wa na ya na ukosefurans i m","urban, South",If}1 {,", ",2024-07-07 19:30:00
mostly91-2ab0-440f-a0a8-d8c28e79f3cd,finance,Igbo,urban,resourceschallenge,"If, ","resources_used, a",description,primary_insight,outcome,"S-0090.7-02,1T23:1,10:00,0_.07 wa1903, ",location,solutiondomain,2024-07-12 04:38:00
mostlyd3-ed9f-4fbc-9dec-7dcfb38999d8,entrepreneurship,Shona,urban,_embedding,: , ,setting,outcome{,K,M,_,", ",2024-12-05 00:16:00
mostly20-195b-448f-a30d-6db93d0864fc,agriculture,Igbo,rural,recorded_domain,solution_applied_logic,", ",location,challenge_logic,"Ukosefu wakuhiba, ",Ku: {,solution_embedding,challenge_embedding,2025-02-22 17:49:00
mostlyab-fe89-4cee-ae0f-3f073fdb36ff,environment,Igbo,rural,Min,-01 ,",",location,coastal_life,: ,: ,recorded_0.,",",2024-07-19 21:37:00
mostlybe-086f-486c-b33f-a20786383e1f,logistics,Swahili,inland,", {","--8T837,1079,,.",2024--07T.2:00,transferable_life,symbolic_used,real_used,educationwa,resources_,Ukosefu_used,2025-09-18 23:57:00
mostly9e-ddfe-433b-8211-7a748a846573,finance,Amharic,urban,"2024location}, .",recorded_,Ku ,urban,transferable0 za: ,U,"Wa-1,10.413,.60.286-0.4, ","urbanlogic, ",",0.3-07T,-0.18020.24,0.8,27-0 wa12-0.125,--1.001",2024-02-19 05:13:00
mostly3c-9837-4263-9f87-896e350b8029,environment,Hausa,urban, ,", basi_logic",solutionembedding,coastal,symbolic_at,"resources_applied, ",: ,"}-0..,1,0.1,1.,-0.",environmentdescription,2025-06-28 18:38:00
mostly8e-a6ec-4f00-be9c-9aa7101f56a1,entrepreneurship,Shona,urban,Mi: ,,2024_applied,primary,A,", ",scenariolanguage mat,description,primary_domain,2025-09-06 19:16:00
mostlyc8-d307-4375-a9a6-d1af141600b4,environment,Zulu,urban,-030.,K,outcome, ,challenge_,"transferable_-0.370724,, ",neural._logic,setting,If,2025-02-24 06:41:00
mostlyc2-9098-4baf-aefe-8b1630340f60,entrepreneurship,Shona,peri_urban,}  ya,location,coastal: ya,"Ku-03,-1.0443,..9,-0.516413,0.9.7,-0.0323,0..458.0626,-, ",solution,:00,"neural, {",Ifp {,,2024-04-02 05:57:00
mostly99-aa61-46a3-b798-a171ef6d376f,education,Amharic,urban,description,:,scenario ,I wa ka,recorded_,B m,Uo_ ma,neural_applied,U wair kuooli ,2025-04-04 17:52:00
mostly1a-91b2-416d-99c8-3609da01c656,agriculture,Shona,urban,primary_faced,_faced,A,Murbanple,recorded: ,", ",symbolic_domain,outcome,: ,2024-01-17 17:14:00
mostlyb5-ba00-4b69-b698-36bbc63518f3,education,Hausa,urban,environment,resources_embedding,urban_faced,solution_domain,Ikiwa_,neurallife,location,: ,real,2024-09-05 01:26:00
mostly1a-7990-4312-a8d7-5cc62195db61,logistics,Igbo,peri_urban,primary,Do,", ","neural,is na.le",", ",Ku_domain,}: ,_applied,transferable_insight,2025-01-19 19:16:00
mostlyd3-66c7-429b-954a-988853461941,entrepreneurship,Igbo,coastal,Ikiwa,: Ethiopia ,setting,"If--0.383.-1406,0.2300T",solution_atembedding,", ",: ,"recorded ya-1,0.9,-1.03.10.06.30., na144,,0.1.,-0.",primary_at-2,2025-01-10 04:22:00
mostly39-14b1-4a38-bd10-734d40333911,logistics,Yoruba,urban,symbolic_at,: ,: ,}.,description,symbolic, ,coastal ,urban,2025-03-04 11:07:00
mostlyc1-c65f-4681-95f3-a7a6e8efdb86,education,Igbo,coastal,primary_life,0.,", ",: ,transferable_insight,primarydomain,"U a na,-0.915,1.23",: ,",-0.",2025-09-26 02:57:00
mostly34-d54a-44a6-9900-8b95a308a9ce,healthcare,Oromo,coastal,Ae.,,,,symbolic_,challenge {,Mdomain,If_la,":-100712.04,06",2024-06-21 04:53:00
mostly04-5473-46e7-b1c4-e34d58dec517,logistics,Igbo,urban,transferable: ,", ",U{,2025,scenario_insight,description,resources_logic,"resources.,-0.4,-0.53050.",urban,2024-08-18 06:51:00
mostlyff-26fc-401d-998c-7c96ad860ddf,agriculture,Zulu,urban,: ,"neural_applied, ",Ukosefu_domain,-2.,},location,resources {,: ,A,2025-06-08 11:54:00
mostly6a-8c2f-4ae6-a91e-3f9c482d2e5b,environment,Amharic,coastal,neural_at,Zulu,,} {,symbolic_insight,2025,real--1-.,resources: ,Ku_faced,2025-05-15 14:06:00
mostly79-cd51-4223-a2f1-f4d61f75c3db,education,Zulu,coastal,scenario_used{,challenge_language,"2024-0.1200.9,1,..349,-0.37.,-0.2T1196,00.,00. ,-.",,U{-ku wa muda wa:,real_at,,"neural, Nigeria",: ,2025-07-07 06:45:00
mostly8f-35e7-4dcd-a3e4-3ab753f0f35a,agriculture,Yoruba,rural,symbolic_,settingi,resourcesdescription,solution ,setting,setting,U,settingr,real_: ,2024-09-28 02:16:00
mostlyec-6584-4fc1-98b3-319a7c0266af,healthcare,Amharic,rural,symbolic_logic,primary_insight,setting,U,_applied,resources_logic,20250.241.,neural_logic,transferable_at,2025-06-04 16:30:00
mostly47-f6a1-4e00-8f7f-0364ee86c739,transportation,Zulu,urban,healthcare,Ku.,real,transferable_language,real-.,U,U,outcome,: ,2024-07-14 20:28:00
mostly28-ddd6-4eae-95de-1233da76814e,entrepreneurship,Yoruba,coastal,outcome_logic,"Ifp wamitkizi yaa vya wa na ku mi nata,stsi wa m-0.",", ",neural_used,_language,"},2 ",recorded_language,primary: ,: ,2025-01-26 04:14:00
mostly48-0f1c-4611-a4d3-34cdc491246d,environment,Oromo,coastal,healthcare,: ,"If , then",transferable_{,resources,U,solution__embedding,}challenge,outcome,2025-09-26 02:57:00
mostly57-79c1-4b43-9e51-f3587ce1ba9b,healthcare,Zulu,urban,resources_applied,primary_,setting,neural_faced: ,setting,", ",: ,: ,"education--09-0.,0.06,1.08.3,0,-1.070.51902,-.500,0.38,,01.080.082, ",2024-07-19 19:19:00
mostly00-d397-4c10-868d-f3a18e368f16,finance,Oromo,urban,symbolic_domain,"Mi, ",", ",Igbo,,description,outcome,", ",Igbo,2025-07-18 16:02:00
mostly7f-a57e-4a67-b8a9-0ae8f9f55451,transportation,Hausa,urban,"_insight, ",: ,"transferable,i,0.6-07 ya1281,0.1906,-1.02-18 4",If,outcome,", ",: ,rural,education,2024-07-04 14:19:00
mostly86-bb50-4d57-b23e-01ec2623c64d,healthcare,Yoruba,inland,recorded_language,", ",: ,,", ",location,recorded,location,: ,2025-08-06 16:43:00
mostly08-e256-4592-993a-516697995f16,environment,Igbo,urban,primary_:i,", ",B_ur,} ,description,description,ruralkuoum za na ya waki katikar nas na waku ya maan: {da,}{,transferable_at,2024-08-06 04:59:00
mostly5e-eeaf-4db6-bb53-c8697caefd10,finance,Shona,peri_urban,symbolic_faced,", ",A,urban,resources_,transferable_domain,If_faced,: ,,2024-07-14 14:31:00
mostlyc2-82cd-4f18-a4eb-46d15cc76b8e,entrepreneurship,Amharic,urban,outcome,_life,neural_,"-05T068,-0.4,0.24:04,0.,.9-0.16",symbolic,challenge_at,", ",healthcare,: {,2025-02-14 18:59:00
mostly36-f1fe-4454-91e9-df6808f6747a,environment,Shona,urban,-18204,_logic,location,: ,,: logic,"realusedT: na0.6,,3 ","0.070312580.602067, ",S,2024-02-11 11:14:00
mostly88-c542-4ec4-a976-ecbd11108114,environment,Shona,coastal,primary_embedding,solution_language,resources_p,A_applied,"2025 m--0.619,11.",If_embedding,,:,,2024-02-15 15:57:00
mostlye3-2550-46ff-a504-abff0d49d236,entrepreneurship,Amharic,coastal,"M, ",}life,description,I,}usedi,location,: {,"-0.18536.94.119,1,8 na0.796,4 na,-0.060.3.247,0.5300,00-229010.54126,0 ",educationlogic,2025-09-15 00:11:00
mostlyc5-0ff9-4418-a350-1a7bcdd489a1,healthcare,Yoruba,rural,Murban,challenge_life,: ,"2025Tku,0.6195",},"::-03,-0.0630.3037,-56.34,-..26,0.5,-0.34.498,0.16.1.8,0.2674,0,-028-.04, ",: ,challenge_applied,challenge_logic,2025-04-06 02:29:00
mostlyb1-7d0e-4e5e-a292-d41f52b185dd,agriculture,Amharic,urban,primary_domain,solution_life,primary_applied,setting,: {,Ikiwama-la waku n waba.,Si wa wa ya yasha ku yata na na kutida wa ya wa na ya wa wa.,", ",", ",2024-12-07 15:31:00
mostlyea-f404-4516-844d-1bb486ff80df,healthcare,Hausa,coastal,A,"S-0.61,3 ",M.,resources_language,setting,recorded_embedding,transferable_embedding,description,2024-.,2025-07-05 15:51:00
mostly11-a88c-458b-a3ad-c8aa81b05499,healthcare,Oromo,rural,solution,: ,description,transferable_insight,"primarylife, ",,"20242,017ili.",: ,,2024-12-28 18:44:00
mostly3e-0ca3-41c2-a185-a246017adb99,education,Yoruba,urban,symbolic_faced,scenario_applied,transferable_used,location ,B_applied{ ,location ,setting,description,: ,2025-07-10 02:30:00
mostly67-13a9-4bc6-9177-73b7a940329f,logistics,Zulu,coastal,Ukosefuu ,finance,"---01.,08.8,-11140.,-1.19537,84}1,--.-23,-04.",transferable_at,"Iat,1.04,",UIf {,2024primary06T,,"2025-,1.4081: na02,-.00,,0..,-1.7,",2025-03-29 19:08:00
mostly20-f7b2-4551-b14b-bf5f1a17095f,logistics,Shona,rural,"scenario:2.0.5151,0.84,-0.-04702,0.27,-0.3,--44-2.4,160.37304823, wa,0127 ya",solution_faced_used,: ,", ",If_at,", ",challenge_ vya,"M,-0.6518,0.025850,-0..8,-0.3727:53,-121.08,","Kuara na ma,s m. ku waza na0 {",2024-08-10 00:59:00
mostlyb3-ec86-4a40-bb65-5b9610114b6d,education,Zulu,peri_urban,transferable__languagep,U_at_faced,scenario_used,symbolic_,Uo,setting,: ,location, ,2025-01-18 10:27:00
mostly85-5cac-4ab4-bb06-11bcd0733b55,entrepreneurship,Zulu,coastal,Iferiwain wapt,setting,", ",resources_,transferable_faced,", ",: ,neural_embedding,description,2025-08-28 02:44:00
mostly36-5c70-484b-a129-83f1314c9f3b,education,Shona,urban,,recorded,transferable_embeddinglanguage,If ,",06, ",symbolic_life,Zulu,location,outcome,2025-09-26 02:57:00
mostly93-8b98-452a-be27-547cd25527b8,transportation,Amharic,peri_urban,"transferableau_og yar kwa, a, ",healthcare,"scenariolia_useds yai kusa m kwaeiswei wapmabar ya wa m wa,. u",setting,outcome,"challengeurban za u,e",If-01T.,: ,outcome,2025-07-02 02:49:00
mostlycd-3882-470e-938b-17e009975311,entrepreneurship,Igbo,rural,,,2025,scenarioi na-0.,"2025, ",",-00.",transferable_used,outcome,real__used,2024-12-25 19:41:00
mostly73-7c6e-4152-a00f-16e106716227,finance,Shona,coastal,", ",symbolicat,Ss,primary_: ,,recorded: ,: ,outcome,"recorded, ",2025-03-16 15:35:00
mostly80-d302-42b6-b0bd-eba792f42088,logistics,Amharic,peri_urban,If_used,: ,", {",coastal,0.,A_,I,urbanen,Ku,2025-07-21 15:54:00
mostly94-151f-45e2-8b91-dbff53f15bf9,agriculture,Hausa,rural,2024If naTaara.,scenario_language,primary_i,2025-01: gi_ ya,"solution:-1.30.4626,1.1,8.",_language},: ,scenario_logic,"B0.1415,T:.36126,-1.",2024-08-27 11:37:00
mostlya1-ac81-4486-b345-c6dd0b55667f,environment,Amharic,urban,U,setting,location{,"}applied, um wa wa ku kira na ma ma ya nmabam, ika ya- naT-.24 na",Ikiwa,coastal_applied{,neural_used,Ma,M ,2025-01-01 07:40:00
mostly61-20ed-48ab-bc30-e1cf8c489470,environment,Zulu,coastal,},primary: na{,location,description,urban{,resources_logic{,", ",,resources_,2024-12-06 17:18:00
mostly17-e236-4fb7-bf9e-59dde45281b4,transportation,Shona,peri_urban,solution_language_language,"B1ta,t,,-1 mi.,-05-0.079,---..26-01,0.6},-0..4,,-10219, ",}_ ,"K, ",urban,A_lifedomain,setting,scenario_used,: {,2025-09-26 02:57:00
mostly76-6e7f-4f41-89ee-0812adf9ebfb,environment,Shona,coastal,2025,Uscenariodomain,setting,", ",primary: ,primary_domain,environment,A,_faced,2024-04-29 01:16:00
mostly2a-0aea-4f5d-a135-94f7f4bfd98a,logistics,Yoruba,coastal,Ikiwa,recorded_embedding,description,challenge_life,: ,: ,Iflifee,,Ku ,2024-03-02 18:47:00
mostlye7-6ac8-44e7-9552-87a261ab82c9,education,Hausa,peri_urban,resourcesrecorded_applied,"}}awa u na wa kua i mano, ku wa n na kiti i ya, wakus kulata yamwa_","} wa ku,--18.,-1.070...",Ku_embedding,Ika o a,,Ukosefus,,U_domain,2024-02-14 17:30:00
mostly20-19a3-44f9-b5df-b163ae3d8e7d,logistics,Oromo,coastal,,recorded_at,rural-07,setting,"2025, {",: ,urban,outcome,A.,2025-08-16 10:37:00
mostlycc-9f62-4069-ae4d-2482063ed9be,healthcare,Igbo,urban,,outcome,U,primary__domain,recorded_at,outcome,outcome,Slanguage,recorded_faced,2025-01-06 17:19:00
mostlyd7-02d5-4bd7-8b19-1e8131445402,finance,Yoruba,rural,scenario,real_used,", {",setting,I,", ",description,"Uliianta wa muda na, na n.",: ,2025-03-17 20:00:00
mostly6e-6a91-4723-923d-7447ceec1d1f,environment,Zulu,coastal,S,,recorded_at,urban kwa,transferable_life,scenario_domain,setting, ,real_at,2025-07-07 04:26:00
mostly04-515f-43bf-9f51-d2732ec04cc2,education,Zulu,peri_urban,setting,},", i",A_applied,symbolic_used,: ,rural,setting,,2025-07-17 15:04:00
mostly84-659c-4fbf-a3f9-4189aff6ad7c,healthcare,Oromo,rural,: ,real,scenario_logic,outcome,: ,B_used,"}}:--0.1200,1.5-17,0.29,0.,0.0.950.081",outcome,location,2025-02-26 06:51:00
mostly1e-decf-4a0f-8429-e2e819d6d961,entrepreneurship,Shona,coastal,neurallogic,},", ",_logic,: ,scenario ,neural_n,challenge__life,description,2025-02-04 23:58:00
mostlyc3-20a1-4366-867a-0d806dcee144,environment,Swahili,coastal,: ,outcome,"transferable wa,- ku wa wa",primary_faced,finance_embedding,setting,U_language,outcomea,description,2025-03-06 16:26:00
mostly60-0bad-4598-bbaa-aaf14597da65,finance,Hausa,rural,coastali yatan {,", ",: ,location,"symbolic, {",scenario_embedding,solution_domain,", ",If,2025-04-08 10:58:00
mostly4d-07c7-4b47-bf76-652c366d00aa,agriculture,Zulu,peri_urban,: ,"Ma na,",primary__life,neural_language,outcome,: ,", ",primary_logic,challenge_logic,2025-07-15 04:53:00
mostly48-5cf8-4be6-8f85-2b4b148fb42d,environment,Oromo,coastal,Kka.,description,scenario_urban{,"}life, ",: ,: ,scenario_language,", ",neural_faced,2025-09-26 02:57:00
mostlyb7-e159-487e-b45b-6fe0a2104418,environment,Yoruba,peri_urban,neural_at,Igbo,description,,resources_: ,,location,urban_{,primary_faced,2024-04-29 12:07:00
mostlyab-77d5-43b2-a4fb-e68c2c10aa90,healthcare,Igbo,coastal,solution_at,primary_insight,I,: ,real_insight,description,: ,", ",descriptionr,2024-06-21 06:33:00
mostlyd6-59d8-4353-bf59-5cad07e8534e,entrepreneurship,Zulu,urban,I_life,,"primaryi, na wa: ",solution_{faced,N,"Ukuwas ya zaka m,,i na iku wazi wa mli na wa us m","-1.36270.9.5,.6-58183-040.,---0.0,-0.88,-1.,221",realscenario_logic,K.,2025-02-19 11:28:00
