id,subject,subject_type,predicate,object,object_type,context,primary_language,relationship_strength,temporal_aspect,symbolic_representation,neural_embedding,recorded_at
mostlya5-163e-40a4-a9b8-c30f3b409e2e,neuralembedding,person,S,"} African oatraes{ica e, ",concept,,Zulu,strong,historical,", ",predicate,2025-06-22 23:00:00
mostlyd9-13d8-4327-be6e-6740025ecf08,place,concept,S,temporal_at,concept,neuralan,Zulu,moderate,historical,Mouras,-}040.25382.01,2024-03-05 05:13:00
mostly39-7ff7-4238-b54b-c5dc64bdf5ef,recorded_graph,concept,2025,knowledge,concept,person,Swahili,strong,historical,2025 ,recordedystrength,2025-01-20 01:04:00
mostly8f-4b2d-4daf-8ced-e0ed942b8169,: ,place,symbolic_:,"subject and-01or, ",concept,}_graph,Shona,moderate,historical,: ,object,2024-03-01 00:06:00
mostly26-0a3a-4062-a193-5ece7cd2a4f8,neural_at,place,} ,subject ,concept,2025or,Amharic,strong,timeless,", ",temporaln,2024-07-25 20:34:00
mostlyc0-a31d-48a5-ac9d-ec71c1731189,knowledge_graph,person,symbolic {,} ,cultural_element,moderate ,Yoruba,weak,historical,P-ra,knowledge,2024-10-25 21:52:00
mostly4c-4894-4320-802c-7539710996bd,relationship ,concept,: , ,concept,_at,Shona,moderate,historical,strong,symbolic,2024-12-12 23:47:00
mostly33-c6d4-4f15-a864-f653555465b3,historical,place,predicate,moderate,event,knowledge_embedding,Swahili,moderate,historical,subject,predicate,2024-01-04 19:13:00
mostlyd9-891a-481b-8ec6-59ead412d196,relationship,person,predicate,Zulu,concept,knowledge_type,Yoruba,strong,timeless,subject,Amharic,2024-01-30 05:45:00
mostlyde-54ec-44ef-94b1-8fb0ac52ab5b,primary_type,organization,historicaluk,", ",concept,: s,Yoruba,moderate,historical,historical,subject,2025-03-30 18:47:00
mostly15-2aea-4480-b054-7f1d0f7ed366,relationship,concept,: {,historical,concept,Amharic,Zulu,strong,historical,cultural,knowledge,2025-09-29 17:32:00
mostlyb8-08f9-4093-9822-44d1e5b6c4a8, ,person,", ",South,cultural_element,T,Shona,moderate,historical, ,: ,2024-09-08 02:31:00
mostly06-dd0c-49d0-8855-ffea0882bf5f,A,concept,knowledge_representation,object_: ,concept,Yoruba,Amharic,weak,timeless,,relationship,2024-06-20 06:07:00
mostly51-06c7-446d-9a65-7f7f5294d32d, ,organization,Aat,historical,concept,M,Igbo,strong,historical,influen_,"knowledge, ",2024-10-02 05:20:00
mostly55-27e0-45a4-bc63-6878746922ee,subject,concept, ,E,organization,", ",Swahili,moderate,current,M- ,historical,2024-02-23 14:47:00
mostlyfd-431b-492d-ba9d-665f412e74b0,: ,concept,"20240.36,,0.6,00",",type",event,neural,Hausa,moderate,historical,G,subjecttype,2024-05-28 09:52:00
mostly6e-9294-4044-ab64-1b5331d1b4bc,}} ,person,strong,", ",concept,primary_strength_type,Amharic,strong,historical,subject_,subject,2024-08-23 19:07:00
mostly73-6763-4007-aa8b-4f87cc63fae6,predicate,organization,{,recorded_at,concept,}} -,Shona,strong,historical,", ",context,2024-08-30 09:19:00
mostly4d-7b54-4406-98a2-49cf0980d70f,historical,person,strong,", ",organization,subject: ,Swahili,weak,historical,predicate,2024 {,2024-05-19 21:43:00
mostlya7-c271-4c6d-a156-e7b9404f48cf,subject} {,place,subject,"2024-10-01:43,0.57,-0..067638,-121.063120,15,_-1.725,-0.1,-0.185625-1.53.536,0.62307,1.2604,,-0.2646,-1.2,1.458,0.48:",concept,:,Amharic,moderate,timeless,"2025-T1:00, {","knowledge--0.70723,-190.139,0.7.,0.161,,-0.4323,-6,12",2025-02-06 18:24:00
mostly58-3de1-4bcd-8192-daaed1a4e1d0,primary {,person,", ",C_aspect,organization,T{,Yoruba,strong,historical,"2024-1.18158,-220.57,0.60.642,2.496T,--0.890,-1.48.0,-1.1987,0.86,0.442.15,0.5842,1.0.096,0.04923,-0.1.0476, ",recorded_language,2024-10-18 23:42:00
mostly96-791f-4944-9295-68ebbafe3ec4,temporal_,person,place ,is,cultural_element,} ,Swahili,strong,historical,concept,subjectoing,2025-09-29 17:32:00
mostly2c-facc-4949-80d4-15fac0a4cc12,primary,person,C,Mal,concept,I ,Swahili,moderate,timeless,historical,N0.736,2024-09-30 13:26:00
mostly85-222e-40bc-a62f-589335cdfc09,: ,organization,2025_type,place,concept,subject,Oromo,strong,historical,place,", ",2024-06-06 05:32:00
mostly5b-1772-4413-8897-2ec4a365c3c7,temporaltt,organization,subject_aspect,subject_language,concept,context,Zulu,strong,historical,place,A,2025-06-25 15:46:00
mostly51-283d-4d92-85a6-d0b06ab1e2d3,: ,person,P,primary_type,event,Sra.,Oromo,strong,timeless,N_representation,A ,2025-06-01 01:01:00
mostly85-dc19-46ee-b2a7-df7afcaeb468,: ,place,}1,relationship_embedding,place,temporal ,Swahili,moderate,historical,predicateciic , ,2025-05-15 20:15:00
mostly5a-cfc9-4cef-944a-a140195a5126,", ",cultural_element,"Mb of0.s, ",symbolic_s,cultural_element,", ",Igbo,strong,historical,neural,moderate,2025-05-11 04:52:00
mostlye0-a2ba-4379-8b5c-c6cc28aadb9f,knowledge,person,", ",Zulutype{,concept,historical,Swahili,weak,historical,: ,,2024-03-18 18:39:00
mostlycc-45d9-4861-862f-b22b29bbfa79,2025_strength,concept,2025_embedding,temporalr,place,: ,Amharic,strong,historical,"--0..53,0.928,-1.19048,10.5,0.4616,0151T42,-0.1200,5,0.2705,,0.7322,1-0.30401,0.564,4-01:00",", {",2024-04-07 01:48:00
mostly76-0a1c-4fb4-bc2f-ecab31398233,", ",place,primary,", ",concept,G}i ,Yoruba,moderate,historical,: ,place,2024-02-02 05:13:00
mostly91-d006-4822-a845-c878c2939d64,historical,cultural_element,S_{,stronge,concept,subject,Hausa,strong,historical,"neural-0.0,2,-03-:.57",concept,2024-08-13 14:48:00
mostlye0-fef1-4453-a09a-4899ec36f0a5,predicate,organization,Igbo,} ,place,conceptuoyepan ,Zulu,moderate,historical,"timeless,  c-1ic, ",historical,2024-10-29 01:36:00
mostlyce-36f0-46c9-bcd2-931f40335ee8,2025_embedding,place,concepttu_representations andp,", ",place,knowledge_embedding,Swahili,strong,current,: ,is_an e,2024-03-10 07:34:00
mostly88-9a07-45ab-ba3e-a8738be152f9,2025-:00,person,historical,M,place,neural_embedding,Igbo,strong,historical,A_representation,South} {,2024-12-01 23:08:00
mostly7e-1f0a-49f6-aa10-1db4d8d6e1f3,strong ,place,historical,: ,organization,M_representationran ands,Shona,moderate,historical,moderate,subject,2025-03-03 23:42:00
mostly62-3377-439d-a6d1-262d38b282d9,"2024t0.278,0.09,00.1,1.425058,--0.75,1.762T,-5,0.13601,-.57,-0.530,.04,0.096,-0.270,0-.028.43,1.128,-2203,-1:.1519,1.46,-1.78,-0.8,-1.349,1.36.1505-82,0.942, -1.12,0.0712:109,-0.26749.23,03:",place,historical,Igbo_atan,concept,: ,Amharic,strong,historical,} ,place,2025-09-29 17:32:00
mostly61-d5bb-4223-8c54-fbd24bda2b07,: ,place,{,"relationship0.9.288,000..084315,0.16,-0.40.053,1.024616,0.0,0.843,:0.98,1.2906,042.5615,0.07.22.4,0.2667424,-0.7049,0.2976,0.08508,-0.1204:1:1.0912}0.,0.448:",event,primaryan{idcealesin,Yoruba,strong,historical,Swahili,: ,2024-02-29 16:56:00
mostly67-ee07-4d37-9a56-f7ea6bc179da,knowledge_graph,concept,predicate,: ,place,N_atvsant ca,Swahili,moderate,current,} {,", ",2024-11-27 18:10:00
mostlyf7-a30e-41b2-b05a-e91663e38bb3,neural,place,subject,"2025-297.58,-0.4529,-0.492,-120.59",concept,"}--0.40,-5.021,--0.149-:: {",Yoruba,strong,historical,: ,2024,2025-01-19 22:57:00
mostly17-ec4e-48f2-b1fe-7dbb5a95fff7,", ",place,subject,: vpou,place,organization,Swahili,weak, timeless,place,strong,2025-08-27 01:48:00
mostlya1-e540-40db-be84-a4ca1c8551b7,conceptththarp: ,concept,subject_type,predicate,concept,context,Zulu,strong,historical,recorded_language{,symbolic_graph,2024-04-24 20:42:00
mostlyc2-3568-4efa-965d-16a6c001c880,historical,place,subject_aspect,Cmu,concept,", ",Amharic,weak,historical,E,C_aspect,2024-10-21 15:29:00
mostly94-84c0-4a8a-8663-c576104a6503,G_,place,C{,relationship,organization,G,Swahili,strong,historical,",-02-0.962528,0.11,0.843,-11.62829,-0.6094,0.03","20241.7656,-0.029,-0.,-0.62,-1.035,0.1843",2024-06-19 17:59:00
mostly77-3a9b-4b89-b3cf-ac4824cd6780,object,place,historical,object,concept,C,Zulu,moderate,historical, ,"influen-11-.4306,--0.9.7",2024-09-29 21:38:00
mostly79-e769-4592-9e43-9785e4354415,: ,place,context,_at,cultural_element,,Swahili,moderate,current,Kcese Africa ofs,"2025y-13y.43,-0.70806,-0.6-1519,-0.47,}1.36-0117,1.38047,,-0.42,00",2024-02-24 03:37:00
mostly70-47dd-40d2-9f69-713438d52146,"neural,subject",place,concept,strong,place,: ,Swahili,moderate,current,object,", ",2025-09-29 17:32:00
mostlyc2-e0ac-40f8-be78-6f438e257e03,historical,place,subject,: ,concept,historical,Yoruba,strong,current,knowledge,knowledge,2024-05-22 06:07:00
mostly8a-e3d5-426b-9d30-e77bc754b7a4,symbolic ,place,G,"neural0.46480,6-0.2800, T22neural:0600",place,: ,Shona,strong,historical,historical,primaryfr_graph,2024-02-27 21:15:00
mostly6d-3349-4cad-9949-25e6e42a6f02,Amharic,place,neuralu,I ,place,relationship_embedding,Amharic,moderate,current,subject,primarydat Africa,2024-05-27 00:32:00
mostly86-4fe7-409b-9ef6-eda71462fb59,subject,place,"C-0.7,0.8,-1T185.69},,1.492517,0.4,1710.290,0.763190.187120.3T, ","strong,at ",place,: ,Shona,strong,historical,moderate:  ,: ,2024-08-04 19:46:00
mostly28-9a31-43cb-9e85-01662483096f,influenb,place,moderate,: ,event,} ,Swahili,strong,current,primary_embedding,2025,2024-11-14 10:19:00
mostly48-ed5f-4031-b564-8ea253cb1167,: {,organization,_type,object,concept,Yoruba ,Zulu,strong,historical,place,}T ,2024-06-11 18:03:00
mostlyf4-8e44-44a9-9fdc-75af4da3e368,: ,place,person_representation,objectknat ina andiv insv caeri and- andavdsle Africa ed-anei,organization,} ,Swahili,weak,current,: ,object,2024-04-07 01:36:00
mostly43-cb2e-4317-b1e6-3725c8443eda,: ,place,} {,place,place,P Africa,Yoruba,moderate,current,", ",object,2024-05-15 02:00:00
mostly4c-a081-4616-8889-76a5f46a28ac,: ,concept,neural,{,place,moderate,Yoruba,strong,historical,contextri,symbolic_at,2024-02-21 16:34:00
mostly86-4e85-496e-8697-5aa934cffacc,,event,historical,", s",cultural_element,strong,Igbo,strong,historical,-_a,", n",2025-07-02 21:02:00
mostlyc2-d5cd-43b7-94f8-0d92d7af2f76,", ",object,C ,primaryft_ ,concept,_embedding,Yoruba,strong,historical,Swahilik,}_aspect,2024-07-15 15:10:00
mostly53-303b-4dd5-8107-c7d437b5e769,historical,place,C as p and,current,place,organization,Amharic,moderate,historical,: ,: ,2025-03-29 14:09:00
mostly69-e45c-4308-ba47-607e71d42ee7,strong{,concept,primary_l,predicate,concept, ,Yoruba,moderate,historical,: ,object_representation,2025-01-03 12:10:00
mostly0e-3b2d-4667-836a-27c6f1e3e53d,knowledge_language{,person,"temporal_-1T1237},",,concept,moderaten an and bmeeesaia  ,Yoruba,strong,current,: ,concept,2025-02-05 09:40:00
mostly8d-d839-484e-8d8b-65c5988e6502,strong,organization,: ,: ,concept,Yorubaalping ,Shona,moderate,historical,} ,2025,2025-09-29 17:32:00
mostly7b-59bc-4f90-9058-4fb4f3ce8325,placet,organization,historical,recorded_at,concept,strong,Yoruba,moderate,timeless,{,predicate,2024-05-29 14:24:00
mostly5c-19d2-431c-8ad9-7c31da9d4044,weak,person,concept ,"2024-0.430202,-1 ",organization,Yoruba,Yoruba,strong,historical,historicalk ,: ,2025-07-09 18:21:00
mostly28-a1b9-43b8-a4d5-a41b89fe58cb,strong,place,place_language,symbolica,concept,recorded_strength ,Amharic,strong,historical,recorded,Amharic,2025-09-29 17:32:00
mostly3d-3a8d-45db-beeb-db0826ed52a3,", ",place,,place,concept,: ,Amharic,weak,historical,relationship_embedding,2025anlanguage,2024-02-14 06:23:00
mostlyf0-ca45-47d3-b347-f2f7d34ee79a,: ,cultural_element,strong of ,", ra",concept, ,Hausa,moderate,historical,strong_language,historical,2024-12-02 12:45:00
mostly98-0fc7-49fb-a191-7e74d7d30bbb,primary_aspectth,place,,predicate,place,neural,Swahili,moderate,historical,G,S,2024-05-19 14:05:00
mostlye1-d4df-4307-ae61-cac758e5f04b,subject,concept,strong,context{,event,person_type,Hausa,moderate,historical,2025_type,Swahili,2025-03-07 06:43:00
mostly72-2718-4347-be4a-747a6c0862a2,SouthT scck,place,}}subject_at,symbolic,place,,Hausa,moderate,historical,-_embedding,: ,2025-03-03 04:28:00
mostlyb8-3d95-4ea1-906b-8dd7ee7de29c,object,place,context,", nt andu",concept,Swahili_aspectg:,Amharic,strong,historical,Aim,subject,2024-09-06 19:34:00
mostly35-e7dd-4988-a992-105aab183dee,A,cultural_element,timeless,subject,concept,subject_,Hausa,weak,historical,symbolic,Eor,2024-03-05 05:59:00
mostlyfc-0d7e-46d3-8b05-75c41175388a,"object,object",person,,historical,organization,subjectitype,Igbo,moderate,historical,context,: ,2024-02-20 10:47:00
mostly25-b88c-4b7f-bd9b-dc82782d5b90,subject_type,concept,strong,neural_aspect,concept,strong,Shona,strong,historical,", ",subject,2024-03-07 10:36:00
mostlyc2-d78a-4d76-8951-16a975cac158,", ",event,culturalat,I-yo,concept,Nile,Amharic,weak,current,,relationship,2024-06-19 15:07:00
mostly1e-8f4a-4d12-95cc-9fe77009f7d0,subject_type,place,strong,temporal,place,S,Amharic,strong,historical,: ,subject_strengthgraph,2025-07-25 22:03:00
mostly53-ccdf-4b25-a2f3-6e808b94a340,} {,organization,:any,E,concept,temporal_type,Igbo,weak,historical,Zulu_language,object,2025-03-12 07:15:00
mostlyfd-b7dc-4e02-a3a3-9d4a2a0a69fc,predicate,concept,"-0.49-3604,1.225,0.38170010549,-0.602:0.7,0.5807,-0.63,0",", ",concept,"symbolic.5,-0.22709,0.,0,-11.6748,1.4815,0.07,0.65,0.3622,1.1282,-0.2748,.643,0.08.719-0340,.291.1808,-0.0.124707,-0.28058,22 ",Amharic,moderate,current,: rk and,: ,2024-06-20 15:50:00
mostly4c-6c38-4807-925f-bac40b3da3e2,knowledgeobject ,place,", ",Southc,concept,place,Swahili,strong,historical,,: ,2024-05-24 12:32:00
mostlye3-9a60-4199-85e6-dee02d33c27d,", ",concept,temporal_,"S-TT108_graph, ",concept,object,Igbo,moderate,historical,cultural_aspecta,", ",2024-08-25 15:24:00
mostly0f-2199-42fe-a7ee-b33f07d5b858,,place,_strength,knowledge,place,,Yoruba,weak,current,strongnen ,: ,2024-10-10 17:24:00
mostlydf-99d2-4c0e-8afc-9603eaa21f63,M,place,concept,"2024-i5e-7.4, ",concept,knowledge_at,Oromo,strong,historical,N,} ,2025-01-05 09:22:00
mostlydb-41a4-4437-be2b-5c702cc4e355,subject_strength,cultural_element,: ,subject,object,subject,Zulu,strong,historical,subject_strength,: ,2025-06-11 17:03:00
mostlye7-b4e1-42dd-9dbf-9464f4104667,}-} {symbolic__: ,person,historical,knowledge,organization,object,Swahili,moderate,historical,moderate,", ",2025-05-27 14:38:00
mostlya9-edf9-40cf-a9a6-40bdf983459d,place,concept,", ",neural_ ,event,symbolic,Zulu,weak,current,recorded_at,object,2024-09-01 23:03:00
mostlyb2-f7af-4a51-ad5d-1acc8fdda12b,"I,t_at",cultural_element,",",_at,concept,: ,Amharic,strong,historical,: ,moderate,2025-03-07 19:29:00
mostly6e-b524-4037-9d4e-d3d9d94a9a9a,concept,concept,neural_embedding,Zulu,place,object,Swahili,moderate,current,", ", {,2024-01-14 05:34:00
mostly55-28cc-457f-80ae-9bafc4fbe2d5,,person,", ",subject_type,concept,recorded_graph,Igbo,moderate,historical,concept,,2024-03-04 18:38:00
mostly88-a4b0-4986-9266-f00382c5500b,Yoruba,cultural_element,person-k ,Zulu_,place,is_type,Yoruba,weak,historical,subject: {,: ,2025-03-07 11:43:00
mostly86-b876-4f7f-82ff-c63a8c7f154e,: {{,place,subject_type,historical,concept,temporal,Yoruba,strong,historical,neural_,: ,2025-01-06 18:29:00
mostly72-cecc-4466-ba14-ae08b6cb13e1,2024,person,", ",place,concept,symbolic_type,Swahili,moderate,current,primary_embedding,2024 ,2025-05-17 08:29:00
mostlya2-7c04-48da-b0c3-315cecc86791,relationship,place,A00,relationship_representation,concept,moderate,Zulu,strong,historical,subject_representation,2025,2024-08-17 03:49:00
mostly71-a671-4509-adee-d24f4fab57f7,subject,concept,"2025-090.6,-0.360608-302, ,11.097,0.3,0.23392,-0..6,0",A,cultural_element,place,Oromo,strong,historical,relationship_language,place,2024-06-12 04:17:00
mostly63-afac-4dc0-9f4c-6aa7ca949b72,subject_graph,concept,"moderate, ",: ,concept,: ,Shona,strong,historical,recorded_type,historical,2024-02-11 16:49:00
mostlybf-bc77-4492-bfd9-20dc3517551d,: {,concept,Amharic,: ,concept,M,Zulu,strong,historical,symbolic,historical,2024-11-10 13:24:00
mostly26-fdb1-4ccf-8e15-7c15a8ea59bc,2025s_rembedding,organization,relationship,", ",concept,historical,Amharic,strong,historical,Ialo_aspect,predicate,2025-02-24 12:23:00
mostly4f-a479-439c-9a87-279bcad3f05c,}_embedding,concept,"2024-1.0433:-0.200101,0.4208,-1.56,0.1646,-1.67075,-0.7160.886,-",contextlanguage,concept,", ",Igbo,moderate,historical,subject,-,2024-03-30 18:19:00
mostly0f-fa4a-4649-b964-d28b32ee6299,: ,place,", d",subject,object,subject- ,Swahili,weak,historical,_ ,knowledge_type,2024-12-02 17:32:00
mostlye8-5320-439a-a154-b8a45afa3ef9,M} ,place,predicate,concept,concept,Igbotype,Yoruba,strong,historic,Nile ,concept,2024-11-11 04:49:00
mostlyfe-6ee0-491d-8b82-b1582c8a2328,concept,person,timeless,historical,place,I,Amharic,moderate,historical,E,: ,2024-04-17 14:10:00
mostly37-12c5-4956-b263-b57dbfae53d5,subjecting,concept,object,: ,place,subject,Amharic,strong,historical,C,object,2025-04-05 15:06:00
mostly83-6ddb-40ae-a6f2-fb0a5b4f7715,"neural,er",place,: ,", ",object,2025Tu,Yoruba,strong,current,,Igbo_type,2024-03-24 16:23:00
mostly2a-f514-4719-aa1a-6ea9f7e46b20,", ",object,historical,2024al,concept,"historical, ",Zulu,weak,historical,: ,temporal_type,2024-02-13 17:00:00
mostly31-d7e1-4cbd-9400-d8625cbb73ca,,concept,} al,subject_aspect ,event,subject,Hausa,moderate,historical,E,: ,2025-01-30 16:53:00
mostlyf6-327b-4e09-b597-b63f40270270,context,place,subject,", ",place,,Swahili,strong,current,A,context,2024-06-04 22:36:00
mostlyc8-e604-489c-8814-0bfb23360668,subject,place,predicate,}ol_type,event,"20240.0717,-1019.6048420,0.3021,0.0546,1.4684.2:00,{1.1247,0.154,0.1,0.71,0.0.25,-0.0711,0.36,50.5606",Igbo,moderate,historical,subject_language,2025e{,2024-03-12 20:17:00
mostlyce-c4e0-4669-be37-b2f4f7a4cdc8,weak ,place,",00 ",: ,organization,S,Hausa,moderate,timeless,"recorded_strength,",: ,2025-04-10 08:24:00
mostly27-0f45-4596-bb7e-620901fae90e,"{0.48,19.-.4999,467:488-.13,",place,object,", ",event,{,Yoruba,strong,historical,: ,temporal,2024-11-08 18:24:00
mostlya0-302e-48aa-a919-a4120019191c,recorded_at: ,place,E,"2024-1.6T29,0.386},1.612.2,-0.2018,,-1.7941,-1..3,1.081,0.472.90305.,-1.05907,1,0.47602,-0.9.23,11.434-,0.406256,0.2.76045,-1..36,-0.055503,-0.155.7,0.15,22-0.7802182,-020.28,220.4,1.7,1.562,-040.43782, ",place,organization,Shona,moderate,current,object,predicate,2025-07-11 02:02:00
mostlycf-b90d-44d0-8b1b-097e4c4783f4,", ",person,object,{,concept,2025-T:,Yoruba,strong,historical,}strength{,R_language,2024-06-26 18:14:00
mostlyb8-2cff-43cf-be47-8eef1a7267da,temporal_type,person,2024-0311:04,is ,place,:,Shona,weak,historical,subject,knowledge_type,2024-09-19 16:12:00
mostly9d-a80f-4524-8500-098c15bde1fb,A,place,historical,temporal,concept,strong,Hausa,strong,historical,neural,{,2025-06-13 00:37:00
mostly82-6d4e-49d2-a566-8462530d2aaf,temporal_ats,place,- {,A: ,organization,", ",Yoruba,moderate,timeless,2025a,: ,2024-02-14 15:48:00
mostly87-6efa-4291-a309-688ee611e9c9,organization: ,place,,knowledge_aspect{,concept,strong,Shona,moderate,historical,moderate_icembedding_embedding,primary_type,2025-01-21 23:07:00
mostly0a-7b4f-44a9-932c-233bfdaea623,person,place,symbolic,temporal,concept,Zulu,Zulu,moderate,historical,temporal_language,T,2025-02-05 14:07:00
mostlya4-48b0-4cda-bb78-77a24f40a5be, ,cultural_element,concept,"historical,c",organization,strong,Hausa,strong,historical,Ed and,: ,2024-05-29 19:12:00
mostlyc9-d53f-4c3c-a16c-88f0ad93b514,", ",place,place,subject,organization,",-0.032:-09,} -T10.216,0.6,0.43,0.5,-14800, ",Hausa,strong,historical,", ",primary_embedding,2025-03-25 14:24:00
mostly04-5a44-4e34-885e-a7285e45d2eb,C_language,event,concept,"-1.0865T,03 24, ",concept,Zulu,Zulu,weak,historical,knowledge_representation,,2025-02-05 05:55:00
mostly66-8192-494e-b378-1588331c1464,Yoruba,place,"2024-0.42,-0.90409,0..0319,-0.1683,-T1031749-1.1856,0.847,-0.09,0.00428,0.35,0.,60.42230108,1468915T,0.2,-_.03: ",relationship ,place,predicate,Swahili,weak,current,"2025-010.63.62,1.153-31.590519,5,-0.04,0.28,0..,1.829,-0.197,0.422","2024-TT1:1.,-0.127,",2025-04-25 19:40:00
mostly6e-0342-4096-be5c-aa60d15aa95b,", ",object,is,"2024eaeeda and_u Africaemeli,",concept,{,Igbo,moderate,timeless,object,,2024-03-22 09:49:00
mostly88-369b-4a3a-9657-51581ae09a80,object,place,primary_strength, ,place,timeless ,Yoruba,strong,historical,symboliclanguage ande0.7 ,}} {,2025-04-19 22:36:00
mostly8e-d0ea-4e4d-8636-83a2d0eaa164,temporal_embedding,place,"culturalne-1.53.3761017,0.776,0.165,0.19,-0.6112,0.23,1.438,0.022,-0.76258,-0.1.7,0,0.0,50.26,-05:21.37129,0.8-8,0.2.18107, ",knowledgean_aspect,concept,place,Yoruba,weak,historical,: ,recorded_graph{,2024-03-11 20:44:00
mostlyd9-3401-4635-8713-3f6196bc3c76,temporal_,object,historical,context,cultural_element,,Shona,moderate,timeless,A,person,2025-09-29 17:32:00
mostly39-f7f2-4912-ad10-0c1edcdb493c,context,organization, ,symbolic_type,cultural_element,context,Yoruba,strong,historical,T--044}8,predicate,2024-03-24 17:40:00
mostly1f-31c6-44fd-bf51-39232dcf73af,temporal_an,person,"-T112,0.942434,-1.19946,-0.816,00,--0.62,.02,-0.14,0.58,0-8:-0.19957,0.235,-0.75,",historical,organization,object_strength,Hausa,strong,historical,", ",S_languageansss,2025-05-23 04:38:00
mostlye6-ddbd-4245-9c35-c5766fd4269d,subjectaspect ,cultural_element,"2024---02939.187,-1.41300}:.03,1.42,-0.4461,-120.76,-16.181,1.174,0.7,0.13,-01,-0.09515,-0.05,00-1,-1.876,-0.65046:,06.05,46.1,.505,1.2817,91-.76,0428,--.7-1.1397,1.1776,-01,0.093,,6,0.27,00-0.380.9,-1.76421,-0.198.57",predicate,concept,subject,Igbo,moderate,historical,subject,neural_embedding,2024-04-21 03:09:00
mostlyc8-274c-481e-b665-245768a4362a,S_aspect,person,is,primary_embedding,concept,,Igbo,strong,current,temporalan,cultural_embedding,2024-03-09 01:55:00
mostly43-030c-49d5-9145-76d3ad30517d,object of,person,primary_type,,concept,historical,Yoruba,weak,historical,", ",,2025-05-29 16:10:00
mostly17-8199-40ab-98b4-cdfcd95a8f89,symbolic_graphed ,place,object{sco and,historical,organization,Gratta inuils,Zulu,strong,historical,historical,}strong,2025-02-14 06:30:00
