id,ethical_domain,primary_language,scenario_type,description,stakeholders,ethical_tension,cultural_framework,resolution,principle_demonstrated,location,symbolic_logic,wisdom_teaching,neural_embedding,recorded_at
mostly03-021a-45aa-b750-fd1e73e1ed2e,ubuntu,Zulu,intergenerational,ethical_domain,location,A_embedding,scenariovsiinwasb,{,: ,recorded_type,"E-0.7415:-0..1,0.150.384,16",}} ,: ,2025-01-20 21:40:00
mostly26-41e5-4b0a-960e-a2ebd82ecc3c,integrity,Oromo,intergenerational,ubuntu_.,resolution,ethical_embedding,", ",: ,":.07, van-..48.7, ",ethical_domain,K{,Ku {,}  ya m,2025-09-25 10:59:00
mostlyec-d3bc-4f7f-9e7a-5b2b78d5002b,empathy,Amharic,traditional_justice,U_demonstrated,: ,,resolution,symbolic,scenario,ethical_embedding,wisdomdemonstratedd {,Ob ya,description,2025-09-18 08:49:00
mostly19-35ad-415b-b214-5783f2358432,community,Igbo,intergenerational,description,O{,symbolic: {,ethical_language,cultural ,recorded_embedding,": 0..579,0.073,--1205ethics,02.843, ",resolution,ethical_teaching,,2024-01-27 16:17:00
mostly5e-61bd-4229-9daf-948652b96e7a,empathy,Amharic,moral_dilemma,-,resolution,,description,Ob na,wisdom_languageethical,ethics_,2024 {,,: ,2024-07-26 15:27:00
mostly66-92dd-40c8-834a-860f5cf74887,respect,Oromo,modern_ethics,I,", ",recorded_typeT,,principle_teaching,":--.09653,1.33,0.6,0..7196,-0-.14017,0",U}_embedding,K-,principle_,symbolic__embedding,2025-09-20 02:14:00
mostly2d-14e0-4aaa-9e3b-f659f422f7eb,community,Igbo,intergenerational,2024_-_-,", ",community,K ku,ethics,wisdom-,Iem,} ,}_teaching,"M na, ",2024-02-25 19:08:00
mostlybf-f4c0-4d23-babd-5e95a9719120,integrity,Zulu,modern_ethics,ubuntu_ ku and,ethics,: ,", ",E_at,,primary_tension,symbolic_tension,: ,"scenarioethics, ",2025-09-25 10:59:00
mostly81-0cd0-40c3-acb8-59ff63918888,responsibility,Swahili,modern_ethics,G,modernresolution,recorded,K,cultural: ,ethics,"2024--0.089.194,-0.0800,,.",scenario_at.,ethics ,:00,2024-08-19 11:05:00
mostly8d-a281-4ff1-bd0c-53548ef83f77,responsibility,Zulu,intergenerational,: ,: ,"symbolic--T.16438:-0.1209,0..716,0.437-.,T70.62,0.3,-01.04,0.0,0.112: ",: ,stakeholders,,"empathyalataa,1ial sin b kuue d a, ",location,description,ethics ,2024-09-30 04:53:00
mostly64-b4a0-4ca7-a0e4-709560eb9a3b,empathy,Shona,conflict_resolution,symbolic_demonstrated,A,description,scenario_framework,"}0.02-.35291.,2",,resolution,: ,E,} {,2024-05-02 01:43:00
mostly7c-a2b5-41f0-9645-6a30d9ccaea6,community,Yoruba,traditional_justice,M,,"Mal,- ",: ,} ,recorded_domain,description_atT,"neuralsymbolics wa,i-0.1421.,114}_, ",{,}__resolution,2025-02-10 10:04:00
mostly8e-f11f-4755-8730-b82be032f372,respect,Amharic,traditional_justice,stakeholders},",-0.815, ",H}k,description,"ethical_-.1,-0.4260540.7.19",scenario,"traditional, ","ITn,e",location,: ,2024-09-24 21:06:00
mostlyc1-6679-47ea-8a5c-f247c607d61a,respect,Zulu,modern_ethics,,neural_tension,Nn_type-,{__tension,"Sanana, ",justice_tension,A_00-,_logic,: ,principle_type,2024-09-10 10:30:00
mostly77-dbe4-46a7-b75b-b4aa5cce31c1,justice,Swahili,intergenerational,cultural00,respect,resolution,scenario_at,description,"2024-0at.48:0.4.,-0.,1.91.27-4,1.130.606,0,0.02.12.806,",", ",", ",A_framework,stakeholders,2024-02-14 02:20:00
mostlyfb-38be-4425-b5cc-49a72a80e519,empathy,Swahili,modern_ethics,ethical ,", ",ethical_domain,: ,}}_}}}} {,Ku_embedding,stakeholders,primary_at,cultural_tension_type,ethical_embedding,2025-08-05 03:20:00
mostly7b-7372-4b79-a589-aaf3f4ca6fff,justice,Shona,community_decision,: ,community_type ,: ,neural__tension,", ",neural_logic,cultural ,principle_type,}} ,ethical_,2024-04-02 09:43:00
mostly56-ba2e-487f-b00c-54d3d777975e,empathy,Shona,community_decision,"2024iyf, ",", ","2024--0.0570-1.4.,13,0,0.812,-0.55 ",description_framework,A_dilemma, ,wisdom_,primary_at,-,principle_at,2025-06-21 10:55:00
mostly5e-7219-47df-8d42-e637b2a1cd7b,respect,Oromo,traditional_justice,wisdom_demonstrated,"stakeholders,-1T9.12,-.76,9-14196, ",},resolution,", ",,{,: ,", {",scenario_ ,2025-05-10 10:35:00
mostly46-c72d-4d23-9f90-55954c7a8ac1,community,Shona,conflict_resolution,resolution,modern_embedding,,S ,,}_ethics,scenario_embedding,",","-0.1..54808,-0.04,.0.230407,-0.80.26,13,ethical,ethical267,-43 ,0.45,18860.590.6,-0.028_,T, ",recorded_type,2025-09-23 06:49:00
mostly53-1d79-4ca7-b3d9-699f510e93f7,integrity,Amharic,community_decision,principle_embedding,resolution,location,,: ,W ,-0.020.67291.: ,primary_framework,", ",recorded_: ,2024-04-23 10:32:00
mostly41-9624-4fdc-9c74-87f26940e796,community,Igbo,modern_ethics,}type ,ethics,stakeholders,S_at,primary,scenario_teaching,resolutionm monf,: ,U,symbolic00{,2024-11-01 06:17:00
mostly8c-4e68-40d4-b69a-e42a30aa0359,integrity,Hausa,modern_ethics,neural_-,I na,description,primary_framework,: ,} ,2024_.,}_language,: ,cultural_demonstrated,2024-05-08 11:40:00
mostlyd2-82d0-433e-be9c-efc5c8c57d02,fairness,Zulu,traditional_justice,Ku,2025,"Edemonstrated-1.56,1.18,,0.287,1.230.9",recorded__type,location,scenario,ethical_at,empathy ,ethical_language,description,2024-08-04 05:20:00
mostlyc7-ba7f-4975-a186-a09e7e43ecba,fairness,Swahili,intergenerational,A,ethical_domain,ethics,Od a andwa,Addis_at,: ,stakeholders,"modern,0.191,-0.8250.8:,06,--050.160635,","2024-0.05T5945,012,-0.0609,8",2024 a1 yalanafenwa kuwa nam mebal,2025-06-04 15:18:00
mostly45-5fb6-4412-9cb3-7774905e27ea,integrity,Amharic,modern_ethics,resolution, ,integrity,ethical,ethical,Hldat m ny,symbolic ,K_teaching,primarydemonstrated ,principle,2025-03-21 18:19:00
mostly2e-ae06-40a2-bff9-aeaaaaf5a5e1,ubuntu,Amharic,intergenerational,cultural_: ,cultural_T,U0.4,", ",stakeholders,resolution {,neural_logic,empathyalanain_,principle_domain,principle_demonstrated,2024-10-02 17:05:00
mostly75-3de9-4b09-a28d-70d2a1fb65c8,community,Shona,conflict_resolution,neural,K nal,scenario_demonstrated,",_framework", ,N,ethics,ethical_language,", ",} ,2024-08-04 23:36:00
mostlyf3-84a4-48f9-ac74-edba817937c5,integrity,Amharic,modern_ethics,neural_dilemma,2024_tension,,location ya,"A_domain, ",wisdom_embedding,community_language,T:00,"Wmin,-0.1747,-", {,2024-09-20 07:15:00
mostly55-7d9f-451c-a0c3-463b3427f8db,ubuntu,Shona,modern_ethics,E kuwapenonf,":00, ",",- na,--0,-1.2815: ",S kualinwal,"W.e,0.58432,0.8050249,-0.172764848, ,0.2-09.914,-}19,0.352803--",I ya nabinng,scenario_tension,recorded_,"Ad,-0.4913_",wisdom_language,2024-12-06 06:27:00
mostly64-aacf-4b87-a4db-4ede5c5a165d,integrity,Oromo,intergenerational,Ndị,} scenario,: ,wisdom_teachingtype,T-04-,"}stakeholders-1.013,-0.91508,TT07.15,056,",recordedd,Wowaa,M nas ,2024_teaching,2025-07-29 01:51:00
mostly9f-f646-4106-8752-00f20a4d49da,fairness,Igbo,traditional_justice,wisdom_language,", ","-0..1.4,,-0..6,0.0302,0.-2",A_: ,symbolic_tension,cultural_tension,-:-0.062307:00,U1,justice,-03T12: ,2025-08-06 06:16:00
mostlye7-f238-4a6a-bd1d-1e08c6838510,justice,Hausa,conflict_resolution,2024ar,symbolic_at,principlecultural: ,}{,principle,Ku ,neural_,neuralethics,,ethical_language,2024-02-20 17:30:00
mostly90-092b-45f5-ba2a-27feb12df997,justice,Zulu,modern_ethics,description,wisdom_1,: ,ethical_framework,wisdom--23:TT: ,ethical_tension,: ,stakeholders_logic,K_tension,symbolic_embedding,2025-09-25 10:59:00
mostlya7-ab91-41eb-8e18-9c4c8cb36eff,justice,Yoruba,traditional_justice,symbolicdomain,ethical,neural na,2025 ,justice andm,cultural_logic,}_type,primary_resolution,",_0",} ,2024-11-20 23:23:00
mostly71-d533-4d51-bcd9-7026e73ce5ae,community,Swahili,conflict_resolution,", ","Uanon b, ",}}_,"A,,-0.6,-0602,,-0.926.0.208,0.0.543,0.18-, ",communityk:,: ,primary_language,", ","Ao, wa",Oromo,2025-09-10 13:23:00
mostlyc3-e913-4ed3-a495-9179b8e130f8,justice,Oromo,community_decision,},Eow mflakin a nafaktiatoi ban,,culturalembedding,", ",}}} {,", ",: ,2024ethics{,",-009,-1520.849,0.129,",2025-09-25 10:59:00
mostlyf8-8915-4231-bb8f-e94d3e800929,ubuntu,Zulu,modern_ethics,cultural_framework,: ,ethics{,,justice,A,descriptionethical,I.121.s ,O,description,2024-03-30 21:11:00
mostlye5-04c4-424b-962c-950ed25ab10e,respect,Igbo,traditional_justice,primary_,symbolic,empathy,wisdom_language,Mine ,_-,scenario_logic,A,",",scenario,2024-08-26 20:45:00
mostly7b-f048-4661-bb42-cb137073cded,integrity,Igbo,moral_dilemma,{_framework,"stakeholders ya,-0wa28.245,-0.36, 0.4908-1","--0.1,053-, ",neural_teaching,description,ethical_language,,N,ethical_tension,location,2025-04-12 03:36:00
mostly99-27c3-4b6b-93cc-5c6484152106,justice,Shona,traditional_justice,: ,_embedding,H and,resolution,community,"}}}{.00, ",description,U,K_tension,ethics,2024-03-15 23:30:00
mostly64-a9e9-4df4-9016-160a3ef743d8,ubuntu,Swahili,conflict_resolution,":type_-1.5,-0.4-.838,0.02,06,",A,ethics,neural_language,N_at,: {,ethical_,ethical_demonstratedembedding,,integrity,2025-09-15 13:06:00
mostlyf0-cc5e-4024-bd2a-a638f7c5125b,ubuntu,Zulu,modern_ethics,symbolic_language,,primary {,: ,I_,ubuntuwa a,"principle-04an, ni0.5,,-0.3",description,A,", ",2024-07-13 14:28:00
mostlye5-5466-4646-bd99-d28b46529226,fairness,Zulu,conflict_resolution,:00,", ",location, ,: ,cultural_framework,: ,recorded,location,: ,2025-01-31 08:20:00
mostlyd4-7053-434e-b38c-893de777d11e,justice,Zulu,modern_ethics,"2024-,-0.09.,-0..T57,-.,-0.09259,00.308,--194",-,"Hal n,0.29,-0.14038 ",ethical_,principleuaordf naa kuuaaey moọ,primary_} {,Ain na,"}aanys,-ci yak.in naa",symbolic {,location_domainan,2024-09-19 23:25:00
mostly7a-48f2-4878-aeaa-6c4933f339a2,ubuntu,Shona,community_decision,primary{,cultural_teaching,"ubuntueoey, ",symbolic_logic,resolution,recorded_framework,principle_embeddingohzid a isọ,,N ,,2024-02-16 23:20:00
mostly25-59a4-4fba-85c5-26372cfd2459,justice,Oromo,conflict_resolution,community ,,ethical__,K_e,modern_type,:00,wisdom_teaching,: ,ethical_{, {,2024-11-04 22:01:00
mostlycd-7c07-4677-9dd1-716880105c7a,justice,Shona,conflict_resolution,ethical ,: ,"justice, ",cultural_framework,", ",wisdom_: ,resolution,,wisdom_teaching,description,2025-03-14 03:41:00
mostly77-0213-433b-93de-260ea7ba844e,integrity,Igbo,intergenerational,}_logic,cultural,cultural_framework-,ethics,integrity,wisdom_.{,"W0.14362, {",ethical_embedding,symbolic_,A,2024-10-11 06:03:00
mostly63-b2af-4b5c-8eb6-9511d8255a66,empathy,Swahili,conflict_resolution,: {,: ,"cultural yan ya ku,-0.061.,0.06,1.6193:49,-","2024-0.0385,0.5.6,0.2984}ethics,92,1.880.,1.6,-1.01,443,0.91515,05,0.02","M m, mlo  na",-,: ,"Ho, ",principle_tension,", ",2024-02-01 01:18:00
mostly59-3964-4705-be52-7bcc01aabcb0,empathy,Igbo,intergenerational,", ",ethical__type,", ",,W,_language,O,: ,", ",}} ,2024-06-24 00:52:00
mostly46-5b95-424c-b997-b4a9bed872ef,integrity,Yoruba,modern_ethics,: ,: ,U,"descriptiondemonstrated n,h",cultural_teachinglanguage,"2024 and1at c, ",:,_,,: ,2024-09-10 15:55:00
mostly8b-3ed7-43f2-b776-85e70b266e39,empathy,Shona,modern_ethics,resolution,}location,neural_,wisdome,ethical_at,stakeholders ,"justice, ",location,ethicalat,,2025-08-10 13:44:00
mostly0c-624f-48ef-8854-d9000637a558,fairness,Swahili,moral_dilemma,}recordedMb andats,scenario ,principle_tension,intergenerational,empathy,cultural_tension_at,description_teaching,wisdom_domain,_at,: ,2025-03-20 02:44:00
mostlybc-28c9-4d38-aceb-2d4ca915d24c,integrity,Amharic,modern_ethics,scenario ,ethical_embedding,: ,symbolic_teaching,"ubuntu.14,-01,1.3,-23.484.,-0.81}",wisdom_decision,cultural_at,description,neural_teaching,integrity,2024-08-25 22:06:00
mostlybe-b9a6-48a0-8b5c-7c93e9001821,empathy,Yoruba,modern_ethics,"A-0.19-2,1.27,0.052902},0.4_-02.1307,-4-0.7,-0.15015,0.43,-1.-0.59T:, ",:_,neural,empathy,wisdom,", ",location,{,wisdomuc,U00,2025-06-26 12:31:00
mostly3c-fe14-47cb-8d98-9a294faddd2f,justice,Swahili,intergenerational, ,stakeholders,Kcultural,traditional_embedding,", language",U,"-}, ",: ,A_embedding,ethical_demonstrated,2025-09-25 10:59:00
