id,age_months,primary_language,experience_type,description,caregiver_interaction,words_or_sounds,emotional_tone,location,symbolic_logic,cultural_significance,neural_embedding,recorded_at
mostly1c-e436-42b2-a3f3-2ee776c8b4c7,4,Swahili,tactile,“caregiver_tone,If,: ,comforted,", ","O-1.1438,-1.227,-0.69,,190.1, then08,--0131299,0.413,”}-.0,-0.800-,1..2,0.27,0159:19,-0.T.50.08,-0.13,8,-0.8,0.149.0455,0.26,21,0.387,-850.0,0.5224,-0.-2775707,0.151,-0.9,-0.1807,0.,0.4-419-0TT",motor,: ,2024-01-05 19:39:00
mostlycf-0421-428e-8269-54a1e2c5fd81,24,Amharic,auditory,caregiver_,If f.,Caregiverkeraniheresr torings.,playful,If,experience_logic,location, {,2024-04-19 03:01:00
mostly3a-5fc9-4e37-957d-88e503311fac,4,Swahili,motor,: -0.,neural_language,caregiver.,secure,words_interaction,cultural_logicat,location,2025,2024-04-04 04:14:00
mostly1d-1c3a-445f-9e83-914aaa7db632,13,Zulu,visual,_logic,caregiver_months,"2024-0.19}:0, ",curious,secure,2025o {,}} ,", ",2024-05-06 08:08:00
mostly5a-4ba8-4e96-854e-132bfa9aa5f5,6,Swahili,language,0.,wordsd}-09al: {at,} {,joyful,joyful ,}_embedding,emotional_soundslanguage,",0.2.238,-0.7190,20.,0.2, then03563,_at",2025-03-18 14:17:00
mostly0f-17b0-456a-aa92-8aa51c04a4f4,0,Swahili,auditory,", ",primary,“,comforted,}{,", {",emotional_sounds,description,2025-03-15 07:40:00
mostly39-7e1d-40f1-b551-f8fbeafa04b7,7,Shona,social,caregiversymbolic_type,: ,age.,curious,,cultural,: ,{,2024-04-17 04:05:00
mostlyb5-6f44-4c10-87c0-3116d3ac6bc0,22,Hausa,smell,symbolic_language,C,“: ,secure,", ",words_type,} ,",",2024-01-24 12:10:00
mostly1c-983f-4797-9781-434f12c9146f,22,Amharic,motor,description,: ,caregivers toiar.,joyful,} “k.,motor: ,", ",emotional_embedding,2025-08-27 07:04:00
mostlyfe-ecb5-4e53-8a17-d22da3031a8a,7,Shona,motor,experience_months,agea,", ",playful,experience_ {,: ,2025 ,neural_or .,2024-11-12 19:22:00
mostlyd0-665e-4ef3-8a65-48a756a70cbb,8,Swahili,auditory, {,"-15-0.0,0.5,0.469,1,0.",location,comforted,"C, ","Caregiverd-.-046.8081.8,00,1.26,0.2472,0.58,1,,1.036,0.76901,0.5,-0.775,-0.9164,0.591612,-1.8,0.4682746",description,"20250ing709,-0,-1.5734,2",2025-09-28 18:06:00
mostlyf2-45d8-46a5-9ec0-f3ce1b325f24,20,Hausa,social,"S, pales.”” ",neural_interaction,: ,curious,}embedding,"words, ",: ,F,2024-10-31 21:59:00
mostly12-ae80-48b6-b114-2b2bac24f48d,11,Hausa,taste,recorded_significance,", ",curious,calm,Fat_sounds,", ",caregivermonths ,"2024--1.516,0.",2024-06-18 19:48:00
mostly8c-2f09-464f-aeda-1906828bcb3c,22,Oromo,taste,} ,", ","--019, ",secure,joyful_tone,"description (, ",", ",“,2024-01-02 11:29:00
mostlyf7-fc7b-4a9f-8659-4b981293c462,11,Zulu,motor,primary_type,age months,Hausa,joyful,emotional_embedding,"“, ",C ,emotional_at,2025-09-18 16:52:00
mostlyed-06be-47c9-a9e7-83da8b2b4a0f,16,Zulu,taste,emotional“_sounds,: ,recorded_tone,joyful, {,"“comuoesy and, thenebt",emotional_o,: ,2024-05-15 00:40:00
mostly31-ed6d-4ef1-a1fe-c67751ce049c,10,Amharic,tactile,description,", ",P {,curious,: {,", ",“eimes fs msuu.,recorded_logic,2024-07-17 15:12:00
mostlybb-e2cf-4b8a-a482-c84b82e7c79d,6,Oromo,taste,", ",emotional1-0.,words_orlogic,curious,culturalrecorded_months,“N.00,description, ,2024-08-06 14:44:00
mostlyb4-14f3-460b-8ec5-a76ede9806e7,20,Zulu,visual,: ,,- ,curious,R,symbolic_sounds,“,: ,2024-12-04 06:53:00
mostly40-7f61-481b-bc4a-b8b2ed905a92,9,Shona,language,C_ ,If_or ,", -0.71905, ",joyful,Cs}i} {,", ",2024_typeing,If: ,2024-11-05 18:13:00
mostly68-fc5f-4d54-b395-3c0e88ae02ae,20,Zulu,language,neural_,cultural_sounds,"“, ",joyful,"2025}, then","joyful, ",", ",", ",2025-08-17 13:02:00
mostlyd7-3a58-43d2-b8c1-5075cc09eb0b,18,Swahili,tactile,,tactile,"experience_, ",secure,--07:00.,If,,2025_tonetype,2024-11-02 16:40:00
mostly55-f759-49eb-b903-aac421f91ef4,5,Hausa,language,_significance,}symbolic:,recorded__,joyful,caregiver_,: ,secure”:00T14bes:00f ,_tone,2024-11-05 08:20:00
mostlyb2-e55b-4cf2-a84e-ddb82687b252,6,Igbo,taste,primary,primary}: ,,surprised,: ,recorded_,}_at,"“ I, ",2024-02-15 21:57:00
mostly3f-4bdd-4a1e-be3e-3dfde42e8184,9,Yoruba,smell,Caregiver_00,", ",age_logic,secure,age_,__embedding,,experience_tone,2024-11-23 06:06:00
mostly18-e5b3-455a-accb-47d2ea1ba372,11,Amharic,motor,caregiver_type,If,: ,curious,cultural_tone,,"S, ",experience,2025-05-08 17:29:00
mostlydf-164e-4cf4-8ab6-f4dd33c8d911,2,Hausa,social,", {",words_logic,{,secure,: ,If_sounds,“ ,"emotionalwords, ",2024-07-18 01:42:00
mostly8b-547f-4e63-896a-efcd3aa9f8a8,20,Yoruba,auditory,", ",location,"motorinteraction-1 and.18-39} ,: ",comforted,description_at,", c and_ing",},wordsneural_sounds,2025-09-28 18:06:00
mostlyf4-d37f-4c25-96e3-75157e8b9dfc,8,Swahili,language,"}“u, {",", ",Caregiver ,playful,Kom_,O,primary_logic,“,2024-07-18 22:58:00
mostlyfc-c544-4438-86f7-b612080036dc,14,Zulu,tactile,: ,description,", ",playful,: ,",_ then",“ ,age_months,2024-06-06 13:58:00
mostlyc7-1408-45be-b6f8-1fd58e33f822,5,Igbo,motor,experience_at,words_or_at,caregiver_,joyful,"location, ",primarym_logic,age_months,Ifa h ,2024-05-18 21:46:00
mostly6a-74a6-4863-a542-b7ff0d33f1a1,12,Igbo,taste,2025 ,"2024-0.T69T,--0-00.2919,-04-10816,:00e,-0.1230.46,-0.09,14612,1.9020,-0.,105, -24,-.0695,-T39,29.0",: ,joyful,O,motor,: ,experience_or_tone,2024-08-14 16:39:00
mostlyd9-461a-46c0-9fbc-8eab6e28897a,3,Igbo,smell,:00,cultural,S_: ,curious,2024ing sTaes,"joyful-0.7,0.838.",2025_at,“:,2024-04-21 16:05:00
mostly7b-208d-4ab0-aa30-187654973b55,9,Hausa,language,Eaing inare.,", ",age_u,secure,: ,: ,", ",2025,2024-09-01 06:46:00
mostly3c-7e77-45e4-b1b5-dcecddc1b08e,22,Amharic,motor,primary_tone,: ,: ,curious,age_:months,"recorded_at agec”a withe, thenled.",Ifom”,: {,2024-09-27 21:16:00
mostly37-2c55-4899-bcd3-48d7b3381a31,4,Amharic,language,", ",: ,symbolic_months,joyful,S,", ",: ,T {-T,2024-08-05 18:14:00
mostlyf3-71f8-4fa7-a416-de27809788fe,14,Igbo,taste,"Caregiver, ",recorded_},location,secure,joyful_or,c,E,", ",2024-06-08 14:39:00
mostly50-d93c-47f2-b103-b76bea061f51,10,Zulu,auditory,: ,", ",recorded_months,curious,"S, ",Hausa,age_months,If tesinger:id b withes mal b,2024-10-31 17:55:00
mostly19-d20e-4959-8ebf-c363e76be0c4,23,Hausa,visual,cultural_language,experience_,: ,curious,“,":cultural-T-0.05907,-11.,1902, ",", ",symbolic ,2025-09-28 18:06:00
mostlyd3-9c77-4943-a075-41ae01ed373d,4,Amharic,tactile,experienceemotional_languageembedding ,: ,caregiver ,secure,symbolic_at,"}, {",If chertearingl  to ptspa withser.,infancy,2025-01-31 14:49:00
mostly9c-3317-4738-ad3f-53be451fe649,18,Swahili,taste,_”significance:,Yoruba,", ",joyful,: ,Swahili,neural_at_sounds,Infant,2024-12-29 10:47:00
mostlyd1-ddf9-4592-810d-e3dea8a5e607,5,Igbo,taste,If_r,", ",caregiver_embedding,calm,symbolic,2025,Ifcomk- bi.,: ,2024-09-30 13:13:00
mostly3d-4956-4d31-a742-1f503ef13ddb,7,Yoruba,social,-T0.55--0.,: un,caregiver_,playful,"Ifs.24,-2,0..6008,-0.",Yoruba,primary_,", ",2024-07-19 06:14:00
mostly37-d55d-4982-966c-d3a3b7e28f7a,7,Shona,smell,playful0.,}}}} {,Infant ,curious,recorded_ ,Ls buyatsentsesl,"ageTes::9, ",Caregiverlt p.8,2024-07-21 04:59:00
mostly75-3ee6-4296-986d-78df47c9e9bc,18,Swahili,tactile,", ","Infant,_",caregiver_r,playful,"Caregiver-o,0,-0.8,0.7749,0.1,.2.0,,-0.79,1.1503,0.",}experience_orp_,"Ifu bs t withr thenr,a” f toyyingd and,d..",cultural_sounds,2024-04-03 22:09:00
mostly07-0b69-4ac5-8aec-889765f9bbf1,2,Yoruba,visual,If: b0.,P ,neural-,curious,", ",", ",description,Caregiver b:00,2024-02-04 23:13:00
mostlyd0-9006-44d8-81ee-beda1bf629e7,0,Swahili,language,Infant-03 and.,R,: ,playful,", ","symbolicotonemcs, then b {",: ,-1405.,2024-03-09 15:16:00
mostly9e-93ba-4f40-b101-e6bbecd84490,15,Igbo,taste,}}} {culturalrecorded_embedding,},", ",surprised,}_embedding,age_,"caregiver, ",", ",2024-04-18 06:49:00
mostlye0-9010-4392-af64-d2a3dfdb8123,4,Swahili,smell,primary_tone,}}sounds,", ",curious,description ,caregiver“m_at,location,description,2025-02-27 21:37:00
mostly6a-72f3-4a44-99a0-c0e9531f62c4,5,Igbo,motor,: ,description,location,joyful,: ,"-, ",caregiver_e,symbolicage_at,2024-10-01 17:01:00
mostly03-79e5-4699-8194-35d2b27e94cc,7,Shona,motor,:om,P,location,secure,: ,age,experience_type,description,2024-06-08 18:17:00
mostly51-1597-442c-a674-4fb23546a713,0,Swahili,auditory,primary_language,T: ,"K_, ",curious,neuraldman.,experience_{,:a ,experience_interaction,2025-03-10 15:17:00
mostly59-618d-49eb-b1f2-847ca89b44af,15,Shona,motor,location,caregiver_sounds,words_embedding,playful,location,So.,words_months,age_If,2025-08-28 19:37:00
mostly87-969e-4f37-a9ae-026d6afceed3,9,Yoruba,social,neural_,_logic,_: ,joyful,primary_sounds,primary ,cultural_,: ,2024-07-18 15:55:00
mostly66-2cf8-45be-8457-da298fbafe42,15,Yoruba,language,neural ,"“}} b}-aor-0.8,0.05,0.48}.-07-0.305,-0.",recorded_at,playful,", ",symbolic_,P,"2024-0.9,0.,.8020.515239_,{08”0.669,-.13,,0.,0.98,0151617,1.6,0..22",2024-04-10 13:45:00
mostly66-e8ed-4d7d-a1bc-d43045487eb7,5,Hausa,language,: ,emotional_type,"2024,-0.18709-0.06812438,0.175,0.91.",secure,", un",cultural_sounds,primarysymbolic_tone, {,2025-09-05 02:25:00
mostly90-ad3b-4131-9644-91f8acf380c9,14,Hausa,language,"emotionals, ",joyful0.,: ,curious,age_tone,symbolic_ {,recorded_ ,O} ,2024-04-05 23:19:00
mostly02-f858-4af0-83ad-3e3d566d03c4,8,Swahili,auditory,curious,Swahili,Swahili,comforted,description ,: ,", ", ,2025-05-24 21:16:00
mostly40-237d-4acc-a59d-caa86d0da03f,1,Amharic,auditory,Ifedkt:00,{,", ",calm,R,: months,", ",symbolic_ ,2025-08-08 03:03:00
mostly22-bead-4069-9145-c0d6196db442,2,Hausa,auditory,Hausa_significanceiar,",-ing: ",cultural_logic,curious,C“”,age ,emotional_logic,{_,2024-08-03 06:52:00
mostlybc-a089-4a55-9009-079b447290f3,9,Yoruba,motor,age_at,"2024-01,-62.7592580,-0.6,-1.64-24T",“ ,secure,Caregiver ,,location,experience_language,2025-07-06 18:19:00
mostlyfc-6165-4103-a86a-66240cea8dbe,20,Yoruba,auditory,primary_months,} {,", {",joyful,description,cultural_language,primary_sounds,emotional_interaction: ,2024-08-06 03:51:00
mostlyf9-f31e-45a7-a2c7-da21f7c9d1f6,1,Yoruba,language,“,emotional_months,}descriptiones f g andeses p tolesingan.,secure,Hausa,S_sounds,secure7,}} ,2025-04-13 16:29:00
mostly1c-8779-4e18-a960-7a74ab164f34,22,Shona,language,", ","neural, ",experience_at,joyful,"Swahili, ","neural0.5,02",cultural,T ,2024-04-17 03:59:00
mostlye9-2ec5-4280-aa33-9d488330f82c,16,Shona,motor,Sdarya withd d a and and.1195-91.,: {,description,playful,:00,:,: ,emotional_sounds,2024-01-10 23:39:00
mostly1a-8667-4903-8525-1ca367d4ee75,2,Zulu,language,2024 {tone,infancy,T,joyful,experience_type_,recordedprimarylanguage_ ,S,cultural_embedding,2024-08-14 22:17:00
mostly0b-bbd4-40f4-a5f1-7f7a253b49f6,8,Swahili,visual,"2024-08-140.5.,-0.923,-0.084916,0.18,-0.14}6,0.27712, ",location,caregiveremotional ,curious, ,2024T0.,infancy,: ,2024-09-07 14:28:00
mostly80-b8b6-49f9-9829-f4c4027e2b2a,24,Hausa,social,descriptiond:Tar se”te dsbc.,Yoruba ,", ",joyful,primary_ {,symbolic,}}: {,: ,2024-03-03 07:32:00
mostly6d-472a-4506-bada-49b4338377f6,8,Swahili,taste,2024,", ",primary_type,calm,}} {,,: {,}}.,2025-07-03 22:05:00
mostly58-ed23-4375-ac46-58f5722508c6,16,Zulu,taste,,: ,“,playful,",0.26576,21.7.18,0.57.0529T4704939-",age_-},"Es,om:",{_,2024-05-11 06:25:00
mostly9d-0f2d-4b87-a8bc-036f565e46ef,0,Swahili,tactile,", ",description,: {,calm,"S, ” m ",experience_type,",-03 ",playful,2024-06-07 07:37:00
mostly31-30e8-4350-b421-c130edf0c034,0,Swahili,auditory,“ ,"curious, {",infancy,comforted,Ifd_,age_months,words_months,tactile,2025-03-14 07:50:00
mostlyc3-82e3-4774-99e4-8db57c8b134e,4,Swahili,social,neural_significance,experience__logic,emotional_months,playful,age_embedding,"“description and toedelian t withsing for, sy.",recorded: ,:00“,2024-11-01 04:39:00
mostlycc-4339-4f1a-85c3-01938b9d5471,22,Igbo,tactile,If,", ",experience,curious,: ,", ",: .,description,2025-05-11 02:13:00
mostly06-bec3-4c98-b38d-22c5369f9e87,24,Shona,tactile,c: 00,motor,"“, ",curious,", ",T ,2024_logic,emotional_,2024-03-12 08:29:00
mostly8f-2265-4284-b2d6-3e0273a18b7c,14,Shona,social,neural,"-T21-0.20715,0.1.838,-0.9520969,0.473,0.",Som-05-12tl.2,joyful,If ,cultural_months,experience_months_significance,,2024-12-29 05:01:00
mostlya9-c8fd-4f96-a8ec-5ffe88e321ab,18,Zulu,social,caregivercaregivera_- then,location,"Sinmedin,ingale ctfes de.”,-0.2.6265938.2419,0.81,-0.090616,-0.4,0.4638,-1.,5:00.63,-232,.071,-.1.",secure,description_: ,recorded_logic,"2025-23-06.47,116.779,0.",}-_type,2024-02-03 18:52:00
mostly56-940d-4c36-9a68-142663ee5faf,18,Hausa,smell,secure,_or_soundst,experience: ,secure,experience: ,:T8,R ,infancy,2025-09-14 02:29:00
mostlyc3-69d7-4d09-a05f-e1e0f181067b,6,Oromo,social,secure,“ ,"If,0.",secure,emotional_sounds,neural_or,"2025, ",", ",2024-02-01 12:59:00
mostly57-ba19-4f76-af9c-51271f9c2329,0,Swahili,language,",",If {,recordedsed,curious,Ifor h,emotional_tonees p,", ",: ,2024-08-24 18:26:00
mostly24-af9f-4982-8570-567aa962190e,18,Swahili,taste,: ,_type,: {,comforted,: ,"Igbo, ",", ",location,2024-04-15 11:14:00
mostly8c-c6e4-4709-9280-d373b6218a4c,24,Swahili,auditory,"motor-0.6-355_,T05,-0.9,081.8-024-0,0.02.185,0.,2002,1.1318,0.0-0.037,-0.0605.07,: {",age_months,symbolic,surprised,age_logic,age_logic,symbolic_logic,{,2025-04-13 06:49:00
mostly4c-7b88-45e1-8e17-f11ae00ec1d7,22,Yoruba,motor,cultural_at,_tone,primary_months,joyful,description,: ,“-a” i inuu ding marletho,recorded_typeT,2024-01-28 03:17:00
mostly11-5008-494e-a5d4-a1341cd57775,11,Hausa,tactile,",-T0.138,-219023 ",", ",} ,calm,: {}i,Caregiver_sounds ,2025,} ,2025-03-14 15:42:00
mostly22-19a0-4462-a693-65a5f5bb95cf,12,Oromo,motor,“Add.,infancy,If,playful,If p,age_embedding,emotional_type,}-0.36,2024-11-30 07:27:00
mostly12-4188-42b4-9904-c6036f8a1e84,7,Shona,motor,", ",,symbolic_ ,playful,neural_months,", {",", ",neural,2024-11-28 11:56:00
mostly14-8a75-471f-aa90-b45ebd07f6b4,20,Yoruba,tactile,: ,infancy,age {,curious,experience_:8,age_at,infancy,", typeesoor”_.",2024-12-23 16:26:00
mostly81-cebd-4c5a-ae3c-c6669616ca58,3,Yoruba,smell,", ",emotional__tone,experience_type,playful,description,"S,-0.9",Swahili0_months,"“eskala, ",2025-01-05 07:59:00
mostly44-63e5-4fdc-a4ec-a901d8a56383,1,Yoruba,auditory,: el_at,Infant,2024,secure,Swahili ,caregiver_embedding: ,primaryembeddingmonths ,experience,2024-06-24 19:12:00
mostly58-33e9-4822-91d1-19fba73f96eb,14,Swahili,tactile,words_,If,If_orat.,calm,playful-1.196.,"2024_logic,-0.",Ifin cas”,", ",2025-08-31 00:22:00
mostly47-3529-4a48-87ad-43de36a345c4,14,Swahili,auditory,2025,description,“Tf gataningen.,curious,agea,: ,culturallocation,cultural_significance,2024-07-21 23:40:00
mostlyfd-3217-4d74-93a6-dc5bdb20f208,12,Shona,visual,location,experiencetone,emotional__,comforted,", ",", ",neural_embedding,"Ifsts and”esw,0.,0.86,1.88,0..2459,0.13-1,0.17480,-4-0.9, 1.195,-1352:00",2025-02-15 00:20:00
mostly59-3ea3-4f1d-bc6f-773f9ea56f7f,18,Swahili,auditory,primary_language,joyful,:00,calm,location,"Caregiver,-0.729.8T104,0.900,-0.17,0.47,0..6,101,0.0356,,0.836758, then",", ",}experience_months,2025-02-04 23:19:00
mostly63-cbf6-4454-bc9a-78b7169319ae,15,Shona,visual,primary“} ,age_interaction,cultural__logic,surprised,: ,"“,0.6--5602,-.9,13,-1 ",_at,_type,2025-03-06 03:22:00
mostly84-c315-4962-90c7-36ec65dd1e54,24,Amharic,language,description,recorded_languageing,recorded_: {,joyful,"Kt, ",} ,"Caregiver pk sy p b., ",If a ,2024-07-17 23:42:00
mostly2f-1955-4cbf-82f9-314fe2602ff3,20,Hausa,taste,symbolicneuralom {,_sounds,C,joyful,", ",age_months,"Ifrs.,T00",cultural_,2024-05-10 11:16:00
mostly40-e897-4012-b508-7ef6cc382404,6,Yoruba,motor,: ,"caregiver:, ",cultural_type,comforted,: ,"2025, es“",}: -,", ",2024-09-06 20:32:00
mostly3a-9c3b-456f-b1e3-53e3e1a4ef5e,20,Yoruba,language,2025-,recorded ,age_embedding,playful,location,recorded_tone,caregiverTat,description,2024-08-10 22:16:00
mostlydc-791a-4455-9f59-4a167cf23f98,20,Yoruba,language,T_or:,"202408-,-T1223: ",2024_s,curious,"T, ",Ifl,: ,"experience-00.1939,0.340172,0.96,0,-0.07, ",2024-06-25 19:56:00
mostly34-35c6-4bcd-ab6d-4abea1725bf2,9,Swahili,tactile,C,",, ",202500,calm,: ,", ",emotional_logic,A_sounds,2024-02-15 01:46:00
mostly14-322d-4e7e-bfab-37a8d63caeb0,22,Hausa,motor,"2024,0.82304087-0.",emotional}-17.,":-0908ing-0.116, ",joyful,F ,", ",}_s,location,2025-06-29 12:05:00
mostlyf5-de45-4387-98a4-d08cfea542bd,12,Amharic,smell,: ,If:00,infancy,curious,},Caregiver_logic,auditory,: ,2025-05-14 05:47:00
mostly30-4966-4de5-be1b-814f1d24134f,10,Igbo,visual,auditory,location,,curious,emotional_months,words_cultural,,,2024-05-28 21:12:00
mostly77-eabd-4d94-9d59-246426deace1,12,Amharic,visual,T_l,: ,{typeorlanguage,secure,", ",“recorded,curious,"A,e then andonbinging f m a chse btlees.t f,ingedi.",2024-05-29 17:01:00
mostly73-de74-45fa-99ac-dc5673a1a0c0,1,Yoruba,visual,age_type,{,If_language,comforted,Caregiveromes ,"}, ",caregiver_at,“_,2024-08-29 04:04:00
mostly92-4089-4003-abf3-7426a28cbe71,24,Oromo,social,experience_significance,"Apm.1.23048,0.",emotional_or: {},curious,,F,caregiver_,caregiver_sounds,2025-01-08 16:11:00
mostly93-f24c-4e5b-9908-e03f4bd8ab84,8,Swahili,auditory,recorded ,}} ,experience_type ,curious,,"}“o fh, (ed",neural_sounds,"Snk- p c sts p f”ses, k.",2025-07-22 13:46:00
mostly3a-96c0-40a2-8f03-a9d85b2df69e,15,Shona,social,Caregiver isa c mr.,secure bfd c”.,emotional_type,joyful,", ","Yorubadomk, ",curious,symbolic_language,2025-02-28 14:55:00
mostly5c-0c17-48ab-a9ed-9e8d539c1556,13,Zulu,auditory,If.,emotional_tonetype ,} ,curious,location,", {",caregiver_interaction,primary_tone,2024-01-05 05:14:00
mostly56-7574-4ac9-8b50-78d88de4fa00,10,Oromo,motor,ageIficae f donues., ,"“asitu st, ",playful,"IfTf,","2024TT, ","If--T14,-060.16,-1.14,-120.0.15,,191.64",If_,2024-06-12 04:27:00
mostly75-50e8-425d-a1ce-ee32532839ab,18,Yoruba,taste,If ,K: ,primary_language,surprised,",-103.823.,1.04557,-0.45",S,“.,recorded: ,2024-01-04 08:39:00
mostly16-8220-4336-a72f-07e3e77e105b,0,Swahili,taste,C b.,emotional{,{recorded_toneesounds-ky”.,comforted,infancy,experience: ,symbolic_at,P ,2024-11-19 05:01:00
mostly23-faa8-4328-b2be-225613ab91b4,7,Yoruba,taste,", language",: ,experience_ ,curious,: ,2024-14 {,descriptionserkoedars.,: ,2025-04-05 21:27:00
mostly8a-5d3c-4e83-9535-05c0a8333405,15,Yoruba,smell,", ",R_interaction,"neural_, ",joyful,", ",“_or,},Caregiver_or,2025-08-20 07:46:00
mostly49-9b7f-4142-8653-7e436eefc06f,20,Zulu,tactile,Orecorded ,curious ,symbolic_at,curious,: {,", ",experience,_,2025-01-24 22:51:00
mostly0b-0475-4233-b8ac-3762da76d312,20,Oromo,language,"}--015.241,0.15130.4608,,0.70,0.614,-0.2,-0.6046,0",primary_,neural_,joyful,“_s,“ ,words_or,ageing,2024-09-14 10:39:00
mostlyb5-a4ac-45b5-927e-e4c175e38dbb,24,Shona,motor,}}_language,"“, ",: ,playful,locationtype,_or_neural ,“ Iank bar and in f.,A,2024-02-08 02:13:00
mostlybb-3565-44a7-94e5-37673095f9ad,0,Swahili,auditory,primary_,secure,infancy,joyful,OTia”aler withingal ande,: ,", ","infancyaer ta,e t.3: ",2024-10-19 16:13:00
mostlyc0-a5d4-48bf-96e7-5a38c51bbbb5,6,Yoruba,visual,K{,", ",", ",curious,", ",C{ ,"O-0.,1.",: ,2025-01-28 16:16:00
mostlybc-04d7-42d7-8507-a3a759fb2168,10,Zulu,tactile,", ",R,symbolic_at,curious,_sounds,: ,"S, ",: ,2024-01-09 23:03:00
mostlydd-e647-4148-9719-005b7cbad04d,16,Shona,smell,A,primaryinfancy,"-0.04,1.30,-0.273,0.15,-0.9.68",joyful,joyful,"C” andruingonrere and and to s, thenan ine: {",_ ,",sounds {",2025-01-28 11:59:00
mostly11-9c66-40d2-8f2d-b9733aa31374,10,Shona,motor,“kess ta btts to pt f” sedt.,If_language,If,playful,auditoryt,"recorded, ",", ",neural_logic,2024-08-26 15:37:00
mostly9c-ba2b-4165-9368-1bd23427a1d9,8,Swahili,motor,infancy,“ ,experience_months,comforted,",  {",“tone,Infant.,recorded_significance,2025-01-28 16:29:00
mostly97-dae0-40b9-8061-b6ecd75403f0,4,Igbo,language,curious,primary_logic,S_d,playful,primary_or_interaction,", ",cultural_significance,If_tone,2024-05-27 06:12:00
mostlyb3-d2f6-4ab8-9ef8-94867509fe1f,2,Yoruba,smell,caregiver_interaction,", ",: ,calm,", ",Lokhwlrl as.,location,"recorded2024-07T,2.",2025-07-06 08:20:00
mostlybd-e9cb-49c2-a68a-0527a309d2c4,12,Shona,smell,2025 ,"Caregiveres-.12,-17_sounds7",Caregiverp-sd”.,secure,joyful.,description_,},",-T.3 ",2025-08-31 00:13:00
mostlye5-e023-4e16-95e3-6687dc134246,18,Swahili,tactile,neuralm {,If,T.,calm,descriptionmonths,", ",infancy,", ",2024-05-28 16:24:00
mostlyaf-b6db-4c4a-ac7d-6f2011359990,16,Oromo,smell,“ ,infancy,emotional_tone,playful,experience_type,{,"Caregiverpom ines, ",", ",2024-03-14 07:18:00
mostlyeb-f59b-4d1f-81d6-0eb092ca9712,20,Yoruba,smell,: ,"recorded_significancesearminge,: then d.0.",}orinfancy,calm,P and-08 thenTthing ,age_months,: ,"c,1.",2025-02-20 19:13:00
mostly4b-b1b3-4ab0-822c-1f5b09ecf069,5,Hausa,motor, ,words} ,symbolic: ,secure,primarymonthsd {,neural_months,: ,"Ifov t-m-.1212, tes",2025-06-06 20:42:00
mostlyfc-766f-4306-a5d7-9665dd9ba997,9,Yoruba,auditory,"age., ",“ ,If,calm,", ","Ifom hoer,-0.5,-0.",primary_months,: ,2024-03-08 21:14:00
