id,age_years,primary_language,domain,description,problem_solved,approach_taken,collaboration,impact,expertise_demonstrated,location,symbolic_logic,wisdom_shared,neural_embedding,recorded_at
mostly4b-c618-4387-8fae-582fa3cf3ac9,58,Oromo,technology,:.,innovation,",.",", ",", ",leadership,adulthood,domain,2025,", ",2025-08-04 17:58:00
mostlydb-8127-4bf7-a69f-cb015816d605,57,Oromo,leadership,", ", ,symbolic: ,innovation,description,leadership,F,recorded_embedding,domain,approach_language,2024-06-16 17:37:00
mostly59-7adc-45df-b43f-602d42b42e47,34,Yoruba,innovation,: ,"A-0 to_,-1%,10.0.20552, with ",expertise_embedding,,approach__shared,technical_skill,expertise__demonstrated,2024.8,domain,S,2024-03-26 18:09:00
mostly20-2e3f-4abe-a104-033225034329,41,Amharic,innovation,wisdom ,"recordedproblem-solved0.9, ",impact,: 5,approach_ ,vision,", ",O leaders s,-,expertise_shared,2025-02-20 13:14:00
mostly55-b3fa-4345-888c-577bfd05d0c7,42,Swahili,entrepreneurship,",-.",leadership,Partneredinged withedal ,problem,expertiser ,innovation,", ",", ",,H_embedding,2025-08-10 09:08:00
mostly60-921c-4daf-bab4-e84165bdc2b2,27,Zulu,healthcare,wisdom_years,C in_logic,description,collaboration,technical and,empathy,}_logic,neural,: ,"adulthood,",2024-10-19 07:39:00
mostlye5-6c67-48d4-ab10-fefb7cafc915,41,Shona,technology,problem_years,If s withmyal.,strategicruinged p.,leadership with-s.,recorded: ,innovation,location,technology,adulthood,"Worked, ",2024-06-03 22:44:00
mostly46-221e-4803-9c4a-b7b7db6bb291,27,Oromo,governance,primary_at,collaboration,", ",", ",recorded_years,strategic_thinking,B ,A-.06.0.,"neural} and s,s04e with p.",}} {,2025-02-17 17:43:00
mostly58-65a6-49f5-a744-01fa0baf05a1,33,Hausa,technology,symboliccollaboration, ,collaboration,"2024-0,0.,1.106-0.",: ,leadership,approach_embedding,location,"Staral_atagree_solvedast, ", {,2025-02-05 03:07:00
mostly5b-1aaa-4f7f-a86a-d70b42c8770e,36,Oromo,governance,_taken,recordedc:: with ,age_language,collaboration,S ,technical_skill,description,", ","expertise_, ",S,2024-06-18 22:28:00
mostlyca-4766-4864-a14c-6286deafbdd1,42,Amharic,healthcare,2024_demonstrated, ,2025 ,location,description,leadership,primary_solved,: {,Worked_taken.,: ,2024-03-16 23:00:00
mostlyf5-7ed0-4e68-ad52-4b4976cd0532,61,Oromo,leadership,primary_embedding,expertise_: ,: {,D{,impact,leadership,_at,"Ced,  withm at to sting ander.","Amharic,0.",", {",2025-09-02 12:19:00
mostlyf0-7cc3-4fd7-9b40-e0f91f52d757,54,Amharic,technology,: ,neural_skill{,", ",wisdom_,,technical_skill,expertise,"-_0.4,","innovation, ",: {,2024-04-03 20:01:00
mostlyd6-0fcb-4e57-98b4-602a43e152f7,45,Igbo,education,A,leadership,", 3: ",: ,age_problem_shared,strategic_thinking,primary_age,A,}{,: ,2024-05-08 10:09:00
mostly54-2ecd-47da-8411-c513c5e36ee6,24,Zulu,agriculture,: ,recorded_taken,", ",neural_embeddingr,L_sharedtaken,empathy,S ,: ,O,primary_taken,2024-04-05 11:08:00
mostlyd9-e471-4986-b02e-5eb563f66c40,41,Yoruba,agriculture,expertise_skill,P ,:} {,expertise_demonstrated,"-0.236,:00431, and.",strategic_thinking,impact,leadershipsharedi,approach_taken,A,2025-03-22 17:52:00
mostlydc-98a8-4236-adec-220b2a9a4d32,39,Igbo,healthcare,"wisdomexpertisei0,-.05,, ",neuralar {,2025-0.,", {",Amharic,empathy,primary_shared, ,neural_solved,H ,2024-01-12 10:15:00
mostlydb-00c2-4d13-ac7b-9fa7e5397c4c,52,Amharic,governance,symbolic_language,", {",impact,impact,", ",technical_skill,"La, ",", ",P,,2024-10-09 02:30:00
mostlyd4-c59d-4791-8912-d7df71a5d798,50,Swahili,healthcare,: ,age_at,symbolic,: ,},leadership,D_logic,",",", ",C,2024-02-18 12:07:00
mostly12-bb16-4838-a30a-ddf1e672500b,35,Swahili,governance,adulthood,"2024, ",strategic,symbolic,M0.{,innovation,: ,location,wisdom,", ",2024-09-05 09:11:00
mostly0f-3806-41e3-8770-7a2746a00fef,48,Igbo,education,},wisdom_logic,", {_0.",", {",",-at.",technical_skill,expertise_language,,2025_logic,age .,2024-10-28 02:54:00
mostly1d-956c-484e-8699-f382ba97155d,29,Oromo,agriculture,"2024-1-0.22,- ",collaboration,: ,A- and0.,: {,strategic_thinking,"O1.4,.",collaboration,", ",descriptionei.,2024-04-12 20:41:00
mostly76-90de-46b8-960c-6c0270ee4581,28,Amharic,healthcare,}},A,"leadershipa,-07.",: ,expertise,empathy,-0.,age_embedding,P.,recorded_eyears,2025-09-27 12:51:00
mostly3c-3af2-4ee4-b2bd-a6ad6fb00250,60,Hausa,agriculture,"description, 3",primary_,",",S,wisdom_at,strategic_thinking,C_sharedyearser_,: ,", ",2025_embedding,2025-07-06 07:26:00
mostly7e-722a-41ba-b7a2-727d670bde26,26,Amharic,education,},adulthood{,St andg-it.,2025}_embeddingor,S f,strategic_thinking,collaboration 3,: ,impact,: ,2025-01-21 12:55:00
mostly2b-072a-4249-9a5b-586bf7158c3e,28,Swahili,entrepreneurship,", ",M,", ",2024,", ",empathy,: ,"recorded, ",D,P_demonstrated,2024-01-10 01:09:00
mostlyd4-c2b9-49a0-83ba-4950120d134d,44,Oromo,education,"L,-T1108.68,08 ",", ",recorded_logic,descriptionn,"recorded, ",strategic_thinking,: ,approach_taken,expertise_demonstrated,"2024b- mps,.",2025-09-27 12:51:00
mostly29-a831-4d13-9d8f-4a6b7b6262bb,34,Oromo,leadership,-,"2025,- ",C ,domain,}description--0.,leadership,symbolic_logic,", ",symbolic_taken,wisdom: ,2024-12-07 16:36:00
mostlyd5-b657-4199-8913-57c84bc4f1a1,31,Amharic,healthcare,2025_skill,location,", ",description,domain,technical_skill,:,symbolic,domain.,problem_shared,2024-01-07 18:58:00
mostly38-0031-4c76-99aa-38547884347b,41,Igbo,education,}demonstrated,description,", ",: ,:,leadership,D,problemT-dT1,: {,wisdom_at,2025-08-24 01:50:00
mostlyf9-77a3-4a1d-bdff-ae7e0af82ecc,36,Swahili,governance,2024}es withs-1 in.,impact,: ,: {,: ,strategic_thinking,recorded_demonstrated,": arp anda,-cost.%4, Nigeria",problemyears,"Rabc, not andyp.",2025-09-07 20:06:00
mostly80-6f73-4e1d-9134-b922fcd12718,29,Amharic,technology,", ",: ,: ,leadership,", ",resilience,approach_logic,"primary, ",,recorded: ,2024-07-17 00:16:00
mostly06-0ecd-49fd-8ea2-d6b328748bf0,60,Amharic,governance,: ,Worked,approach_embedding,wisdom,: ,vision,2025: ,_,A_shared,", ",2024-07-09 21:25:00
mostly8a-a9a4-4831-995e-f7fd8eb35d3c,64,Igbo,education,O,impact ,problem and,"}-0.89,-.40.6,- Nigeria1.",wisdom_-,technical_skill,2025_logic,domain,"Lor-c and s.14,26,-0.26.",: ,2024-11-19 12:55:00
mostlye7-d9cb-434b-b216-f1c6b172ec02,40,Shona,healthcare,problem_taken,: ,S,S f,", ",leadership,A-0.,", ",problem_logic,: ,2024-06-08 14:39:00
mostlyba-e9f1-477b-b316-e0f86bcfa571,34,Swahili,healthcare,"A, ",symbolicproblem_demonstrated,: ,} ,"-0.73,0.0.},-0.",leadership,approach_taken,,: ,wisdom,2024-08-14 00:27:00
mostlyc0-1b0b-43a4-b0ea-4a96cb038a5d,24,Amharic,innovation,Average ,recorded_: ,: ,,C ,technical_skill,", ",: ,expertise_demonstrated,- _solved,2024-03-11 07:13:00
mostlyfd-4fdb-4c0e-9a55-68e399998534,54,Igbo,innovation,: ,2025_shared,",",2025_embedding,location0s.,strategic_thinking,impacte_embedding,", ",Duanaroral ining tolmreatoal.,approach_languageers,2025-02-11 16:41:00
mostly1d-69cb-48c1-a7f8-a7055e080b78,38,Shona,technology,recordedexpertise0.,impact,"wisdom_,2",: ,Worked,leadership,: ,} ,approach ,S,2025-08-08 05:58:00
mostly50-1494-4abf-872e-42321e9c2836,38,Yoruba,innovation,-0.,: ning,C withales.,domain,Swahili,technical_skill,If,primary_at4:00,,P,2024-02-04 22:32:00
mostly7e-41bc-461e-ba96-8349b10edd2b,49,Oromo,governance,adulthood,S_,primarywisdom,Average,primary_demonstrated,technical_skill,location,approach,expertise_at,", ",2024-10-18 04:13:00
mostly9d-4d74-4e78-b2ca-0be780c5c1bc,29,Hausa,entrepreneurship,technical,domain,wisdom,P..,adulthood,strategic_thinking,description,approach_shared,: {s.,: {,2024-01-04 00:19:00
mostlyb8-e01b-48d8-8dbc-da7853659570,29,Amharic,education,problem_,"2025, s0.",locationersng ,collaboration_years,",0.59,1, {",technical_skill,"R c, ",expertise_years,primary, ,2024-11-27 08:41:00
mostly78-c07c-4fa4-8e49-f3174bac9b27,42,Zulu,governance,R {,"-0.,-1.662,-.8-0.997,-206-08: ",wisdom},B ,impact,strategic_thinking,",expertise",F_at,age_language,collaboration,2025-09-27 12:51:00
mostly84-833b-408a-8329-a76ad4ca5c8a,63,Zulu,governance,domain,collaboration, ,: ,",1--1..",innovation,collaboration,: ,: ,impact,2024-09-09 18:01:00
mostly86-42b1-4b85-a1bb-eb1dbe7abe8c,36,Shona,innovation,",_solved","Ifa.:00, ",: ,neural_years,impact,vision,A_shared,2024domain,C,P,2025-02-01 00:51:00
mostly24-c4fb-45fe-9a76-cb42a34dacda,42,Oromo,leadership,problem_p,", ",: ,recorded_logic,age_taken,leadership,technical ,description,2024 ,2024_language,2025-05-23 01:21:00
mostlya0-0173-4fc8-9e9b-be6f21afb834,24,Zulu,entrepreneurship,",_logic",},neural,A {,symbolic_logic,vision,", ",R_at,wisdom_logic{,collaborationi,2025-04-14 10:01:00
mostly0c-95c6-4de9-8d91-37b306fccc23,22,Zulu,agriculture,", ",Worked {,: ,: ,description,vision,"expertise}1.09,03.60503,-01.","S canoriedinges.a81 and9.47,1.0,-T11.8735,0_1, Ethiopia1074,71.",expertise: ,location,2024-10-03 12:51:00
mostly12-8e30-4860-bb9a-d96bf8d8a0da,24,Shona,agriculture,expertise,",-1...0.036,-90.--8.4203, ",Amharic,S,recorded_d},technical_skill,wisdom_embedding,_shared,collaboration,P,2025-09-27 12:51:00
mostlyb2-9fa3-4634-900a-f9c4f5b09216,40,Igbo,governance,neural,primary_years,"2025_,",Worked,-,leadership,"Con1, ",problem_logic,problem_at,symbolic_demonstrated,2024-05-22 02:21:00
mostlybf-4956-4ced-82e1-e284f3df6aef,45,Amharic,technology,wisdom,wisdom_shared,problem_shared,", ",approach_embedding,vision,": oan,_taken--0908.:0.",_at,description,neural,2024-10-27 23:43:00
mostly7a-ec0a-40b2-853e-ab1abe4fe9dc,29,Swahili,technology,primary,: ,",2-0.",: ,,leadership,approach_shared,symbolic_demonstrated ,neural_shared,"leadershiped,-0.817,0-0}1919.06,-0.35,.",2025-02-28 18:29:00
mostly57-ba46-4a68-8882-be790c513c86,29,Zulu,healthcare,description ,"recorded, ",location7,",-",recorded: ,technical_skill,C ,"age, ",primary_demonstrated,",",2024-02-17 21:15:00
mostlyd5-49ea-42fb-842f-3920d7c40d38,52,Zulu,innovation,age_-e,In,A9,wisdom_shared,"20250,_104,30378,-0.",technical_skill,: ,,",",recorded_language,2024-07-17 06:02:00
mostly3a-9f19-4dc3-ae59-e3f00cb3969b,45,Amharic,governance,collaboration,problem_} , ,wisdom_shared,: ,strategic_thinking,description0 ,age_.,Metan- cingor;seer-.,wisdomeored withper bes.%al- and.,2025-06-24 05:43:00
mostlye5-fae2-487d-9ec3-9969b7659c76,51,Hausa,governance,collaboration,approach_demonstrated_demonstrated5,", ",problem_description,2024ban_embedding,strategic_thinking,domain,"Syears- f and bita to per,-0 for.",approach-years:_t,neuralat,2025-09-27 12:51:00
mostly1f-6daa-4710-86d8-a2280163373f,33,Igbo,innovation,", ",collaboration,adulthood,", ","recorded 5a, ",empathy,: 3,recorded_,Partnered ,",0.",2024-04-01 11:18:00
mostly92-0ed8-45a3-a946-e67db77a7897,48,Shona,entrepreneurship,: ,location,If_solved,Pr1.,symbolic ,innovation,: {,", ",R.,age_neuralsolvedo,2025-01-27 05:43:00
mostlyb2-e87c-43a8-bf34-586b1ca04b77,45,Zulu,leadership,",_at",":age,-0.5.7,-150.,,--0.1619748,0.3,0.7, and08,0094,-0.",: ,", ",collaboration,strategic_thinking,: ,2025,problem_language,: 2,2024-02-17 02:46:00
mostly81-be54-430a-8874-d53074a8bccb,33,Oromo,governance,: ,", ",recorded_thinking ,: ,Dt med.,innovation,impact_,problem_years,approach,collaboration,2025-02-20 14:07:00
mostly02-7e48-405a-894a-ae511bf7d8df,35,Amharic,leadership,: ,impact,"L, ",_language,", ",leadership,"R05erersc--0.78,,T123.,,}.",A,location,: ,2024-07-20 10:57:00
mostly44-427c-4445-a311-77d6a8695903,31,Amharic,governance,adulthood,", ",", ",,",-0.106,2 ",vision,-07 for_taken,neural_: {,description,},2025-05-24 00:46:00
mostlyc6-7b00-4409-ac82-8f2d3712d072,38,Hausa,education,2025,problem with,neural_,"Oed;-1._yearsa;,-.:,,, ",leadership,vision,problem with ,approach_or,problem_embedding,C0T:0.,2025-03-24 07:04:00
mostly8b-ec28-42da-80e2-1d4bc03e7e59,31,Swahili,innovation,2025_solvedlanguage,", ",impact,expertisedemonstrated,"-: 51,0 and",empathy,impact,D,expertise ,: ,2024-03-02 07:02:00
mostlyb9-0ea5-4f94-8574-1efcfe1f850d,65,Zulu,leadership,", ","symbolicM.,-0.",: {,impactc,: ,innovation, ,"0-}-18,01.34, ",M-_solved,"}, ",2025-08-07 14:44:00
mostlyfd-974f-40f7-867d-51b5854f7e9e,43,Zulu,entrepreneurship,domain,location,}}: ,S,problem: ,empathy,: ,", ",impact,symbolic_taken,2025-03-03 22:10:00
mostlye3-0d27-4334-b4f9-458dbb050ad3,35,Igbo,agriculture,symbolic_,: ,", ",technical ,wisdom_demonstrated.,innovation,Aing ,: ,,wisdom_,2024-01-23 18:00:00
mostly1d-454e-4ec0-a2ee-aeda81a19ca3,39,Zulu,entrepreneurship,wisdom_embedding,In,},problem_taken,", {",leadership,-0.,", ",neural: ,", ",2025-03-02 05:03:00
mostlyc8-0920-4366-adae-49506342e9d1,65,Amharic,agriculture,problem_D,A ,: ,expertise_logic,2024-0 ,leadership,", ",description,approach,neural_taken,2025-09-04 12:48:00
mostly17-e413-43f2-ac57-b49c988f62fd,41,Yoruba,technology,domain,: ,wisdom,2025-11::.,adulthood,technical_skill,collaboration,D.,", ","Src se;in singing; f bya0 to.s, 3 a",2025-01-31 11:55:00
mostly64-fdb1-4841-8f5c-eff114fda865,31,Swahili,innovation,problem_taken,location{,: ,impact,L,vision,: ,Averagee,M_language foredt;it aer dres, ,2025-03-19 17:57:00
mostly33-3fc4-4d8d-a14c-062091e2c760,22,Amharic,entrepreneurship,: ,", ",A,2024_languagetaken,: {,strategic_thinking,Mt: ,"}-082ed, ",symbolic_taken,S,2024-04-23 14:44:00
mostly24-b629-443b-9dc0-57576bab0d11,44,Oromo,healthcare,"P ins,0.1300",neural_.,: ,", ",,leadership,_logic,wisdom_at,approach_yearsro,: {,2025-09-27 12:51:00
mostly3c-e291-4637-8454-00dcc775cde2,33,Igbo,technology,location,approach_embedding,primary_logic,impact,2024__shared,resilience,},R0,,wisdom_embedding_1shareded;er.,2025-09-27 12:51:00
mostly10-65d1-4e02-9239-3c91514b68d2,24,Yoruba,leadership,: ,", ",", ",2024: ,", ",technical_skill,Partnered_demonstrated,approach,approach_demonstrated,: ,2024-03-03 12:12:00
mostlydd-b55d-4266-b001-792f9d993aed,62,Swahili,governance,}_years,: ,symbolic_shared,domain,impact_taken,vision,neural_logic,,2024_shared,: ,2025-08-17 10:51:00
mostlyc3-30ca-403d-b281-e253d3d99889,48,Amharic,leadership,If,expertise,S,", ",U: ,vision,Ce ,Worked s-altped withal andn.,expertise_solved,If,2025-09-19 09:03:00
mostlycb-760c-43c5-a01f-af7a12495bb9,47,Igbo,leadership,", ",P,Amharic,location,expertise_years,technical_skill,impactetshared,collaboration_solved}: ,technology,adulthood-,2025-03-27 18:35:00
mostly2b-86e2-4f70-8710-e8309f8b73c5,33,Yoruba,education,: ,: ,impact,2025 andat,: ,empathy,"2024-0.4074, ",domain,collaboration,C.,2024-01-27 21:41:00
mostly42-f738-4dad-a0ec-bf78687edd23,41,Oromo,education,description,expertise ,2024 ,adulthood,: ,innovation,expertise-0.,_shared,neural,}_language,2024-01-31 08:15:00
mostly3c-6a9e-4d66-abb1-d79254adea33,48,Igbo,innovation,location_taken,: ,"}--0.{,0T1",collaboration,recorded ,leadership,technology, ,2025___taken,: ,2024-05-11 07:50:00
mostly9f-52d9-4621-ae92-4f47bd2fc06f,44,Zulu,agriculture,wisdomCat,", ",: ,}_demonstrated},domain,technical_skill,": 5,0 ",innovation,expertise_shared,: ,2025-03-19 13:38:00
mostly1c-34b1-4f84-8a21-2cb7bbfb5114,39,Swahili,governance,M ,: ,", ",A- with.,entrepreneurship ,leadership,: ,,"expertise,- with","wisdom,_demonstrated",2025-09-27 12:51:00
mostlyd3-549f-4077-93f9-aa0cd09401f2,36,Swahili,leadership,recorded_taken,A.,primary-: ,: ,wisdom_shared,innovation,impact,", ", ,If,2024-02-01 10:12:00
mostlye9-59aa-482c-a6da-f5229a5c0371,26,Amharic,education,neuralT: ,expertise_embedding,domainsolved,neural_logic,neural 3,leadership,} ,location,strategic,R in,2025-09-12 01:43:00
mostly77-7dc6-4397-8a1a-a87b885732f0,38,Zulu,technology,technology,", ",collaboration,approach_demonstrated,:00,empathy,2025demonstrated,L_demonstrated,wisdom_logic{,,2024-09-05 10:11:00
mostly74-6528-4321-951b-87939da106e6,62,Shona,governance,expertise_logic,2025_-_logic,_at,"An f,",,leadership,Amharic,approach,D_embedding,A-_at,2025-04-22 14:21:00
mostlydb-2188-451a-a848-d59cabc0e742,50,Yoruba,technology,Worked_logic,0 to1 p tofers0.,"L0.143110-37,0.34, Ethiopia15",leadership,collaboration,innovation,O,A_at,:-0 ,,2025-09-06 08:38:00
mostly16-07e4-4b8a-9b32-2ad661f58f49,33,Igbo,governance,approach_at,"}_,  ",: {,expertise,primary_solved,technical_skill,impact_taken,adulthood,Amharic,", ",2025-06-17 08:03:00
mostly06-dc26-4d5f-afc0-d2b7b82b1e72,24,Swahili,education,expertise_demonstrated,collaboration,domain,2024,location,leadership,If_embedding,expertise_-3 f,adulthood,,2025-04-23 22:08:00
mostlye5-2e45-4677-9f1a-60c74e56855d,29,Igbo,healthcare,strategic_embedding,recorded_logic,neural_shared_at,: ,age_logic,empathy,: ,adulthood,symbolic_at: 3}_sharedT00,: ,2024-08-06 14:56:00
mostly65-d8b7-4c38-b6d6-e563c05d80ff,44,Hausa,healthcare,", {",,: ,"A_m f f andrep andt b.1,-01.6,-0.83, ",expertise_years,leadership,symbolic: ,A,impact,: ,2024-04-02 12:28:00
mostly73-ca15-4213-b5e2-245f1f09fe52,63,Shona,entrepreneurship,problem_solved,wisdom_logic,primary_languagee_demonstrated,Ae- p m,age ,strategic_thinking,problem_solveder,problem_demonstrated,adulthood,:} ,2025-09-24 01:36:00
mostly44-a3b5-41d5-8437-4fdc3c752bce,33,Igbo,education,: ,: ,age_logic,innovation,", ",strategic_thinking,: ,collaboration,2025_demonstrated,", ",2025-09-27 12:51:00
mostlyd2-0a28-4edb-a11d-51ecd5f84a10,45,Amharic,education,recorded_embedding: ,: ,Worked,: ,neural.,vision,"} {, ",If_demonstrated,,0 {,2025-09-09 08:51:00
mostly0b-cd15-4581-bb7e-45486dbbd791,44,Shona,leadership,B with,problem_logic,: ,B-01eT: ,: ,leadership,expertise_demonstrated,0%,domain,collaboration,2025-04-16 02:33:00
mostlye2-05cd-46cd-906a-b92d6b5f1a8f,27,Amharic,education,: {,collaboration_,: , ,}} {,empathy,symbolic_logic,neural_sharede,: ,"wisdom_logic:5, ",2025-09-27 12:51:00
mostlyf5-66d3-44ca-83b5-e2b0afe124b3,60,Amharic,governance,} ,Fc ,wisdom,primary_solved: ,D,vision,"If0., ",: ,_embedding,"Rer toor sta,- toing fed and b s to.",2025-02-20 15:54:00
mostly38-9b6f-4b0b-92bc-829f428e72a2,65,Zulu,governance,age_ with,locationer toter andi.,Mr-atal forglepationt to.,collaboration,", ",vision,wisdom__solved,", ",approach_language,Latan,2025-05-13 16:03:00
mostly05-aef5-4856-8a36-a117eccaaea3,36,Shona,technology,: ,: ,adulthood,_embedding,} ,empathy,location,problem_logic,domainial,", ",2025-04-11 12:55:00
mostly68-8e90-4d07-8d2d-7491f04bee0a,33,Amharic,education,} ,": 8ed b,-0.",symbolicyears_shared,"neuralembeddingitp p fles f in withingmeers;erers. with b,0.4,1.2,-0.523052-}1.00,3223:28, and ms f bs3; and%.","age,-2",technical_skill,: ,expertise_logic,Worked,Amharicsharedyears,2025-01-28 01:51:00
mostly19-b1d6-4ad7-bd91-1e7f1a0157d4,38,Oromo,governance,He fta,2025,description,impact,symbolic_Ter_erembedding,strategic_thinking,", ",wisdom_taken,expertise_demonstrated,F,2024-11-11 15:23:00
