id,age_years,primary_language,activity_type,description,lesson_learned,social_context,proverb_or_wisdom,emotional_development,location,symbolic_logic,developmental_milestone,neural_embedding,recorded_at
mostlyb1-dd3a-44e7-bcf8-1b6932a06a6b,6,Igbo,storytelling,developmental_,symbolic(_context,activity_language,Zulu,confidence,play{_development,H_milestone,learning.,age_years,2024-08-07 07:52:00
mostly05-786b-4efc-9328-4baf5b7a55fe,12,Igbo,physical,Amharic_embedding,age_learned,lesson_logic,: ,resilience,: ,: ,Hausa,location_at,2025-06-24 04:42:00
mostly1d-5175-4e3c-8f99-58718e1e89a9,4,Zulu,game,"symbolic_orwisdomen,-1.0504, ",}emotional_years,"2024-17.TT.8T, ",If,creativity,symbolic_types,recorded_as,lesson_years,2024-07---1.,2025-06-25 15:31:00
mostlyf5-ac30-4a93-9112-3e355d335287,12,Amharic,cultural,activity_type,",-1.67026,2.812560.",description,age,respect,primary_language,C_language,emotional_logic,If thes pes p the,2025-09-27 13:04:00
mostly5a-1b67-41b1-ac0b-42f5abedbd40,8,Igbo,physical,"H_ f-, ",lesson_learned,N ,age_ {,resilience,activity,"emotional-0.62230,0.85, then1.17304,-0.6307,-052,1.6,0.4717",childhood,2024-,2025-04-19 15:06:00
mostly95-0c84-40b4-b245-fffe820f169c,9,Hausa,learning,} ,age_learned,respect,lesson_ the,curiosity,location,lesson{,description,I_at,2024-06-04 18:00:00
mostlyce-34f4-4ac6-b573-1770a3ff3742,11,Swahili,storytelling,-0.,: ,emotional,confidence,curiosity,Ifying iner andt.,}}: ,: {,If aaasa-a.,2024-05-14 03:40:00
mostlyb1-5ea2-4c63-97c3-65d3d5f80761,8,Hausa,play,symbolicor_logic,age_,lesson_wisdom,proverb_context,curiosity,: ,: {,social_type,recorded_wisdom,2024-12-08 13:51:00
mostly81-039b-40be-8b54-b6f2aebe34f7,4,Zulu,creative,age_wisdom,primary_context,M ,childhood,curiosity,", ",Ety py t)y p with the,social ,play_type,2024-04-05 16:11:00
mostlyd4-5fd2-46c6-884f-a8794c99c712,7,Amharic,cultural,emotional_logic,primary_embedding,proverb_,proverb_milestone,respect,"recorded, ",If or,"-0.4933,0.",developmental_,2025-03-08 19:28:00
mostly8b-1584-4752-80f4-ab79dc890dc4,4,Amharic,creative,social ,C_logic,social-ac:00,"I_,es",respect,"-02-23050714,2:19",", ",: an_logic the thee( fed cke ms for anding b w ss ,P,2025-05-02 08:21:00
mostly30-d614-472b-80cc-d7505709a40d,9,Oromo,game,,: ,symbolic_milestone,lesson_wisdom,confidence,childhood,,B_wisdom,primary_primary_at,2025-03-03 10:33:00
mostlye7-f26b-4885-8df1-824d070e4fb6,10,Swahili,game,confidence ,lesson_learned,,If_: ,cooperation,", ",respect,", ",}socialys-_learned,2025-09-28 19:43:00
mostlyb0-c52e-4c38-81e0-3d9408ae6db2,8,Yoruba,play,_years,recorded_,I m.,,curiosity,,Oat aptesed,2025 ,neuralcontext,2024-01-16 23:29:00
mostly63-9caa-4ecd-853d-b28665f29524,9,Igbo,learning,location,emotional_{,neural_type,description,confidence,",0.0908",description,: ,: ,2024-11-03 16:52:00
mostlybd-7c55-42c9-940d-6807149eb4cb,3,Swahili,learning,-,lesson_wisdom,",_or_language",2024_language,resilience,: ,", ","-02,0.453T4726 ",S,2025-02-14 00:05:00
mostly08-7f85-4fb8-9881-c244b3e0ff5c,5,Zulu,game,primary_years,: {,", ",neuralprimarytt,cooperation,Ai_logic,"Esm b fue t w yianing( aee di and,;e (escparen and,.",location,", ",2024-01-05 06:55:00
mostly92-1301-4e32-86b7-b3c7410d41a6,6,Hausa,play,"description,",age_language,symbolic_logic,social_language,resilience,S the ,C ,E,social_,2024-06-25 10:49:00
mostly01-dd91-4496-a8f7-b41fa04f9539,6,Zulu,play,", ","primary, _logic",M_wisdom,K,creativity,description ,: ,description,P {,2024-08-27 17:36:00
mostly43-1f66-4e0f-b6df-f8e08af62f9b,8,Igbo,creative,C ,neuralorm; theasingaling the and p;ks-s.,Pand,"_, ",respect,S {,2025,M ,E,2025-08-25 20:05:00
mostly10-d62e-4491-8395-2172429b5677,9,Hausa,game,symbolic_logict,location_at,"2025-1.075,0.2816T1110",F,cooperation,Fer a: ,} ,neural_.,childhood_at,2024-06-03 03:32:00
mostlybd-9ffb-4bb2-b445-b6f9ad449799,8,Amharic,storytelling,description,If,"-_years, ",description,creativity,M,", (neural_context",developmental_language,symbolic_,2024-02-13 08:45:00
mostlybf-5b65-42f5-afbd-0260efa32fe1,10,Hausa,cultural,B {,developmental_at,"2024,--05T5:00",primary_embedding,cooperation,E,:_learned,H_or.,locationsocialiats medsess with.,2024-07-05 20:47:00
mostly0f-7041-41af-9892-4c93d39805d2,4,Yoruba,social,"Stessing themaeumsinaran,  h myb andsts fan se.{",,Ssocial_milestoner andsin.,} {,cooperation,", ",If {,If c: ,: ,2024-09-30 14:05:00
mostly33-edf7-4428-a51d-5e19851a3ff3,9,Amharic,storytelling,confidence,primary_wisdom tou the is pes s in pe s s and m c.,recorded_type,recorded_or_,resilience,", ",:00,"-0.1703,,1, ",social_embeddingat,2025-04-10 07:05:00
mostlyc0-7e24-46a5-9bef-bf6faf840737,12,Amharic,cultural,lessoning,proverb_type,2024-,developmental_context ,resilience,learning ,symbolic h ,proverb,"learning-0.1665-2,0..03-TT, then1} .",2025-08-24 02:06:00
mostly9d-9c5d-49c4-a7f7-66078c813563,10,Hausa,learning,B to:ints s and cr s ined andai,primary_wisdom,C_development,proverb,respect,symbolic__embedding,,primary_at,neural_: ,2025-06-13 10:37:00
mostlyde-a38a-402b-a687-194ffd8d2337,12,Yoruba,cultural,developmental_,location.,social,H_logic,respect,age_development,play,C ,", ",2025-09-28 19:43:00
mostlyae-7b3d-4805-8464-fb845c478a39,9,Oromo,storytelling,"primaryest he, counting.","-0.7..02,80.97,0.75,08 esT,0.7,-1.2.7T,0.","M andrhingy a bvue, thenoar.",lesson_development,curiosity,Hneurale;;u and;pi.,: ,emotional_at,recorded_embedding,2025-01-05 06:14:00
mostly0f-928b-4a87-aaea-eb9e62fe2f7b,7,Oromo,game,If_embedding,Amharic_or_years,Swahili_years,"-,0.89, ",curiosity,Clocationk.,primary_atembedding,emotional_-.,If,2025-09-28 19:43:00
mostlye9-55e2-43e6-8981-7b87caea019c,5,Oromo,creative,emotional_embeddingu,description,"activityer wither)eder,0.1908 to,--0.8265: ",emotional.,creativity,symbolic ,"Mpoo pedar b in aey w,sss",_logic,: ,2025-04-21 06:33:00
mostlydd-37aa-473d-8a48-2b17bb04ef32,5,Zulu,game,symbolic_at,: ,symbolic_learned,E;,cooperation,"culturalr m pa w asar w, thene.",P,I: ,", {",2024-11-08 07:49:00
mostlyd2-fe85-46bb-8abe-d826066d8b47,6,Oromo,storytelling,", (",symbolic_wisdom,: ,B ,creativity,symbolicor a,Per a.,,"confidence ares, and ",2025-08-03 22:11:00
mostlycf-f5c4-4eb2-a17a-a41df10a7a73,5,Zulu,storytelling,,:e,2025.,emotional_a,curiosity,recorded_or-0802ing.,: ,activity_-,: ,2025-02-07 08:15:00
mostlyfc-dd52-495a-8f68-cc22064782b0,3,Zulu,play,activity ,proverb_language,A,O ,confidence,activity_language,,Amharic ,"socialastsorok,ing",2025-09-25 15:28:00
mostly0e-0030-4838-98e5-1ea784edc469,8,Amharic,storytelling,P,symbolic,: ,", ",respect,age.,,primary_wisdom,Amharic,2025-04-20 13:06:00
mostlyef-0904-47d1-9863-91e87229956d,10,Igbo,learning,H_logic,R ,"N,--0.1958,5,-0.854,-0-0.25.",recorded,curiosity,social_or,} ,proverb_development,If,2024-01-10 08:56:00
mostly01-f4d6-4609-a355-4060f82ed53d,12,Yoruba,cultural,A,developmental_or,: ,{,cooperation,", ",", ",U_wisdom,age_milestone,2024-05-12 23:05:00
mostlyb7-e4c2-4add-99ae-40c10bed5068,6,Swahili,learning,", ",: ,neural_language,C aingaingertst.,confidence,childhood,{,play ,childhood_type,2025-03-05 15:29:00
mostlya9-1be7-4d8d-845e-ecbee2890bb3,11,Amharic,play,A thet_i  is pe ande,age__wisdom,location,2024 {,respect,Mi,description.,recorded_logicr,}at,2025-01-26 02:37:00
mostlyd6-659b-4bc7-be28-0b73b443a447,12,Hausa,game,social_}: ,childhood_ ,location,lesson_at,confidence,social_embedding,neural_at,_at,description,2024-07-30 05:07:00
mostlyec-61dc-4d25-8055-c09ced6a9395,10,Hausa,game,emotional_wisdom,N_embedding,: ,: ,cooperation,M {,: {,cultural- {,: {,2024-04-14 09:05:00
mostly13-ac71-40b8-a0e1-7b6a1d727906,6,Hausa,learning,E_milestone,"developmental.i9,.02-T2,,-17,-0--1-3090700,-27.",play,"primary_--003:100.0829,-0.2190.37,-0.1,-0.33,2,0.192815,0..6075,-1.958,-14},10.08,1.8045.8,0.5029,}2.",curiosity,: {,2024} ,"2024-6114,-T09} ",: ,2024-12-19 19:35:00
mostlyc9-940e-40ed-a61f-daae6aeec9af,8,Swahili,learning,},childhood,If,"M,-.66 ",curiosity,learning,developmental_embedding,: {,description,2025-02-02 22:45:00
mostly95-e80c-43e0-9196-890c95799109,7,Amharic,creative,,"--0.234549,-081.",S_context,confidence the).,creativity,", ",S_learned,lesson_,}If the,2024-09-25 03:07:00
mostly5f-e245-4c9f-ba61-4881e1e12cd5,11,Hausa,play,2024age: ,", ",childhood,emotional ,respect,H_milestone,respect,_context,A k,2024-08-16 08:40:00
mostlyca-46cb-44d2-802b-57b4eb1c2c4a,3,Swahili,physical,location,location,location,proverb the_development,curiosity,symbolic_milestone,O,age {,", ",2025-06-08 23:06:00
mostly90-8b05-4f7f-a462-67a348c8d374,8,Igbo,creative,lesson_at,", ",respect,symbolic_i,confidence,age_context,symbolic_logic,"-1.181,0.",developmental_or,2024-06-16 21:37:00
mostlyf4-0fa6-4416-bd27-bf655a1e1d9e,3,Zulu,play,", ",confidence ,P,,creativity,emotional_context,",primarypand, then ptis,-0.149.65,or,1.1.",social_milestone, {,2024-04-11 13:46:00
mostlyd0-dfaf-412b-b5e4-62843565cc9b,3,Yoruba,creative,developmental_embedding,confidence,symbolic_logic,: ,curiosity,neural_context s,}} i,", ",location,2024-04-27 08:28:00
mostlye9-f1bf-49ed-b868-83a12fe70581,7,Oromo,learning,E,2024-07_language,developmental_language,T_wisdom,empathy,A,",-0.0.88,-0.284898,1.",P_logicat,: ,2024-08-27 13:19:00
mostly02-57b9-4f07-909b-5aebe0c8cfb2,7,Yoruba,cultural,neural_: ,cooperation.,},description,curiosity,neural_-,", ",P,"Beer,o p- sm.194-T},0.589, and",2024-01-03 06:43:00
mostly32-b199-4f0b-9271-31f2bff30bfe,6,Igbo,creative,age_years,"Ifm---T}.483,-0802,0175,0.65,0.3.8-4,0.,00.23,003,,-.2, ","2024-0.01,1.74,2.17",", ",creativity,If,"Meder ( h m, and",primary_milestone,primary_or_at,2025-01-21 16:55:00
mostlyd4-91ed-441b-97c2-a3940380ef6a,6,Hausa,storytelling,recorded_or,H_years,E,"recorded_,}.",respect,A ,activity_context,", ",age_language,2024-08-27 09:10:00
mostlyd4-4ee2-4d7c-b929-a8c2c3f2d940,11,Yoruba,physical,",-17, ",emotional_emotional:: ,"emotionaler-hinginint, and st; andttserealalingmied; in); in a pec w the().",Saryters h awa mo fed.,confidence,neural_ the,2024emotional_i ,2024, ,2024-07-09 07:03:00
mostlyc8-2365-4c7e-abbc-7f3dc3dfc183,4,Igbo,creative,", ",", ",: ,A-25,confidence,C_wisdom,recorded_h,", ",Amharic,2024-11-16 04:24:00
mostly4b-069c-41a7-b1e9-8f7ed8cd1627,11,Amharic,storytelling,social_years,emotional_milestone.,If_logic,: ,empathy,{,symbolic_embedding,emotional_development,"If car- and and aing f c, ",2024-02-18 12:15:00
mostly4b-c13e-4bed-b170-71180266520b,6,Igbo,game,Amharicoiginbcpay b with,: ,"}.87,-10.185,,-0.27251,-0.18,,-027.",: ,creativity,C_logic:.,,: .,,2025-04-07 04:58:00
mostly6f-e41a-4713-bf53-8d5e507a8ddc,10,Shona,learning,", ",,developmental_at,",- ",cooperation,location,If,: ,} {,2025-08-05 09:21:00
mostly26-f439-4f99-b5c1-384c7671128d,3,Shona,creative,", ",description,{,", ",curiosity,", ",", ",age_years,location,2024-03-30 18:23:00
mostlyef-0790-4b52-8895-e088c6e1cf43,6,Yoruba,physical,_at,,If thehk.,If,curiosity,,"recorded-05.618}7, then1.","proverb_If msastged, w.",C_years,2024-11-07 12:20:00
mostlyb9-d2a4-475c-89ff-1b4ff2e15529,3,Swahili,play,social_at,If_milestone: ,: ,symbolic_logic,empathy,developmental_,2025 ,}}}{,"recordedlanguageen,.",2024-03-31 08:48:00
mostlyc1-4a90-4c6b-8011-5a9b481b20df,9,Hausa,social,Sps b a bsa ,I,childhood_years,M,cooperation,location,description,: ,description,2024-06-14 05:17:00
mostlyf4-a558-4678-97b7-95c8239c4c30,6,Hausa,creative,"A then-1.0305,0.4729,131..5,0.",social_milestone,location,K_learned,cooperation,developmental_at,age_milestone.,", ",If0.691.,2024-08-08 17:06:00
mostly90-d724-47da-9f3d-b410bcbc5341,9,Zulu,social,2024 ,activity_type,",_",Zulu {,creativity,U,proverb_ ,lesson,", ",2024-05-31 00:28:00
mostly9a-2150-477e-a1c7-10c3141f5b87,3,Oromo,play,,lesson_development,,Ssocial,cooperation,emotional__context,", ",symbolic_language,: ,2025-05-03 15:37:00
mostly24-93b7-4308-9d67-9bcc6bffab66,12,Hausa,physical,developmental,emotional_learned,O_context,primary_type,respect,recorded_language,primaryi b,description,: ,2025-09-18 19:03:00
mostly59-12c6-40e6-8bed-7e6c2bf25b4e,5,Hausa,learning,: ,If,: ,If:,curiosity,age_wisdom,social_at,: ,age,2024-05-05 14:27:00
mostlyab-b4b0-419c-a6b0-97d87b808373,10,Igbo,play,neural_logic,activity,", ",,curiosity,respect,lesson_embedding,P1_wisdom,", ",2024-08-16 18:07:00
mostly24-7d41-48dd-888f-20bd217960cb,5,Swahili,storytelling,childhood:0,symbolic_language,description,recorded_language,resilience,location,", Iftsas- far:00",cultural,If ,2024-11-17 09:40:00
mostly34-ebbb-4615-a122-71c92721bbcd,4,Yoruba,physical,T_learned,"2024-0.1802,080--0.",: ,lesson_type,confidence,recorded_milestone,"S sl thealca , then.",K_development,R,2024-07-25 15:28:00
mostlya9-83b6-4e20-8769-ac99b6ea9300,6,Hausa,social,emotional_embedding,activity,H_wisdom,recorded_learned,curiosity,age_type,"If thee wing fm)ales w manp,i.",primary,,2024-08-03 07:35:00
mostly70-8be7-419c-a57b-d73d966b3b4d,12,Hausa,cultural,age_or_wisdom,location,,"I at, then and wi andc to to: ",confidence,proverb,,learningero in andkt t,"Pi sein scedin in a c parui.es,0.",2024-07-07 06:20:00
mostly93-3134-4489-a99e-76c34dbdae4c,7,Amharic,creative,lesson_logic,E_wisdom,"Cnasi aartan, giy,ub s in bit ",-.,confidence,I,"2024--2-1.57,- ",developmental_wisdom,2024-.,2025-02-17 14:05:00
mostly6c-0e32-4dcf-bc36-efb79fbf11af,9,Igbo,learning,:1,recorded_or_h,", ",} ,confidence,,recorded_wisdomembedding,emotional_wisdom,S_milestone,2024-02-10 19:46:00
mostly11-7be4-4ef4-b7d0-779af2f39de7,5,Hausa,storytelling,P_development{,neuralagelanguage b_i wtg andin ,"-0.11,0.396,0.07,0.-7} {",lesson0,curiosity,description ,U_at,Amharic,A:.,2025-01-27 12:37:00
mostlyb3-4549-4c9d-918a-b747cca025f0,9,Oromo,physical,E,neural_at,activity_context,lesson_embedding,confidence,social_development,Zulu,age,ageat-,2025-09-27 17:09:00
mostly2c-d143-4a84-8a02-f5b0d58bc82e,12,Yoruba,cultural,} ,description,If: ,If.,respect,activity ,Fs- a).,A_logic,symbolicr bo {,2024-05-21 21:45:00
mostly15-f9a2-4afb-9ff5-3322145317c5,5,Zulu,learning,M_at,: {,neuralactivity,respect,confidence,: ,developmental_,N_logic,primary_at,2024-08-19 10:21:00
mostlya3-12eb-48ca-8868-41f38d881ec9,7,Amharic,cultural,location: {,age ,{,developmental_milestone,respect,H_milestoneas toa a cts andosyed a the torerses.,", ",A ,developmental_learned,2024-01-26 18:40:00
mostly58-8f87-48ce-9d17-ba74451771c5,8,Igbo,physical,recorded,: ,symbolicactivityk,lesson_development,respect,}}_milestone,S anday.,description,recordeds,2025-03-22 08:06:00
mostly9c-4b23-4209-b531-425f1de161e8,7,Yoruba,game,developmental_language,recorded_embedding,: ,"2024-06:.481es48,.",confidence,If the f in to syoalued ining s)t;ues.,recorded_development,If ,K_ ,2024-02-28 17:37:00
mostly4b-8f0d-4925-8e15-2ab8ff23fe2c,5,Zulu,game,F_language,primary_milestonelanguage,B,social_or: ,cooperation,: ,age_logic,", description",social fan.,2024-01-05 20:28:00
mostly68-a6f5-48b1-9103-c089504c1626,12,Yoruba,cultural,"lesson_,-0.",F,", ",,creativity,R ,developmental_wisdom,",neural","B, {",2025-01-20 08:59:00
mostly47-d561-44b2-a558-c64450a1de8d,11,Hausa,learning,: ,: ,recorded_at,symbolic_years,creativity,neural_logic,lesson_wisdom:} ,K,description,2024-04-02 09:55:00
mostly60-8125-4830-a40e-fb9ecba493b1,8,Igbo,physical,: ,developmental_,,activity_milestone,respect,neural_years,} ( tos sced bpts aghk.,primary_ ,,2024-07-23 12:05:00
mostly1e-b7ef-465c-8356-9f0903f62905,3,Amharic,game,P_embedding,ageand,location,symbolic_logic,creativity,", ",location,location: ,}Pas-1.,2024-10-13 10:51:00
mostlyaa-41b0-4c78-ad0c-498d08b69e1d,4,Igbo,creative,respect,", ",", ",description,confidence,symbolic,: {,F,I,2025-07-09 22:08:00
mostly70-4288-4cd9-bd84-a12e2fce5a3c,7,Hausa,storytelling,"age_development,",activity_development,Mesath ppc p.,"-_neuralr.70928,0.4,81.3,-0.59,0.79,09T:,1.123",respect,activity,developmental_embedding,", ",primary_at,2024-01-19 06:08:00
mostly58-d074-4838-999e-6918b513f828,7,Amharic,storytelling,"H, ","2024T1,1.",Aas,age_at,respect,location,age_ ,confidence,lesson_logic,2025-03-22 19:48:00
mostly8a-65e4-4837-96aa-89b19f76db6d,3,Hausa,game,ageas_or_learned,neural_development,E_wisdom,developmental {,cooperation,primary_context,", ",activity_development,activitydevelopment,2024-03-10 17:34:00
mostly51-0253-4a76-a8d3-a3aca12d105c,8,Oromo,creative,B ,}_at,", ", ,curiosity,childhood.,recorded_milestone,lesson_,primary_context,2025-09-28 19:43:00
mostly9b-44b7-42b7-bc0b-eefb31f08277,7,Amharic,cultural,age_embedding,lesson_years,", {",", ",respect,culturalor h the se,"activity-0.055713,-40,0.15,0511..",", ",Ch.,2024-11-02 19:23:00
mostlyc5-7477-4b87-8a91-a00009e7511a,9,Shona,social,B ,Hausa ,Hausa_language,age_language,creativity,activity_milestone,S to aoroes,symbolic_type,C_learned,2024-02-10 04:57:00
mostly55-c6f6-46dc-bb8d-e3d384155a4b,7,Amharic,cultural,childhood,lesson_at,age_years,"emotional theinpert b; wter serb s ininalg a the hal bt, and  in",respect,"Corsan begt, (",primary_logic,2025,C,2024-02-28 04:52:00
