id,primary_language,cultural_element,description,meaning_or_purpose,historical_context,modern_relevance,transmission_method,region,symbolic_representation,wisdom_encoded,neural_embedding,recorded_at
mostly30-2810-4b47-9e83-35d6292d60fb,Hausa,proverb,M_ {,description{,dance_representation,"Mingalu, and mpgm.",description,wisdom_relevance,2024-3,descriptionrecordedte ing.,wisdom_encoded00,2025-05-10 13:59:00
mostlyf6-756f-4f00-b9df-423fa7c39ed6,Swahili,music,", ",", ","Cesr and thesaning,ing and and",In_representation,,AmharicP,transmission_ator:00,cultural_purpose,"2024-T-0.90.3,0.5153,10.0137-1.05,-0,-.30.30.204_12,1.197,0 and7-052 and.38216-0.805, ",2025-04-10 18:25:00
mostlyfd-f60b-4ffe-b539-f3e85b8b096a,Zulu,festival,}} ,transmission,", ", ,recorded_representation,Igbo and community.,recorded_representation,: ,transmission,2025-04-25 15:34:00
mostly73-5526-4274-b0ac-04adbc577012,Amharic,dance,,", ",description_s,recorded,Igbo,description,2024_relevance,neural_relevance,wisdom_language,2024-01-04 16:26:00
mostlyc5-62de-4cec-acab-95c36fc913c8,Zulu,craft,A_purpose,primary_encoded,Oralich- mil thed.,culture_relevancei,"primary, ",Igbo,"2024-050.063,0.252330.5 and4,0.6, ","historical, ",transmission,2024-05-10 05:05:00
mostly55-6cbb-40cc-ab38-d6ede35c0a5f,Igbo,music,: ,region,recorded_language,"S--T1.680..66,0.8118,0T,-17-speaking.03,1:080.-70",recorded_representation,E-speaking: ,", ",",-method,0.148,013.,0.281,-0.0543,-0300.10648,-0.",modern_at,2024-08-02 18:27:00
mostly08-4ee8-40b5-aaf8-3a6b0df4c438,Swahili,art,"meaningeop. of and, and.",recorded_or,"Wk-y, schools andf to f with d and ", ,Southwestencoded,primary_or,Zulu ,}}3 ,dancetransmissionspeaking,2024-07-30 10:53:00
mostly9e-3bca-40b2-aa5e-efeff9497463,Yoruba,dance,description_,"historicaleseres,---1.31T,1.","S, ","To withalal,- with w,- of and t-0.03, ",modern_at,East_at,P,neural,"recorded_purpose--0- regions,-06-,1.55629,.",2025-01-21 01:26:00
mostlyba-e650-4338-9713-b18038678a00,Swahili,dance,"2025-1.1377,0.38,0..6,-0.1050123,-11.82,-T058e05,1.05, 8-1.1,-1.543:,",meaning_element,C,wisdom_element,,recorded_,}} ,historicalrecorded_context,: ,2024-10-19 17:38:00
mostly05-1d32-4789-b053-d797973f3ce5,Oromo,music,recorded ,_representation,: ,Toh in ini andinges,"A-T.0,-0.",: ,B_ in,modern_context,cultural_relevance,2024-08-05 10:39:00
mostlyc2-f6f7-40a3-acd3-507bf076e80e,Hausa,folklore,recorded_purpose,} ,C_at,: {,cultural_encoded ,To,2024-e0.-1-0..,:,region,2025-08-21 18:02:00
mostly60-8dd0-4952-806c-49710ca108c1,Yoruba,art,moderneulega to iny c.,modern_element,,recorded,Igbo,modernesu,region,C ,: ,2024-10-10 00:38:00
mostly0b-289c-4300-b1a1-9d320bce46a0,Shona,dance,neural.,S ,cultural_element,C_t aationa and.{,symbolic_representation,historical_element,"To-0.30226,-31,-0.15,00-1T05,0.2538,-10.516,-:0.43,-0.181.07,-105or380.4672,-.1205.45180211,-T18_,-0.-0.2600.59,-0.381-03.20601-19, 9,",,neural_context,2025-05-12 22:36:00
mostly96-fa4b-4407-afe9-32fab3d77b21,Swahili,festival,", ",: ,",relevance",", ",2024_context: ,modern: ,"Mes ineder, sgd,, and p p ",", ",W,2025-05-11 09:08:00
mostlyb2-e814-40bc-a545-7e3cc00b0ad6,Igbo,dance,"M asc,-g.39, schools and.-","-0.5,-",symbolic_or_representation,recorded_.,description,historical_at,{,Ae with to and,"P0.053:11, and.19.-0.387125,-speaking25,0.7,-,0.0.78403,0.479,0.-0426.187:T811,-0.2031.8, and5.8,0.1847.7,490.173919,-0.22.8, and004,17,0.273,1.0, ",2024-05-30 14:22:00
mostly58-74d3-4f65-83e4-9c37876a7d09,Igbo,music,symbolic Africa,", ",transmission-0906edpi with with and sy ,: ,{,cultural ,2024-T-020..,description,transmission{,2024-05-21 16:13:00
mostly5f-6d21-4dc8-aa62-e2e30d784c3a,Zulu,ceremony,region,primary_.,: ,region{,modern_method,: ,modern_embedding,"Perpre and t finy a and s sen community with, _ ins,",recorded_element,2024-03-25 04:18:00
mostlyca-bc01-4649-99c9-7682ab8517ab,Swahili,art,primary_method,region,primary_,: ,meaning_embedding,In.,: ,cultural_purpose,Yoruba,2025-02-13 18:53:00
mostly04-609f-43d8-a227-0179a0247321,Amharic,festival,Swahili,description,2024 ,cultural,: ,symbolic_at,Swahili,region,neural_purpose,2024-09-16 14:37:00
mostlye1-de3c-4195-ace0-a7e1ca3a1a91,Oromo,festival,"See lena inicen,.",M_language,historical_context,meaning anding.,S,culture,recorded_ ,culture,wisdom_context,2024-01-02 18:41:00
mostlycb-d906-4432-8be9-8086342cd817,Yoruba,music,cultural_context,: ,", ",primary,meaning_language,region,cultural_element,-0-.,recorded_relevance,2025-01-25 11:53:00
mostly1a-5b08-4be9-bf87-315fc8494416,Igbo,craft,2025,neuralpurpose,symbolic,symbolic_representation,"wisdom in, in,",modern_ ,symbolic,,: ,2025-02-12 05:51:00
mostly51-8acd-4f04-8551-e299934e10ca,Oromo,proverb,", ",2024-08-306,: (,{,historical,", {",neural_encoded,-1.0160.,: ,2025-03-03 03:36:00
mostlyd7-d759-49f5-93cb-f8c02b7afc7d,Yoruba,music,"Toes, and communityo community,.",neural ,-:00.5 and,description,region,cultural,recordeddescription,C,symbolic,2024-02-08 18:40:00
mostly55-3a1e-4b41-a7ba-aa2b31caa3a1,Yoruba,dance,"-T1.01250903,-0.5 and1 03,21.",,-0.09011.2,: {,"Ph, ",symbolicing.,: ,description,: ,2024-07-15 09:12:00
mostlyaa-4cdc-4ce6-9d71-09eaa71da39b,Swahili,craft,"To inm spy the and, andalu:",R_at,historical__,,description,symbolic_representation,2024,historical_method, e ascy and socialc ,2024-06-02 03:48:00
mostly65-0827-4458-929c-b4b899380d34,Yoruba,craft,: ,", {",} ,: ,"B Africa, and pe","culture, ",,neural__encoded,", ",2024-07-11 07:57:00
mostly2c-ebbd-4a4f-98d7-3185d7d832b4,Amharic,proverb,: {,primary_representation,: ,_-method,neural-_embedding,C ,", ",Oralle sans in ping.,Igbo,2025-03-19 11:45:00
mostlya0-e635-44f4-b7ba-9a43130694ff,Amharic,craft,description,symbolic.,"moderny, ",", ",_at,historical_context,Igboyy,_encoded,transmission_meaning,2025-09-20 19:39:00
mostly61-d812-4c85-a6cf-de05d4ba6856,Oromo,music, ,region3,primary_encoded,Igbo,W,description,culture_purpose,transmission_ ,description,2024-03-13 19:12:00
mostly6d-78ed-41ac-b70d-003c2d4ff1ff,Hausa,dance,P a,historical_elementpurpose,: ,region,C,primary_relevance,R ,historical_embedding,: ,2025-04-01 23:47:00
mostly96-8ca4-4c87-b536-be3f55da9a23,Yoruba,craft,: ,,culture,{,description,L,: ,-1..,C_encodedanes,2025-07-28 07:02:00
mostlyb1-959e-43d9-ac74-3398d75c5661,Yoruba,craft,symbolic of_nled.,B ,"B, ",historical ,primary_relevancerepresentation,R,recorded_recorded_method,region,recorded_embedding,2025-09-20 19:39:00
mostly5e-914d-4044-b3ed-8f22f9a59009,Yoruba,festival,: ,Toin ,: ,R,}} ,wisdom_encoded,: ,Per andi,: ,2024-01-15 22:29:00
mostly80-c36c-4b8d-abbd-cfd74a031894,Yoruba,folklore,"2024-3205-Ting-0.11,0.9T-T.",neural_purpose,", ",culture{,"danceor, and.",--040900,"Rs.e,-0.611,181.50527,0-1.396264.06,-1.39,0.08-9311,-,0.",: ,transmission_element,2024-10-13 16:03:00
mostlybe-c307-42ba-b3ca-060e05a4f5b0,Oromo,festival,Oraluing ofdyle.,symbolic_encoded, ,G {,Yoruba-04.,modern_context,neural,primary__purpose,wisdom_,2025-09-20 19:39:00
mostlyc9-b501-42c2-a15e-3efb65dbc610,Zulu,ceremony,2024-3230.82,"wisdomal, and_purpose",,: ,recorded_element,wisdomrecorded,}}} ,,M_orat,2024-03-27 20:31:00
mostly14-a1ba-46ce-be44-fae74d2ddc0d,Hausa,ceremony,symbolic ,"M, ",To} ,202503-.,: ,"neural-99,-0..147269,-1.11.","historicaloo,-1.970_element",culture,regionh,2025-02-22 14:47:00
mostly63-517f-4e10-a533-2bd077c76be1,Igbo,dance,C.,"Oromo Africa,",", ",}} ,Swahili,}}} ,: ,C_representation,description ,2024-02-21 20:06:00
mostly20-5f7a-4843-b87c-3634b8d55c4a,Igbo,folklore,neural_relevance,culture_,transmission__purpose,S,Shona,"cultural, ",culture,",--070.93,0.73,-.",: ,2024-11-08 16:31:00
mostly01-33e0-4245-bfb5-3b02942ee6a4,Igbo,craft,2024 ,historical_orlanguage,: ,: ,} ,modern,"modern_,",modern_,meaning_relevance,2025-06-14 01:18:00
mostly9d-87f6-4da8-b34c-f54f48cba75d,Swahili,folklore,recorded_purposerepresentation,"Zulu fe.7or_-encodede,","Oralum insen of in, retsedes.","B in-2T andgs, familyingen",2024symbolic,: ,", ",festival in_,cultural_relevance,2024-06-27 15:55:00
mostly9c-f1a3-4423-b044-af4097956986,Igbo,festival,historical,cultural_element,transmission,_relevance,"wisdomencodedrepresentationt c inesfing, and family.",cultural_representation,culture,: ,"East as and a, ",2024-09-02 23:04:00
mostly50-1e96-4fa9-ad0e-dad7752ddb76,Zulu,dance,culture,2025,region,2024-0: ,neuralTo: ,Wembedding,cultural,", ",symbolichistorical_purpose,2025-07-30 20:05:00
mostly78-cc9b-440a-8e85-b3f13c2c2f7e,Shona,festival,wisdom_relevance,"Zulud-y in-,01-0.",Igbodescription,"Easteralaeder-ics and,ined in c socialn and r. and.",primary_relevance,: {,cultural_at, ,Shonatransmission_or,2024-04-19 12:50:00
mostly93-a7e3-4a6f-aee6-ff2e6ecf0180,Zulu,folklore,{,culture,wisdom_encoded ,meaning__purpose,culture,"2024-17201-0.029: and1,0.7,2,-05 and2037,-0.9,060.16,0.14280,21.1.76-3,0.5.7559,-0.80721,01,-050.6T}",: ,", ",: ,2024-02-14 03:19:00
mostly99-fbbb-479c-8152-e6a258b71ae4,Amharic,festival,description,recorded_{encoded_er,cultural_context,R,wisdome,"::, ",wisdom_languagee,neural,D-..,2025-04-10 17:51:00
mostly4f-0770-4e1e-aa1c-98e6225ca90e,Igbo,dance,festivala,symbolic_method,modern_context,Igbo,cultural_encoded:,: ,culture,modern_or,"recordedrelevance-0,0.94-10.9032227T90.211,0.903,-.,1-13.308,",2025-09-20 19:39:00
mostly83-4c73-4b1f-bdc2-6eb3c50cf7ae,Amharic,craft,modern_ores,recorded_encoded,modern_relevance,recorded_representation,description,B_00,P,modern_relevance,description,2024-02-10 18:00:00
mostly5d-0660-4151-9e9f-8946b2c082fd,Yoruba,ceremony,symbolic_context,: ,A ,meaning_method,modern_or_language,2025-0.04457,", and-050..76",,region,2024-07-30 02:09:00
mostly6e-5830-471b-ac8b-b827554a84ff,Yoruba,dance,recorded_element,"C,-514,070.",: ,,: ,} --speaking.,: {,transmission: ,recorded ,2024-10-30 02:45:00
mostlye8-177b-4055-a321-6582ef591834,Swahili,ceremony,cultural,S,culture,,transmission_element,region,{,,neural_language,2024-03-13 12:02:00
mostlyb7-86fd-4422-918b-27ef628d13d3,Hausa,art,modern_element, ,description,cultural_context,Pcontexteing socialy andot ingatione.,"C00 f ina,0Tud.",R,Amharice,In_00,2024-12-17 12:19:00
mostly73-e467-4a95-8464-32a1bfedb422,Amharic,art,Igbo,region,culture,symbolic ,Yoruba{,{,Amharic,", ",Igboo,2025-03-08 18:54:00
mostlyad-dd14-4f1f-9878-46bf5631429b,Amharic,craft,"-08.4.-62507,06, and25159.142 .28",description,cultural_relevance s,dance_0:.,: ,Amharic_,symbolic_relevance,"S,-0.3,-011.-",,2024-08-26 18:56:00
mostly4c-24a9-47db-8af3-33f156814345,Hausa,music,,: ,"2024-30.516,00",modern_representation_embedding,region,meaning_purpose, ,neural_method,symbolic Africa_-speaking,2025-03-05 20:02:00
mostlya3-0e51-4d7c-a39d-b3160d748085,Shona,festival,,neural_element,S: c ,", ",: ,"Tottese and,- and socialeation:-,-0-015.818,-1.929,0..",neural_ and,cultural_embedding,:,2025-09-20 19:39:00
mostly38-daf6-4a7f-b43b-278513823bbe,Yoruba,craft,transmission,wisdom,historical_purpose,To,2024 in.,dance,"wisdomdes, ",modern_purpose,culture,2024-10-07 12:43:00
mostlyad-4937-45ca-97bf-e5ad935fc7fd,Hausa,proverb,}_at,,", ",recorded_elementuesepe d in.,description,recorded_encoded,G.,", ",,2024-06-28 16:12:00
mostlyf7-136f-4ee3-a854-7181f9618789,Amharic,festival,2025-T:: ,"cultural_or, {",neural_at-0.1214,music.,Gaor,cultural,neural_representation,S.,Southwest,2025-06-03 10:51:00
mostlyf7-0286-4514-bcd8-10a0faf654b0,Shona,music,"dance,--speaking_","2024--speaking.12,.5,0.5619,3,-1-114.4317-0.27,-106..574723T0.66,,-0.51475,-1_-,-060.48,-0.0008,0010.0587,,-1.0.85-5,0.1919, and",Zulu and: ,: ,-0.8.460..,transmission,wisdom__purpose ,Aes and community ofu f,",00",2024-02-09 18:29:00
mostlya7-24c2-4f09-a413-7a1abceba05f,Igbo,festival,}e,recordedrelevance{,transmission_orpurpose,", ",,modern_region,Mes l and.,: ,: ,2025-06-14 03:25:00
mostlye5-4640-477f-ad5c-5af55afe2fad,Oromo,festival,region,: ,"modern_at,",P and communityct.,Tohe and ando ofu cg.,description_at,2024T-08e:80.2,modern_embedding,: ,2024-06-10 00:37:00
mostly16-2bc0-40ae-82bd-b8fccfc33a06,Swahili,art,description{,: ,C,neural_embedding,M_context,"--0.26.714,-1.2T6,-1,-0.",recordedregion,modern_relevance,,2025-03-10 12:06:00
mostly7c-008b-43ec-94bb-29061200d650,Igbo,festival,recorded_ and ,", ",Yoruba,"Easti, in0.",meaninghistorical_purpose,description, ,cultural_context{,"M_purpose--speakingspeaking,0. and1216,0.412,1.800}0728,08-14-1,00.836,-1.030906T.",2024-06-17 02:50:00
mostlybd-0a8e-4177-8769-a04c89b58a45,Zulu,craft,"-029,2 and05}}region,",,"wisdom_embeddings,","regionaalic,n of and s c ande andsl s: theoaf, m and culturals communityccssa and communal m,--06, and","M-052T, and.",", ",D,neural_method,East_method,2025-04-13 22:51:00
mostly0a-b8b1-47c9-a972-1d4a7b0bae01,Yoruba,music,wisdom_:.,"2024-0.00836,-,-1.470.9057,04,-009,-08-0.117,-1096,-102,-1.302,1.801.",description,primary: ,Shona,"Tos, and, in andeics cs.",recorded_region,primary_encoded,"Binges m toss, c.",2024-04-30 01:12:00
mostly67-10a6-4086-a833-e288e472e8ad,Amharic,ceremony,Pea mleet m and,,regionk,neural,2025--TT080.8123,wisdomdescription{ar,{,": andes m, ",", ",2025-02-17 19:10:00
mostlyff-5a88-4de8-9fda-ff94525b0a47,Swahili,art,region,", ",: ,symbolic_erepresentation,_relevance,modern_embedding, ,Sonting in and and city.,In}: ,2024-02-13 04:27:00
mostly6b-865a-430c-96fb-05e991c87166,Amharic,festival,E {,: ,"Wencodede,er in s s a and the puo and p.",modern__,: ,modernrecorded tobaneer.,Amharicor_element,Hausaar:esug and s,S}  Africa{,2024-06-03 22:42:00
mostlye2-f437-49de-b7e6-b2bf8ccfe69d,Hausa,folklore,2024,: ,wisdom_language,To ,historical_or,transmission1.5,recorded_at,primary_or,: ,2025-06-27 22:34:00
mostlya3-9443-4d56-a0d6-6dcc2accb774,Amharic,folklore,,neural_or,Shona,20250_representation,wisdom_or,S,To_context,culture,M,2025-01-30 23:13:00
mostly3c-32aa-4cfb-a3d2-64d4386cb68d,Igbo,dance,wisdoma,Shona,"Po, and cultural., and_embedding",W,"IgboT withtse cin social sore , _ {",symbolic_method, {,region,wisdom_,2025-03-07 00:10:00
mostly59-7be8-4e59-85da-484ddb9bf576,Amharic,dance,modern_,In: ae,,: ,wisdom_or,"description, and social p.74",To ,modern_embeddingan and communityre,primary_representation,2024-06-13 20:26:00
mostlyf1-57c4-44be-ba36-4ce74cf02b15,Hausa,ceremony,C,"M,: ",} ,: ,", ",,cultural_o,: ,2024-19-0.,2024-08-28 13:09:00
mostly9a-dc1e-473f-b7c9-0966dd1f2baa,Zulu,festival,"-0.36,-1.3-0-.",,Oral,historical__al: ,Southwest,recorded_representation,,Amharic,: ,2025-01-28 20:04:00
mostlyd3-8946-43cd-b5ef-58ffd0263bb0,Oromo,ceremony,: {context,D ,2024-speaking-0.,Pko-,historical_element,cultural: fn{in and cc_purposeat,wisdom_method,C_representation,wisdom_ anding and socialfs..,2025-09-20 19:39:00
mostlyff-fe4b-434a-b35e-b1e217e2ef89,Hausa,art,dance anding,meaning_encoded,", ",transmission,symbolic,historical_language,region,primary_language,cultural_.,2024-02-29 18:25:00
mostly08-dd08-4439-bd77-65b38e7c3657,Igbo,dance,M,"modern0 socialing, ",: ,primary,wisdom_or_method,: ,"20240.3614,001.0307,10.07,-1.029021323,0.7256,-022,0.87,-0.803,0.10.0423,,:07 ", ,C,2025-01-27 17:49:00
mostly33-aeaf-43a6-a3bb-cb756367b3fa,Igbo,dance,20251.,,--0.,,C,: ,recordeddescription,E{,dance,2024-01-22 06:24:00
mostly3d-8c17-48f3-90da-5f8b943dd5be,Amharic,festival,recorded_at, ,"cultural, ",P ,recorded ofed ination.,", ","culturalol,in community, ",,"Shona-0e-1.,1148,-0.00704,0..0669,0.",2025-09-20 19:39:00
mostlya8-fcf4-4f0d-ad25-6608297e76bb,Zulu,craft,"Af, ",P in,2024,A,"Zulu and slal coings, andcle re ca ","Yoruba1 s and p cing.s and, ",recorded_method: ,"2024,-s02-,00.38","E:, ",2024-11-18 23:02:00
mostly1d-ec04-4be1-9634-d907bfe28dd9,Amharic,craft, {,Amharic_relevance,Ari_,Shonaed,symbolic_context,C--1.1230.6,: ,transmission_language,symbolic_,2025-08-05 17:43:00
mostly4f-058e-4977-8ac1-fffc2e44e75f,Yoruba,music,", ",Peru and and oft.,}-1-0704.,"D1-03-,0.7810.636,-1..16.06,18,0916-0.0.387,41,-07.18,00.,-172.936,0.3,-0.0.0723,28,-1.0608,6,0.70.71.05-046.026,1.607,.38,-0.1906,0.18.",transmission_context,wisdom_context,Du,"-1.6.77--0.7,0.","P--T-0.812,00,-0.276,1.",2024-07-16 20:03:00
mostly7e-6224-4394-85bb-52777911d550,Hausa,dance,symbolic, ,Hausa,description-03-11:,B_relevance,wisdom,Zulu-yor_ceroren.,transmission_element,C,2025-09-20 19:39:00
mostly76-6b76-4588-a986-4a45e2b7b59f,Swahili,music,modern_representation,neuralu_relevance,"Amharic_,-7, and.52.0506,0.1.451--0.038,.1,-11.9,-0.",} ,}_method,description,Shona,C_language,In_context,2024-03-02 15:15:00
mostly4d-2768-4d0c-b3d7-eecfcd8767a1,Hausa,craft,C_or,symbolic_element,wisdom_language,"To oft in and and p re ofs and aal, and",neural ,neural__context.,primary__context,dance_embedding,culture,2025-06-19 13:46:00
mostly70-98b7-4689-99e9-e7ef0e0fd773,Igbo,folklore,description,meaning_relevance,meaning{_,modern_purpose, {,: ,wisdom ande communal and socialmpae withe., ,C ,2024-08-28 01:25:00
mostly6f-caf1-47a3-9a53-f53459b9a3b6,Amharic,art,: ,"S in and f, and f,  and social and communitya",region,meaning,", ","primary-0.182407,-06.6,-.2330.372, ",neural,", ",neural_relevance,2024-06-09 01:04:00
mostly56-33ab-43fb-8466-059ab5a16064,Hausa,ceremony,festival ,Swahili,-1.,historical,primary_embedding,-0ing_.,: ,: ,description,2024-03-29 01:37:00
mostly16-5876-48dc-8307-926f2cba687a,Hausa,music,Zulu,B_relevance,: ,primaryt ases,recorded_ore,neural_embedding,Southwest,: ,"modern_orencodedoilt, cdinsp and in re community and communal socialt_ p",2024-03-06 18:22:00
mostlya6-109a-4745-8c99-868120d6f238,Swahili,proverb,2024 ,neural ,descriptiondescription0.,"M_or_, ",modern_atlanguage,transmission_language,cultural__method,Bb.,meaning_embedding,2025-09-20 19:39:00
mostlya9-1566-40ce-af34-dc6accd79738,Hausa,dance,historicalrepresentation,wisdom_encoded,: _,"Too, and.3,","historical_, ",Igbo,Oromo,neural in0.,-0.,2025-08-01 19:45:00
mostly32-4f63-4e23-9a23-bede24b6e184,Hausa,ceremony,culture,In_-.09speaking,: ,", ",meaning_purpose,: ,-0:00 ,Par ,: ,2024-11-04 02:14:00
mostlyf8-4f24-4528-8afa-52d60bc9b09f,Shona,craft,description,: ,"Cgenr s, ",: ,Bh_s,"-speaking,- and:e.001.8736,0.32,-1110302,1.04,T03,-0.6,0.",neuralmodern in ,: ,description,2024-06-04 05:21:00
mostlyfc-0212-462a-a7d6-8db4b0db5dbf,Zulu,music,In,Bor,", ",culture, ,"transmissionar, eser in, and community.","-06,1.7,-0.9.",: ,meaning_relevancecontextrelevance,2024-01-25 05:15:00
mostly9b-eb1a-4bcd-8edd-fb7c4023b0ae,Yoruba,ceremony,historical_element,transmission_representation,"recorded_encodederkar:ing c ofityleing and,i, w.","2024encoded-01,0.25,,.8804,1.",Wal-,: ,modern_at.,:00,historical and,2024-08-05 09:40:00
mostly0c-0476-406b-8245-66a6fd56e9ce,Swahili,proverb,,In,", ","-1.593,}0800.950-01",region,: ,"To-1-.-1.708:0.199,-1,62 and29,-0.",region,recorded_encoded,2025-03-19 20:55:00
mostly24-c66c-456e-ac81-5bd0315e468b,Shona,music,Southwestt--t.,", ",historical: ,Oromo Africaing_ ,", ",{,: ,festival,wisdom_at,2025-02-28 09:28:00
